MSG_JOB_NAME_01	Warrior
MSG_ITEM_NAME_42	<IC_BAG>Protect Drink
MSG_ITEM_NAME_43	<IC_BAG>Speed Drink
MSG_ITEM_INF_01	Restores 50 HP.
MSG_ITEM_INF_02	Cures poison.
MSG_ITEM_INF_03	Cures stone.
MSG_ITEM_INF_04	Partially restores the party's HP.\nCan only be used in the field.
MSG_ITEM_INF_05	Partially restores the party's HP and MP.\nCan only be used in the field.
MSG_ITEM_INF_06	Fully restores the party's HP and MP.\nCan only be used in the field.
MSG_ITEM_INF_07	Restores 150 HP.
MSG_ITEM_INF_08	Fully restores HP.
MSG_ITEM_INF_09	Restores 1 MP for each magic level.
MSG_ITEM_INF_11	Restores 5 MP for each magic level.
MSG_ITEM_INF_12	Fully restores HP and MP.
MSG_ITEM_INF_14	Revives one KO'd ally.
MSG_ITEM_INF_15	Cures ailments except stone and KO.
MSG_ITEM_INF_16	Cures darkness.
MSG_ITEM_INF_17	Cures silence.
MSG_ITEM_INF_39	Temporarily raises attack.
MSG_ITEM_INF_40	Temporarily raises max HP.
MSG_ITEM_INF_42	Temporarily raises defense.
MSG_ITEM_INF_43	Temporarily raises agility.
MSG_WEAPON_NAME_01	<IC_NIF>Knife
MSG_WEAPON_NAME_02	<IC_WND>Staff
MSG_WEAPON_NAME_03	<IC_WND>Healing Staff
MSG_WEAPON_NAME_04	<IC_NIF>Dagger
MSG_WEAPON_NAME_05	<IC_HMR>Hammer
MSG_WEAPON_NAME_06	<IC_SRD>Rapier
MSG_WEAPON_NAME_07	<IC_KTN>Scimitar
MSG_WEAPON_NAME_08	<IC_NIF>Mythril Knife
MSG_WEAPON_NAME_09	<IC_NCK>Nunchaku
MSG_WEAPON_NAME_10	<IC_WND>Power Staff
MSG_WEAPON_NAME_11	<IC_HMR>Mythril Hammer
MSG_WEAPON_NAME_12	<IC_WND>Mage's Staff
MSG_WEAPON_NAME_13	<IC_SRD>Saber
MSG_WEAPON_NAME_14	<IC_WND>Crosier
MSG_WEAPON_NAME_15	<IC_KTN>Falchion
MSG_WEAPON_NAME_16	<IC_SRD>Broadsword
MSG_WEAPON_NAME_17	<IC_WND>Wizard's Staff
MSG_WEAPON_NAME_18	<IC_NCK>Iron Nunchaku
MSG_WEAPON_NAME_19	<IC_AX>Battle Axe
MSG_WEAPON_NAME_20	<IC_SRD>Rune Blade
MSG_WEAPON_NAME_21	<IC_SRD>Werebuster
MSG_WEAPON_NAME_22	<IC_HMR>Thor's Hammer
MSG_WEAPON_NAME_23	<IC_SRD>Wyrmkiller
MSG_WEAPON_NAME_24	<IC_SRD>Coral Sword
MSG_WEAPON_NAME_25	<IC_SRD>Longsword
MSG_WEAPON_NAME_26	<IC_SRD>Great Sword
MSG_WEAPON_NAME_27	<IC_AX>Great Axe
MSG_WEAPON_NAME_28	<IC_SRD>Razer
MSG_WEAPON_NAME_29	<IC_CLW>Cat Claws
MSG_WEAPON_NAME_30	<IC_SRD>Mythril Sword
MSG_WEAPON_NAME_31	<IC_SRD>Vorpal Sword
MSG_WEAPON_NAME_32	<IC_AX>Mythril Axe
MSG_WEAPON_NAME_33	<IC_SRD>Flame Sword
MSG_WEAPON_NAME_34	<IC_AX>Light Axe
MSG_WEAPON_NAME_35	<IC_SRD>Ice Brand
MSG_WEAPON_NAME_36	<IC_SRD>Defender
MSG_WEAPON_NAME_37	<IC_SRD>Sun Blade
MSG_WEAPON_NAME_38	<IC_KTN>Sasuke's Blade
MSG_WEAPON_NAME_39	<IC_SRD>Excalibur
MSG_WEAPON_NAME_40	<IC_KTN>Masamune
MSG_WEAPON_INF_01	A small knife.
MSG_WEAPON_INF_02	A wooden staff.
MSG_WEAPON_INF_03	A staff that casts Heal when used.
MSG_WEAPON_INF_04	A large knife.
MSG_WEAPON_INF_05	A hammer made for battle.
MSG_WEAPON_INF_06	A sword with a slender blade.
MSG_WEAPON_INF_07	A sword with a curved blade.
MSG_WEAPON_INF_08	A knife wrought from mythril.
MSG_WEAPON_INF_09	Wooden nunchaku.
MSG_WEAPON_INF_10	A staff with good attack power.
MSG_WEAPON_INF_11	A hammer wrought from mythril.
MSG_WEAPON_INF_12	A staff that casts Fira when used.
MSG_WEAPON_INF_13	A long sword made for piercing.
MSG_WEAPON_INF_14	A staff topped with an iron ring.
MSG_WEAPON_INF_15	A sword that widens toward its tip.
MSG_WEAPON_INF_16	A sword with a wide, double-edged blade.
MSG_WEAPON_INF_17	A staff that casts Confuse when used.
MSG_WEAPON_INF_18	Nunchaku made of iron.
MSG_WEAPON_INF_19	An axe made for battle.
MSG_WEAPON_INF_20	A sword that is effective against spellcasters.
MSG_WEAPON_INF_21	A sword that is effective against beasts.
MSG_WEAPON_INF_22	A hammer that casts Thundara when used.
MSG_WEAPON_INF_23	A sword that is effective against dragons.
MSG_WEAPON_INF_24	A sword that is effective against aquatic enemies.
MSG_WEAPON_INF_25	A large, double-edged sword.
MSG_WEAPON_INF_26	A sword that is effective against giants.
MSG_WEAPON_INF_27	A large axe made for battle.
MSG_WEAPON_INF_28	A saber that casts Scourge when used.
MSG_WEAPON_INF_29	A weapon with razor-sharp blades.
MSG_WEAPON_INF_30	A sword wrought from mythril.
MSG_WEAPON_INF_31	A very sharp crescent blade.
MSG_WEAPON_INF_32	An axe wrought from mythril.
MSG_WEAPON_INF_33	A sword imbued with the power of fire.
MSG_WEAPON_INF_34	An axe that is effective against the undead; casts Diara when used.
MSG_WEAPON_INF_35	A sword imbued with the power of ice.
MSG_WEAPON_INF_36	A sword that casts Blink when used.
MSG_WEAPON_INF_37	A sword that is effective against the undead.
MSG_WEAPON_INF_38	A small katana used by ninja.
MSG_WEAPON_INF_39	A sword crafted from a legendary metal; effective against all types of enemies.
MSG_WEAPON_INF_40	A legendary katana without match.
MSG_ARMOR_NAME_01	<IC_CLTH>Clothes
MSG_ARMOR_NAME_02	<IC_ARMOR>Leather Armor
MSG_ARMOR_NAME_03	<IC_RING>Copper Armlet
MSG_ARMOR_NAME_04	<IC_ARMOR>Chain Mail
MSG_ARMOR_NAME_05	<IC_RING>Silver Armlet
MSG_ARMOR_NAME_06	<IC_ARMOR>Mythril Mail
MSG_ARMOR_NAME_07	<IC_ARMOR>Iron Armor
MSG_ARMOR_NAME_08	<IC_CLTH>White Robe
MSG_ARMOR_NAME_09	<IC_CLTH>Black Robe
MSG_ARMOR_NAME_10	<IC_RING>Ruby Armlet
MSG_ARMOR_NAME_11	<IC_ARMOR>Knight's Armor
MSG_ARMOR_NAME_12	<IC_ARMOR>Flame Mail
MSG_ARMOR_NAME_13	<IC_ARMOR>Ice Armor
MSG_ARMOR_NAME_14	<IC_RING>Diamond Armlet
MSG_ARMOR_NAME_15	<IC_ARMOR>Diamond Armor
MSG_ARMOR_NAME_16	<IC_ARMOR>Dragon Mail
MSG_ARMOR_NAME_17	<IC_SHIELD>Leather Shield
MSG_ARMOR_NAME_18	<IC_SHIELD>Buckler
MSG_ARMOR_NAME_19	<IC_SHIELD>Iron Shield
MSG_ARMOR_NAME_20	<IC_SHIELD>Protect Cloak
MSG_ARMOR_NAME_21	<IC_SHIELD>Mythril Shield
MSG_ARMOR_NAME_22	<IC_SHIELD>Flame Shield
MSG_ARMOR_NAME_23	<IC_SHIELD>Ice Shield
MSG_ARMOR_NAME_24	<IC_SHIELD>Diamond Shield
MSG_ARMOR_NAME_25	<IC_SHIELD>Aegis Shield
MSG_ARMOR_NAME_26	<IC_GLOV>Leather Gloves
MSG_ARMOR_NAME_27	<IC_GLOV>Bronze Gloves
MSG_ARMOR_NAME_28	<IC_GLOV>Steel Gloves
MSG_ARMOR_NAME_29	<IC_GLOV>Mythril Gloves
MSG_ARMOR_NAME_30	<IC_GLOV>Gauntlets
MSG_ARMOR_NAME_31	<IC_GLOV>Giant's Gloves
MSG_ARMOR_NAME_32	<IC_GLOV>Diamond Gloves
MSG_ARMOR_NAME_33	<IC_GLOV>Protect Ring
MSG_ARMOR_NAME_34	<IC_HEAD>Leather Cap
MSG_ARMOR_NAME_35	<IC_HEAD>Ribbon
MSG_ARMOR_NAME_36	<IC_HEAD>Helm
MSG_ARMOR_NAME_37	<IC_HEAD>Great Helm
MSG_ARMOR_NAME_38	<IC_HEAD>Mythril Helm
MSG_ARMOR_NAME_39	<IC_HEAD>Healing Helm
MSG_ARMOR_NAME_40	<IC_HEAD>Diamond Helm
MSG_ARMOR_INF_01	Ordinary clothing.
MSG_ARMOR_INF_02	Armor made of hardened leather.
MSG_ARMOR_INF_03	An armlet crafted from copper.
MSG_ARMOR_INF_04	Mail of interwoven chain links.
MSG_ARMOR_INF_05	An armlet of worked silver.
MSG_ARMOR_INF_06	Mail crafted from mythril.
MSG_ARMOR_INF_07	Armor made of thinly hammered iron.
MSG_ARMOR_INF_08	A robe that guards against fire and instant death; casts Invisira when used.
MSG_ARMOR_INF_09	A robe that guards against ice and time irregularities; casts Blizzara when used.
MSG_ARMOR_INF_10	An armlet ornamented with rubies.
MSG_ARMOR_INF_11	Armor crafted from steel plate.
MSG_ARMOR_INF_12	Mail infused with the power of fire that guards against ice.
MSG_ARMOR_INF_13	Armor infused with the power of ice that guards against fire.
MSG_ARMOR_INF_14	An armlet adorned with diamonds.
MSG_ARMOR_INF_15	Armor crafted from diamond that guards against lightning.
MSG_ARMOR_INF_16	Mail fashioned from dragon scales that guards against fire and ice.
MSG_ARMOR_INF_17	A shield made of hardened leather.
MSG_ARMOR_INF_18	A small shield.
MSG_ARMOR_INF_19	A shield wrought from iron.
MSG_ARMOR_INF_20	A large cloak worn over armor.
MSG_ARMOR_INF_21	A shield crafted from mythril.
MSG_ARMOR_INF_22	A shield imbued with the power of fire that guards against ice.
MSG_ARMOR_INF_23	A shield imbued with the power of ice that guards against fire.
MSG_ARMOR_INF_24	A shield made of diamond that guards against lightning.
MSG_ARMOR_INF_25	A shield that guards against stone and poison.
MSG_ARMOR_INF_26	Gloves made of leather.
MSG_ARMOR_INF_27	Gloves made of bronze.
MSG_ARMOR_INF_28	Gloves made of steel.
MSG_ARMOR_INF_29	Gloves made of mythril.
MSG_ARMOR_INF_30	Gloves that cast Thundara when used.
MSG_ARMOR_INF_31	Gloves that cast Saber when used.
MSG_ARMOR_INF_32	Gloves made of diamond.
MSG_ARMOR_INF_33	A ring that guards against instant death.
MSG_ARMOR_INF_34	A cap made of leather.
MSG_ARMOR_INF_35	A ribbon that guards against elemental attacks and status effects.
MSG_ARMOR_INF_36	A small helm.
MSG_ARMOR_INF_37	A helm that covers the entire head.
MSG_ARMOR_INF_38	A helm wrought from mythril.
MSG_ARMOR_INF_39	A helm that casts Heal when used.
MSG_ARMOR_INF_40	A helm made of diamond.
MSG_KEY_NAME_01	<IC_IOBJ>Lute
MSG_KEY_NAME_02	<IC_IOBJ>Crown
MSG_KEY_NAME_03	<IC_IOBJ>Crystal Eye
MSG_KEY_NAME_04	<IC_IOBJ>Jolt Tonic
MSG_KEY_NAME_05	<IC_IOBJ>Mystic Key
MSG_KEY_NAME_06	<IC_IOBJ>Nitro Powder
MSG_KEY_NAME_07	<IC_IOBJ>Adamantite
MSG_KEY_NAME_08	<IC_IOBJ>Rosetta Stone
MSG_KEY_NAME_09	<IC_IOBJ>Star Ruby
MSG_KEY_NAME_10	<IC_IOBJ>Earth Rod
MSG_KEY_NAME_11	<IC_IOBJ>Levistone
MSG_KEY_NAME_12	<IC_IOBJ>Chime
MSG_KEY_NAME_13	<IC_IOBJ>Rat's Tail
MSG_KEY_NAME_14	<IC_IOBJ>Warp Cube
MSG_KEY_NAME_15	<IC_IOBJ>Bottled Faerie
MSG_KEY_NAME_16	<IC_IOBJ>Oxyale
MSG_KEY_NAME_17	<IC_IOBJ>Canoe
MSG_KEY_INF_01	A sonorous instrument of great beauty.
MSG_KEY_INF_02	A crown that shimmers mysteriously.
MSG_KEY_INF_03	A transparent orb of crystal.
MSG_KEY_INF_04	A serum to break even the deepest sleep.
MSG_KEY_INF_05	A key that opens magically sealed doors.
MSG_KEY_INF_06	A powder of great explosive power.
MSG_KEY_INF_07	Legendary metal of renowned strength.
MSG_KEY_INF_08	A tablet inscribed with ancient writing.
MSG_KEY_INF_09	An enormous red jewel.
MSG_KEY_INF_10	A rod imbued with the power of earth/nature.
MSG_KEY_INF_11	A mysterious rock that floats in the air.
MSG_KEY_INF_12	A dulcet chime of Lufenian origin.
MSG_KEY_INF_13	A token of valor and strength.
MSG_KEY_INF_14	A cube made of a multi-hued substance.
MSG_KEY_INF_15	A bottle containing a faerie.
MSG_KEY_INF_16	A strange liquid that gushes forth air.
MSG_KEY_INF_17	A small boat for crossing lakes and rivers.
MSG_MON_NAME_01	Goblin
MSG_MON_NAME_02	Goblin Guard
MSG_MON_NAME_03	Wolf
MSG_MON_NAME_04	Warg Wolf
MSG_MON_NAME_05	Werewolf
MSG_MON_NAME_06	Winter Wolf
MSG_MON_NAME_07	Lizard
MSG_MON_NAME_08	Fire Lizard
MSG_MON_NAME_09	Basilisk
MSG_MON_NAME_10	Hill Gigas
MSG_MON_NAME_11	Ice Gigas
MSG_MON_NAME_12	Fire Gigas
MSG_MON_NAME_13	Sahagin
MSG_MON_NAME_14	Sahagin Chief
MSG_MON_NAME_15	Sahagin Prince
MSG_MON_NAME_16	Pirate
MSG_MON_NAME_17	Buccaneer
MSG_MON_NAME_18	Shark
MSG_MON_NAME_19	White Shark
MSG_MON_NAME_20	Bigeyes
MSG_MON_NAME_21	Deepeyes
MSG_MON_NAME_22	Skeleton
MSG_MON_NAME_23	Bloodbones
MSG_MON_NAME_24	Gigas Worm
MSG_MON_NAME_25	Crawler
MSG_MON_NAME_26	Hyenadon
MSG_MON_NAME_27	Hellhound
MSG_MON_NAME_28	Ogre
MSG_MON_NAME_29	Ogre Chief
MSG_MON_NAME_30	Ogre Mage
MSG_MON_NAME_31	Cobra
MSG_MON_NAME_32	Anaconda
MSG_MON_NAME_33	Sea Snake
MSG_MON_NAME_34	Scorpion
MSG_MON_NAME_35	Lobster
MSG_MON_NAME_36	Minotaur
MSG_MON_NAME_37	Minotaur Zombie
MSG_MON_NAME_38	Troll
MSG_MON_NAME_39	Sea Troll
MSG_MON_NAME_40	Shadow
MSG_MON_NAME_41	Wraith
MSG_MON_NAME_42	Specter
MSG_MON_NAME_43	Ghost
MSG_MON_NAME_44	Zombie
MSG_MON_NAME_45	Ghoul
MSG_MON_NAME_46	Ghast
MSG_MON_NAME_47	Wight
MSG_MON_NAME_48	Purple Worm
MSG_MON_NAME_49	Sand Worm
MSG_MON_NAME_50	Lava Worm
MSG_MON_NAME_51	Evil Eye
MSG_MON_NAME_52	Death Eye
MSG_MON_NAME_53	Medusa
MSG_MON_NAME_54	Earth Medusa
MSG_MON_NAME_55	Weretiger
MSG_MON_NAME_56	Rakshasa
MSG_MON_NAME_57	Ankheg
MSG_MON_NAME_58	Remorazz
MSG_MON_NAME_59	Lesser Tiger
MSG_MON_NAME_60	Sabertooth
MSG_MON_NAME_61	Vampire
MSG_MON_NAME_62	Vampire Lord
MSG_MON_NAME_63	Gargoyle
MSG_MON_NAME_64	Horned Devil
MSG_MON_NAME_65	Earth Elemental
MSG_MON_NAME_66	Fire Elemental
MSG_MON_NAME_67	White Dragon
MSG_MON_NAME_68	Red Dragon
MSG_MON_NAME_69	Dragon Zombie
MSG_MON_NAME_70	Green Slime
MSG_MON_NAME_71	Gray Ooze
MSG_MON_NAME_72	Ochre Jelly
MSG_MON_NAME_73	Black Flan
MSG_MON_NAME_74	Black Widow
MSG_MON_NAME_75	Tarantula
MSG_MON_NAME_76	Manticore
MSG_MON_NAME_77	Sphinx
MSG_MON_NAME_78	Baretta
MSG_MON_NAME_79	Desert Baretta
MSG_MON_NAME_80	Mummy
MSG_MON_NAME_81	King Mummy
MSG_MON_NAME_82	Cockatrice
MSG_MON_NAME_83	Pyrolisk
MSG_MON_NAME_84	Wyvern
MSG_MON_NAME_85	Wyrm
MSG_MON_NAME_86	Allosaurus
MSG_MON_NAME_87	Tyrannosaur
MSG_MON_NAME_88	Piranha
MSG_MON_NAME_89	Red Piranha
MSG_MON_NAME_90	Crocodile
MSG_MON_NAME_91	White Croc
MSG_MON_NAME_92	Ochu
MSG_MON_NAME_93	Neochu
MSG_MON_NAME_94	Hydra
MSG_MON_NAME_95	Fire Hydra
MSG_MON_NAME_96	Guardian
MSG_MON_NAME_97	Soldier
MSG_MON_NAME_98	Water Elemental
MSG_MON_NAME_99	Air Elemental
MSG_MON_NAME_100	Water Naga
MSG_MON_NAME_101	Spirit Naga
MSG_MON_NAME_102	Chimera
MSG_MON_NAME_103	Rhyos
MSG_MON_NAME_104	Piscodemon
MSG_MON_NAME_105	Mindflayer
MSG_MON_NAME_106	Garland
MSG_MON_NAME_107	Green Dragon
MSG_MON_NAME_108	Blue Dragon
MSG_MON_NAME_109	Clay Golem
MSG_MON_NAME_110	Stone Golem
MSG_MON_NAME_111	Iron Golem
MSG_MON_NAME_112	Black Knight
MSG_MON_NAME_113	Death Knight
MSG_MON_NAME_114	Astos
MSG_MON_NAME_115	Dark Wizard
MSG_MON_NAME_116	Dark Fighter
MSG_MON_NAME_117	Crazy Horse
MSG_MON_NAME_118	Nightmare
MSG_MON_NAME_119	Warmech
MSG_MON_NAME_120	Lich
MSG_MON_NAME_121	Marilith
MSG_MON_NAME_122	Kraken
MSG_MON_NAME_123	Tiamat
MSG_MON_NAME_124	Chaos
MSG_MON_ATK_01	Icestorm
MSG_MON_ATK_02	Blaze
MSG_MON_ATK_03	Gaze
MSG_MON_ATK_04	Gaze
MSG_MON_ATK_05	Flash
MSG_MON_ATK_07	Earthquake
MSG_MON_ATK_08	Gaze
MSG_MON_ATK_09	Gaze
MSG_MON_ATK_10	Gaze
MSG_MON_ATK_15	Stone Gas
MSG_MON_ATK_16	Mind Blast
MSG_MON_ATK_17	Poison Gas
MSG_MON_ATK_18	Thunderbolt
MSG_MON_ATK_19	Deadly Gas
MSG_MON_ATK_20	Snort
MSG_MON_ATK_21	Nuke
MSG_MON_ATK_22	Ink
MSG_MON_ATK_23	Poison Darts
MSG_MON_ATK_24	Gaze
MSG_MON_ATK_25	Tsunami
MSG_MON_ATK_26	Cyclone
MSG_LOCATION_STICK	(AREA_NAME) – (MAP_NAME)
MSG_LOCATION_STICK_01	(AREA_NAME)
MSG_LOCATION_STICK_02	(MAP_NAME)
MSG_MAP_NAME_01	World Map
MSG_MAP_NAME_02	Elven Castle
MSG_MAP_NAME_03	Elfheim
MSG_MAP_NAME_04	Onrac
MSG_MAP_NAME_05	Gaia
MSG_MAP_NAME_06	Caravan
MSG_MAP_NAME_07	Crescent Lake
MSG_MAP_NAME_08	Castle Cornelia
MSG_MAP_NAME_09	Cornelia
MSG_MAP_NAME_10	Western Keep
MSG_MAP_NAME_11	Pravoka
MSG_MAP_NAME_12	Melmond
MSG_MAP_NAME_13	Lufenia
