SPEAKER_01	¿?
MSG_KON_CAS_10	¿Vosotros sois... los Guerreros de la Luz? ¿Los de la profecía de Luka?
MSG_KON_CAS_11	Garland fue en su día el mejor caballero del reino.<P>\nPero se dejó llevar por el poder y se olvidó de quién era realmente.
MSG_KON_CAS_12	Se dice que ese hermoso laúd, heredado por las princesas de Cornelia, puede hacer añicos la puerta del mal.
MSG_KON_CAS_13	Hace cuatrocientos años, nuestros ancestros guardaron armas en este almacén de tesoros...<P>\nLuego le dieron la llave al rey elfo para que la guardara hasta que llegaran los Guerreros de la Luz.
MSG_KON_CAS_14	El almacén de tesoros está cerrado con una llave mística.
MSG_KON_CAS_16	¡Ha llegado el momento de usar la llave para abrir la puerta!<P>\n¡El armamento que hay dentro os será de gran ayuda!
MSG_KON_CAS_17	¡Los Guerreros de la Luz han llegado finalmente! ¡Hemos esperado este momento durante mucho tiempo!<P>\nGarland ya no es el hombre que conocimos...<P>\nOs ruego... que rescatéis a mi hija cuanto antes.
MSG_KON_CAS_18	Sara siempre está rezando por vosotros.
MSG_KON_CAS_20	Si vosotros quisierais... podríais... Quiero decir, aquí, en Cornelia...<P>\nNo, nada, da igual.<P>\nDebéis prepararos para vuestra travesía. ¡Recuperad la Luz de los Cristales!
MSG_KON_CAS_23	Nos han dicho que Garland ha escapado con la princesa hacia el norte. Ha ido al Templo del Caos.
MSG_KON_CAS_25	La bailarina que encontraréis en el pueblo está muy bien informada.<P>\nSi os apartáis del camino, hablad con ella. Os dará pistas sobre cómo continuar.
MSG_KON_CAS_26	Habéis obtenido Nitropolvo.
MSG_EKKEN_01	El rey está buscando a los Guerreros de la Luz que menciona la profecía.<P>\n¡Esos... cristales! ¡Debéis ir a ver al rey de inmediato!
MSG_EKKEN_02	Bienvenidos, viajeros. Me han dicho que portáis unos cristales. ¿Es eso cierto?
MSG_EKKEN_03	Es tal como anticipó la profecía de Luka:<P>\n"Cuando reine la oscuridad en el mundo, llegarán los cuatro Guerreros de la Luz".
MSG_EKKEN_04	Su majestad, no tenemos la plena certeza de que estos sean los guerreros de la profecía.
MSG_EKKEN_05	Pero aquí están ante nosotros con los Cristales. No creo que sea una coincidencia.<P>\nGuardianes de los Cristales, quisiera encomendaros una misión.<P>\n¿Seríais capaces de rescatar a Sara, mi hija?
MSG_EKKEN_06	Garland, un caballero que estaba al servicio de su majestad, ha raptado a la princesa Sara.<P>\nOs pido ayuda en nombre de su alteza, el rey de Cornelia.<P>\nGarland se ha refugiado en el Templo del Caos, al norte de aquí.<P>\nYa hemos intentado salvar a la princesa, pero...<P>\nGarland es el mejor espadachín del reino. No hay quien pueda con él.
MSG_EKKEN_07	Me han dicho que queréis viajar al continente que hay al norte.<P>\nEl puente que permitía llegar hasta allí está derruido y no es posible cruzarlo.<P>\nSi rescatáis a Sara, me encargaré de reconstruir ese puente como muestra de agradecimiento.
MSG_HELPSERA_04	Gracias por devolverme a mi hija.<P>\n¡No cabe duda de que sois los Guerreros de la Luz de los que habla la profecía de Luka!<P>\nDeberíais escuchar completa esa profecía. Ejem, si me permitís...<P>\n"Cuando reine la oscuridad en el mundo, llegarán los cuatro Guerreros de la Luz.<P>\nEllos desterrarán las tinieblas y dotarán de nuevo de resplandor a los cuatro Cristales".<P>\nMe han dicho que en el continente del norte es posible encontrar un Cristal.<P>\n¡La única forma de librar al mundo de los monstruos es devolviéndole la Luz a los Cristales!
MSG_HELPSERA_05	Voy a reconstruir el puente que conduce hacia el norte.<P>\nRezaré por que logréis devolver la Luz a los cuatro Cristales y al mundo.
MSG_LUTE_01	¡Por favor, esperad!
MSG_LUTE_02	Este laúd lo hemos heredado las princesas de Cornelia durante generaciones.<P>\nCuando Garland me raptó, se lo apropió.<P>\nQuiero que os lo quedéis. Tal vez os sirva en vuestro viaje.
MSG_LUTE_03	Habéis obtenido el Laúd.
MSG_CHS_01	¡Kiiii! ¡Kiiii!
MSG_CHS_02	El poder que los cuatro demonios absorbían de los Cristales era enviado al pasado por el Cristal Negro.<P>\nEste lleva enturbiando la hermosa Luz de los Cristales desde mucho antes de lo que podemos recordar.<P>\nEstamos tan solo a unos pasos de la verdadera raíz del mal.
MSG_CHS_03	El Cristal Negro brilla amenazante.<P>\nEn la sala se percibe una ligera distorsión...
MSG_CHS_04	La puerta está cerrada con llave.
MSG_CHS_06	La Luz... La Luz de los cuatro Cristales... ¡La que hemos buscado desde el principio!<P>\n¡Esa Luz abrirá el portal del tiempo!<P>\nA través de él, viajaréis dos mil años atrás y llegaréis al comienzo del ciclo del tiempo infinito.<P>
MSG_CHS_08	¡Haced brillar la Luz de los cuatro Cristales sobre el Cristal Negro que hay en el centro!<P>\nEso permitirá regresar a este templo tal y como era dos mil años antes.
MSG_CHS_10	Somos la Gente del Cielo. Hemos venido a este templo a investigar la causa del ocaso del mundo.<P>\nDe eso hace ya cuatrocientos años...
MSG_CHS_12	La maldición de los demonios nos convirtió en lo que veis y nos enmudeció.<P>\n¡La Luz de los Cristales nos ha permitido recuperar el habla!
MSG_CHS_14	La puerta está cerrada con la llave mística.
MSG_FUSION_01	Se ha proyectado sobre el Cristal Negro la Luz de los Cristales de Fuego, Tierra, Agua y Viento.<P>\n¡El fluir del tiempo se dilata y el espacio comienza a contraerse!<P>\n¡Solo un paso os separa de viajar dos mil años al pasado!
MSG_HELPSERA_01	Al rey no le queda más opción que ofrecer su reino para recuperar a su hija.<P>\n¡Cornelia me pertenecerá!
MSG_HELPSERA_02	¿Quién anda ahí?<P>\nVaya, vaya... Las mascotas del rey. ¿Sabéis contra quién os estáis enfrentando?<P>\n¿De veras creéis que podréis derrotarme? Pues muy bien...<P>\n¡Yo, Garland, caballero entre caballeros... acabaré con vosotros!
MSG_HELPSERA_03	¿Habéis venido a rescatarme?<P>\nNo sé cómo daros las gracias...<P>\nSoy Sara, princesa de Cornelia.<P>\nEs la primera vez que alguien logra derrotar a Garland.<P>\nQuiero ofreceros una muestra de mi agradecimiento. Por favor, acompañadme al castillo de Cornelia.
MSG_LAST_01	¿Os acordáis de mí? En su día fui caballero de Cornelia.
MSG_LAST_02	Dos mil años más adelante... me quitasteis la vida. Soy Garland.
MSG_LAST_03	Sí, es cierto que me derrotasteis aquella vez.<P>\n¡Pero las cuatro grandes fuerzas me salvaron al enviarme hacia atrás en el tiempo!
MSG_LAST_04	Al llegar aquí, envié a los cuatro demonios al futuro...
MSG_LAST_05	donde usarán de nuevo las cuatro grandes fuerzas... ¡para enviarme al pasado!
MSG_LAST_06	Dentro de dos mil años, no recordaré nada de esto.
MSG_LAST_07	Pero volveré y renaceré aquí mismo.<P>\n¡En este pasado en el que vosotros perecéis y donde viviré eternamente!<P>\n¡Renaceré sin fin en este incesante ciclo que he creado!
MSG_BRIDGE_01	Órdenes de su majestad. ¡Debemos cumplir con nuestra parte para que se cumpla la profecía de Luka!
MSG_BRIDGE_02	¿Qué tiene que ver el puente con la profecía?
MSG_BRIDGE_03	Los cuatro Guerreros de la Luz han llegado ya... ¡Están aquí, en Cornelia!
MSG_PRL_01	Y así comenzó su travesía.\n\nLos Guerreros de la Luz estaban desconcertados por la gran misión y el tormentoso destino que les aguardaba.\n\nSin ser del todo conscientes del poder de los cuatro Cristales que llevaban en sus manos...\n\nEsos mismos Cristales que antaño, hacía mucho tiempo, habían brillado tan intensamente.\n\nLa hora de partir había llegado...\n\nEra el momento de quitar el manto de oscuridad para que la luz volviera a brillar sobre el mundo.
MSG_SHIP_01	¡Tenéis un par de cañones para enfrentaros al gran pirata Bike! ¡Pasadlos por la espada, muchachos!
MSG_SHIP_02	¡Claro, capitán! ¡Les vamos a ensartar como a sardinillas!
MSG_SHIP_03	Lo lamento, jovenzuelos. No causaré más alborotos.<P>\nEn resarcimiento, podéis llevaros esta belleza de barco. Perdonad a este viejo pirata.
MSG_SHIP_04	Habéis obtenido un barco.
MSG_PBK_01	¡Ayudadnos, por favor!
MSG_PBK_02	Hay muchos monstruos en el mar Aldeo. ¡Tened cuidado!
MSG_PBK_03	¡Malditos piratas! ¡Andan por ahí robando y saqueando como si nada!
MSG_PBK_04	Creo que no hay ningún puerto al norte.<P>\nY como sabéis, solo es posible desembarcar en un puerto.
MSG_PBK_05	Este viejo pirata va a cambiar de conducta.<P>\nPienso ponerme a trabajar en serio y ser el más laborioso del pueblo.<P>\nMe creéis, ¿verdad?
MSG_PBK_06	¡Gracias a vosotros, ya no tenemos por qué temer a los piratas!<P>\n¡Muchas gracias!
MSG_PBK_07	¡Dicen que hay seres élficos viviendo en el mar!<P>\nPero el príncipe elfo ha caído en un sueño profundo y aún no ha despertado.
MSG_PBK_08	Escapé de Melmondia, un pueblo que hay más allá en dirección oeste.<P>\nEs un paisaje desolador. La tierra se descompone y los monstruos atacan durante la noche.<P>\n¿No hay nada que podáis hacer?
MSG_PBK_09	¿Y vosotros, qué hacéis aquí? No estaréis buscando problemas con los bucaneros de Bike, ¿no?
MSG_ELF_CAS_01	La maldición de Astos ha sumido a nuestro príncipe en un sueño profundo del que no puede despertar.<P>\nPor favor, ¿podríais ayudarnos a despertarle?
MSG_ELF_CAS_02	Una criatura repugnante vive en la cueva que hay hacia el oeste.<P>\nLa tierra está descomponiéndose por su culpa.
MSG_ELF_CAS_04	Nosotros, los elfos, somos los guardianes de la llave.<P>\nCuando lleguen los Guerreros de la Luz, se la confiaremos a ellos.
MSG_ELF_CAS_05	Una vez oí un rumor sobre una bruja capaz de preparar cualquier tipo de poción.<P>\nA ver... Creo que se llama Matoya.
MSG_ELF_CAS_06	¿Tenéis un poco de brebaje tónico? ¡Eso podría despertar al príncipe!
MSG_ELF_CAS_07	El rey de los elfos oscuros, Astos, invadió el castillo y lanzó una maldición sobre nuestro príncipe.<P>\n¡Entonces saqueó los tesoros del castillo!
MSG_ELF_CAS_08	¡El príncipe ha despertado! ¡Gracias!
MSG_ELF_CAS_09	Los enanos viven en una caverna en el extremo oeste del mar Aldeo.<P>\n¡Son muy amistosos!
MSG_ELF_CAS_10	El almacén de tesoros está cerrado con una llave mística.
MSG_ELF_CAS_11	El príncipe ha dormido durante los últimos cinco años a causa de la maldición de Astos.<P>\nTiene que existir una medicina capaz de despertarle, pero ¿dónde?
MSG_ELF_CAS_12	Gracias a vosotros, el príncipe ha despertado finalmente. Estaré eternamente agradecido.<P>\nHabéis permitido que la paz vuelva a Elfeim.
MSG_ELF_CAS_13	Zzz...
MSG_ELF_CAS_14	He despertado y me siento fuerte de nuevo. Todo gracias a vosotros.<P>\n¡Gracias, Guerreros de la Luz!
MSG_AWAKEELF_01	¡Este brebaje tónico puede ser lo que necesitamos para romper el maleficio y despertar al príncipe!<P>\n¡Lo probaré de inmediato!
MSG_AWAKEELF_02	¿Su majestad? ¡Su majestad!
MSG_AWAKEELF_03	He tenido una terrible pesadilla... ¿Estaré soñando aún...?
MSG_AWAKEELF_04	¡Sois... los guerreros de la leyenda! Algo me dice que no estoy soñando.<P>\nHaré lo que cuenta esa leyenda que me transmitieron mis antepasados.<P>\nFinalmente ha llegado el momento de entregar la llave mística a sus legítimos dueños.
MSG_AWAKEELF_05	Habéis obtenido la llave mística.
MSG_ELF_CTY_01	No sé si podemos hacer algo... ¡Ayudad a nuestro príncipe, por favor!
MSG_ELF_CTY_02	¡El príncipe ha despertado! ¡Gracias!
MSG_ELF_CTY_03	Si el príncipe no despierta, nos quedaremos sin rey elfo.<P>\nEstaremos a merced del poder maligno de los elfos oscuros.
MSG_ELF_CTY_04	La leyenda dice que, escondido en algún sitio, hay un barco volador capaz de surcar los cielos.
MSG_ELF_CTY_05	Nadie sabe adónde ha ido Astos, el rey de los elfos oscuros.
MSG_ELF_CTY_07	En un viaje que hice al oeste, recorrí un castillo antiguo.<P>\nDentro no había ni un alma... Se me pusieron los pelos de punta y escapé tan rápido como pude.
MSG_ELF_CTY_08	¡Habéis derrotado a Astos y devuelto la paz a Elfeim!
MSG_ELF_CTY_09	Nuestro príncipe iba a convertirse en el rey elfo, pero ¿qué pasará ahora?
MSG_ELF_CTY_11	Las armas y armaduras de mitrilo son resistentes y poderosas. ¡Debéis probarlas! ¡Os sorprenderán!
MSG_ELF_CTY_12	Soy profeta. Cuando llegue el momento, el futuro me será revelado.<P>\nEsperaré pacientemente hasta que eso ocurra.
MSG_ELF_CTY_13	Gracias al poder de la levicita...<P>\n¡un gran velero se eleva al cielo desde el mar de arena que hay bajo el creciente!
MSG_ELF_CTY_15	En el oscuro abismo que hay al norte del creciente, más allá de la montaña ardiente...<P>\ndescansa la levicita. Hay algo que os espera en aquel lugar.
MSG_ELF_CTY_16	Aquí descansa Link.
MSG_ELF_CTY_17	Veis una lápida.
MSG_WST_CAS_01	He caído en la trampa de Astos, el rey de los elfos oscuros, y ahora mi castillo se encuentra en ruinas.<P>\nSi tan solo pudiera recuperar la corona de la Cueva pantanosa, podría reconstruir mi castillo.<P>
MSG_WST_CAS_02	¡Kiiii! ¡Kiiii!
MSG_WST_CAS_03	La puerta está cerrada bajo llave mística.
MSG_ASTOS_01	¡Ajajá!<P>\n¡Habéis caído en mi trampa, idiotas!<P>\n¡Soy Astos, rey de los oscuros elfos!
MSG_ASTOS_02	Combinando el poder de la corona que traéis y del ojo de cristal que ya poseo...<P>\n¡me convertiré en el verdadero rey elfo!
MSG_ASTOS_03	¡No os resistáis, no sirve de nada! ¡Obtendré por la fuerza lo que es mío!
MSG_ASTOS_04	Habéis obtenido el ojo de cristal.
MSG_PND_01	¡Kiiii! ¡Kiiii!
MSG_PND_02	La puerta está cerrada bajo llave mística.
MSG_GET_CROWN_01	Habéis obtenido la corona.
MSG_AWAKEPOT_01	A ver, ¿qué tenéis ahí? ¿Mi ojo de cristal? ¡Dadme eso!<P>\nNo os preocupéis. Tengo algo que ofreceros a cambio. Tomad esta poción.<P>\n¡Es la más increíble de toda mi colección!
MSG_AWAKEPOT_02	¡Ah! ¡Puedo ver! ¡Puedo ver!
MSG_AWAKEPOT_03	Habéis obtenido un brebaje tónico.
MSG_MATOYA_01	¡¡¡Ay!!!
MSG_MATOYA_02	¡Ay! ¡Mi ojo...! ¡Mi ojo...!
MSG_MATOYA_03	¡Sin mi ojo de cristal no veo tres en un burro!
MSG_MATOYA_04	¿Quién me lo habrá robado?
MSG_MAT_02	¿Seguís aquí? Ya no os necesito. ¡Largo!<P>\nTampoco sois tan guapos como pensaba.
MSG_MAT_03	¡Hacia delante, hacia atrás! ¡Lo que os guste más! ¡Qué hechizo tan raro! ¡Barre que te barro!<P>\nT CELES Y BASLUP. ¡Barre que te barro, tú!
MSG_MAT_04	¡Para atrás o para delante, que el aventurero no se espante!<P>\nAPAM ED NÓTOB LE ODASLUP NÉTNAM<P>\n¡Barre que te barro!
MSG_DWF_CAV_01	Zi tuviera de eze legendario metal, adamantita... podría forjar una ezpada mágica increíble.
MSG_DWF_CAV_02	Zeguro que le zacáiz provecho a Excálibur.
MSG_DWF_CAV_03	Con un ojo de criztá, hazta los ziegoz pueden ver.<P>\nDicen que Aztoz, er erfo negro, le ha robao el zuyo a Matoya.
MSG_DWF_CAV_04	La tierra ha comenzao a pudrirze.<P>\nLa decadencia viene der oezte, pero ahora ze tá extendiendo...
MSG_DWF_CAV_05	¡La tierra vuelve a zé lo que era antez! ¡Graciaz a vozotro, Guerreroz de la Lú!
MSG_DWF_CAV_06	¿Habéiz conocido a Ferreiro, nueztro herrero? Id a verlo a la ferretería.
MSG_DWF_CAV_07	¿El ruido eze? Ah, ez Nérico. Eztá machacando pedruloz ar fondo de la cueva.
MSG_DWF_CAV_08	Eze é Nérico, un gran enano. Un tío admirable.
MSG_DWF_CAV_09	¡Lali ho!
MSG_DWF_CAV_10	A la hora de protegerze, una placa de laz buenaz puede rezurtar tan eficá como una armadura de cuerpontero.<P>\nAlguna vé tenéiz que probarla.
MSG_DWF_CAV_12	¿Habéiz vizto er canal? ¡Eze Nérico é un enano mú mañoso!
MSG_DWF_CAV_13	Buzco la levicita.<P>\n¡Parece que é un material azombrozo que baila en er aire con musho zalero!
MSG_DWF_CAV_14	Cuando chaparon er armacén de tezoroz del caztillo, puede que hubieze nitroporvo adentro.
MSG_DWF_CAV_16	¡Ahivá! ¡Un pedruzco gigante tá cortando er pazo!<P>\n¡Me farta muy poco pá abrí er canal!<P>\nZi tuviera una mihita de nitropolvo, haría volá eza roca fácilmente...
MSG_DWF_CAV_17	¡Quieto parao! ¡Ezaz zon zolo de exhibizión! ¡No zon pá luchar!
MSG_DWF_CAV_18	La puerta está cerrada bajo llave mística.
MSG_CANAL_01	¡Nitroporvo! ¡Er poder explozivo de ezto abrirá er caná en un periquete!<P>\n¡Oz debo una, miarmaz!
MSG_CANAL_02	¡Ahora zí!
MSG_CANAL_03	¡Ahora podremoz hacer trizaz ezta roca!
MSG_CANAL_04	¿Pero qué hazéiz ahí como pazmarotez?<P>\n¡Eze porvo va a petar! ¡A menoz que queráiz zalir volando, zerá mejó que zalgáiz de aquí pitando!
MSG_CANAL_05	¡No maguanto por ver qué hay al otro lao del canal!
MSG_GET_EXCALIBER_01	¡¿No é ezto... adamantita?!
MSG_GET_EXCALIBAR_02	¡Fenomená! ¡Con ezto oz forjaré la mejó ezpada que jamá empuñaréiz!
MSG_GET_EXCALIBAR_03	¡Yatá! ¡En mi vida he forjao una ezpada mejó!
MSG_GET_EXCALIBAR_04	Vamoz, tomadla. ¡Toa vueztra!
MSG_GET_EXCALIBAR_05	Habéis obtenido la espada Excálibur.
MSG_LEARN_01	Un momento. Permitidme ver esa placa...
MSG_LEARN_02	¡Esta es... la Piedra Roseta!
MSG_LEARN_03	¡Ahora podremos descifrar la lengua lufenia!
MSG_LEARN_04	Ah... ¡Sí, por supuesto! ¡Ya lo tengo!
MSG_LEARN_05	Permitidme que os enseñe el idioma lufenio como muestra de gratitud.
MSG_LEARN_06	¡Listo! ¡Ahora vosotros también podéis hablar lufenio...!
MSG_MMD_CTY_01	La tierra está descomponiéndose, y todo por culpa del vampiro que vive en la Caverna de Tierra.<P>\nNuestro pueblo está en este estado de putrefacción porque él bloquea el flujo del poder de la tierra.<P>\n¿Nos haríais el favor de detenerlo?
MSG_MMD_CTY_02	Hace mucho tiempo, Melmondia era un hermoso pueblo, lleno de recursos naturales.
MSG_MMD_CTY_03	El vampiro nos atacó, destruyó nuestra iglesia y sumió nuestra ciudad en el caos.<P>\n¿Hay algo que podamos hacer para detener la destrucción de la tierra?
MSG_MMD_CTY_04	Vosotros sois los Guerreros de la Luz, ¿verdad?
MSG_MMD_CTY_05	¡Devolved la Luz a los Cristales!
MSG_MMD_CTY_06	El vampiro ha muerto, pero la tierra continúa descomponiéndose. ¿Qué es lo que ocurre?
MSG_MMD_CTY_07	La Caverna de Tierra está al sur de Melmondia, en una península llamada Cola del Diablo.<P>\nEn el pasado, a medida que te acercabas a la cueva, el suelo se hacía más fértil. Pero ahora...<P>\nAhora todo es tierra baldía.
MSG_MMD_CTY_08	¡El Cristal de la Tierra debe volver a brillar!
MSG_MMD_CTY_09	El gigante que vive en la cueva come rocas.<P>\nLas traga de todo tipo, pero dicen que prefiere las piedras preciosas. ¡Aunque no logra conseguir muchas!
MSG_MMD_CTY_10	¡No hay nada que yo, el genial doctor Une, no sepa!<P>\n¿Qué? ¿No habéis oído hablar de mí? ¡Imposible!
MSG_MMD_CTY_12	Tiempo atrás, una próspera civilización surgió en las tierras del norte.<P>\nAhora se encuentra en ruinas.
MSG_MMD_CTY_14	Pero bueno, ¡estáis más guapos! ¡De veras!
