MSG_JOB_NAME_01	นักรบ
MSG_MAGIC_NAME_49	<IC_BMGC>ไฟราก้า
MSG_MAGIC_NAME_50	<IC_BMGC>สคอจ
MSG_MAGIC_NAME_51	<IC_BMGC>เทเลพอร์ต
MSG_MAGIC_NAME_52	<IC_BMGC>สโลว์ร่า
MSG_MAGIC_NAME_53	<IC_BMGC>ธันดาก้า
MSG_MAGIC_NAME_54	<IC_BMGC>เดธ
MSG_MAGIC_NAME_55	<IC_BMGC>เควก
MSG_MAGIC_NAME_56	<IC_BMGC>สตัน
MSG_MAGIC_NAME_57	<IC_BMGC>บลิซซาก้า
MSG_MAGIC_NAME_58	<IC_BMGC>เบรก
MSG_MAGIC_NAME_59	<IC_BMGC>เซเบอร์
MSG_MAGIC_NAME_60	<IC_BMGC>บลายด์
MSG_MAGIC_NAME_61	<IC_BMGC>แฟลร์
MSG_MAGIC_NAME_62	<IC_BMGC>สต็อป
MSG_MAGIC_NAME_63	<IC_BMGC>วาร์ป
MSG_MAGIC_NAME_64	<IC_BMGC>คิล
MSG_MAG_INF_01	ฟื้นฟู HP เล็กน้อยให้สมาชิกทีมหนึ่งคน
MSG_MAG_INF_02	ทำลายล้างศัตรูที่เป็นอันเดธทั้งหมด
MSG_MAG_INF_03	เพิ่มพลังป้องกันให้สมาชิกทีมหนึ่งคน
MSG_MAG_INF_04	เพิ่มอัตราการหลบหลีกให้ตัวเอง
MSG_MAG_INF_05	รักษาสภาวะตาบอด
MSG_MAG_INF_06	ร่ายคาถาเป็นใบ้ใส่ศัตรูทั้งหมด
MSG_MAG_INF_07	ลดความเสียหายจากสายฟ้าของทั้งทีมลงครึ่งหนึ่ง
MSG_MAG_INF_08	เพิ่มอัตราการหลบหลีกให้สมาชิกทีมหนึ่งคน
MSG_MAG_INF_09	ฟื้นฟู HP ให้สมาชิกทีมหนึ่งคน
MSG_MAG_INF_10	ทำลายล้างศัตรูที่เป็นอันเดธทั้งหมด
MSG_MAG_INF_11	ลดความเสียหายจากไฟของทั้งทีมลงครึ่งหนึ่ง
MSG_MAG_INF_12	ฟื้นฟู HP เล็กน้อยให้สมาชิกทีมทั้งหมด
MSG_MAG_INF_13	รักษาสภาวะติดพิษ
MSG_MAG_INF_14	ขับไล่ศัตรูให้กลัวหนีไป
MSG_MAG_INF_15	ลดความเสียหายจากน้ำแข็งของทั้งทีมลงครึ่งหนึ่ง
MSG_MAG_INF_16	รักษาสภาวะเป็นใบ้
MSG_MAG_INF_17	ฟื้นฟู HP จำนวนมากให้ทีมหนึ่งคน
MSG_MAG_INF_18	ชุบชีวิตจากสภาวะไม่สามารถต่อสู้ได้
MSG_MAG_INF_19	ทำลายล้างศัตรูที่เป็นอันเดธทั้งหมด
MSG_MAG_INF_20	ฟื้นฟู HP ให้สมาชิกทีมทั้งหมด
MSG_MAG_INF_21	รักษาสภาวะเป็นหิน
MSG_MAG_INF_22	เคลื่อนย้ายทีมออกมานอกดันเจี้ยน
MSG_MAG_INF_23	เพิ่มพลังป้องกันให้ทีม
MSG_MAG_INF_24	เพิ่มอัตราหลบหลีกให้ทีม
MSG_MAG_INF_25	ฟื้นฟู HP ให้สมาชิกในทีมหนึ่งคนและรักษาสถานะที่ไม่ปรกติได้บางอย่าง
MSG_MAG_INF_26	ทำลายล้างศัตรูที่เป็นอันเดธทั้งหมด
MSG_MAG_INF_27	เพิ่มการป้องกันจากการตายแบบเฉียบพลันให้ดีขึ้น
MSG_MAG_INF_28	ฟื้นฟู HP จำนวนมากให้ทีมทั้งหมด
MSG_MAG_INF_29	ชุบชีวิตสมาชิกทีมหนึ่งคนและฟื้นฟู HP ให้เต็ม
MSG_MAG_INF_30	ทำลายศัตรูทั้งหมดด้วยแสงศักด์สิทธิ์
MSG_MAG_INF_31	ลดความเสียหายจากเวทมนตร์ลงครึ่งหนึ่ง
MSG_MAG_INF_32	ลดพลังป้องกันเวทมนตร์ของศัตรูหนึ่งตัว
MSG_MAG_INF_33	ทำลายล้างศัตรูหนึ่งตัวด้วยไฟ
MSG_MAG_INF_34	ทำให้ศัตรูทั้งหมดหลับ
MSG_MAG_INF_35	ลดอัตราหลบหลีกของศัตรูหนึ่งตัว
MSG_MAG_INF_36	ทำลายล้างศัตรูหนึ่งตัวด้วยสายฟ้า
MSG_MAG_INF_37	ทำลายล้างศัตรูหนึ่งตัวด้วยน้ำแข็ง
MSG_MAG_INF_38	ทำให้ศัตรูทั้งหมดอยู่ในสภาวะตาบอด
MSG_MAG_INF_39	เพิ่มพลังโจมตีให้สมาชิกทีมหนึ่งคน
MSG_MAG_INF_40	ลดความเร็วการโจมตีของศัตรูทั้งหมด
MSG_MAG_INF_41	ทำลายล้างศัตรูทั้งหมดด้วยไฟ
MSG_MAG_INF_42	ทำให้ศัตรูหนึ่งตัวกลายเป็นอัมพาต
MSG_MAG_INF_43	ทำลายล้างศัตรูทั้งหมดด้วยสายฟ้า
MSG_MAG_INF_44	ลดอัตราหลบหลีกของศัตรูทั้งหมดลง
MSG_MAG_INF_45	ทำให้ศัตรูหนึ่งตัวหลับ
MSG_MAG_INF_46	เพิ่มความเร็วในการโจมตีของสมาชิกทีมหนึ่งคนเป็นสองเท่า
MSG_MAG_INF_47	ทำให้ศัตรูโจมตีกันเอง
MSG_MAG_INF_48	ทำลายล้างศัตรูทั้งหมดด้วยน้ำแข็ง
MSG_MAG_INF_49	ทำลายล้างศัตรูทั้งหมดด้วยไฟ
MSG_MAG_INF_50	ฆ่าศัตรูทั้งหมดให้ตายทันที
MSG_MAG_INF_51	เคลื่อนย้ายทีมไปยังชั้นก่อนหน้านี้
MSG_MAG_INF_52	ลดจำนวนครั้งในการโจมตีของศัตรูหนึ่งตัว
MSG_MAG_INF_53	ทำลายล้างศัตรูทั้งหมดด้วยสายฟ้า
MSG_MAG_INF_54	ฆ่าศัตรูหนึ่งตัวให้ตายทันที
MSG_MAG_INF_55	เรียกแผ่นดินไหวให้สูบกลืนศัตรู
MSG_MAG_INF_56	ทำให้ศัตรูหนึ่งตัวกลายเป็นอัมพาต
MSG_MAG_INF_57	ทำลายล้างศัตรูทั้งหมดด้วยน้ำแข็ง
MSG_MAG_INF_58	ทำให้ศัตรูกลายเป็นหิน
MSG_MAG_INF_59	เพิ่มพลังต่อสู้และความแม่นยำให้ตัวเอง
MSG_MAG_INF_60	ทำให้ศัตรูหนึ่งตัวอยู่ในสภาวะตาบอด
MSG_MAG_INF_61	ทำลายศัตรูทั้งหมดด้วยแสงและความร้อน
MSG_MAG_INF_62	หยุดเวลาและทำให้ศัตรูทั้งหมดเป็นอัมพาต
MSG_MAG_INF_63	ส่งศัตรูไปยังอีกมิติหนึ่ง
MSG_MAG_INF_64	ฆ่าศัตรูหนึ่งตัวให้ตายทันที
MSG_ITEM_NAME_01	<IC_DRAG>โพชั่น
MSG_ITEM_NAME_02	<IC_BAG>ยาถอนพิษ
MSG_ITEM_NAME_03	<IC_BAG>เข็มทอง
MSG_ITEM_NAME_04	<IC_TENTO>ถุงนอน
MSG_ITEM_NAME_05	<IC_TENTO>เต็นท์
MSG_ITEM_NAME_06	<IC_TENTO>กระท่อม
MSG_ITEM_NAME_07	<IC_DRAG>ไฮโพชั่น
MSG_ITEM_NAME_08	<IC_DRAG>เอ็กซ์โพชั่น
MSG_ITEM_NAME_09	<IC_DRAG>เอเธอร์
MSG_ITEM_NAME_11	<IC_DRAG>ดรายเอเธอร์
MSG_ITEM_NAME_12	<IC_DRAG>ยาอายุวัฒนะ
MSG_ITEM_NAME_14	<IC_BAG>ฟินิกซ์ดาวน์
MSG_ITEM_NAME_15	<IC_BAG>ยารักษาสารพัด
MSG_ITEM_NAME_16	<IC_BAG>ยาหยอดตา
MSG_ITEM_NAME_17	<IC_BAG>หญ้าเสียงสะท้อน
MSG_ITEM_NAME_39	<IC_BAG>ยาแห่งกำลัง
MSG_ITEM_NAME_40	<IC_BAG>ยาแห่งยักษ์
MSG_ITEM_NAME_42	<IC_BAG>โพรเทกดริ้งค์
MSG_ITEM_NAME_43	<IC_BAG>สปีดดริ้งค์
MSG_ITEM_INF_01	ฟื้นฟู HP 50 หน่วย
MSG_ITEM_INF_02	รักษาสภาวะติดพิษ
MSG_ITEM_INF_03	รักษาสภาวะกลายเป็นหิน
MSG_ITEM_INF_04	ฟื้นฟู HP บางส่วนให้ทีม\nใช้ได้บนพื้นที่ในแผนที่โลกเท่านั้น
MSG_ITEM_INF_05	ฟื้นฟู HP และ MP บางส่วนให้ทีม\nใช้ได้บนพื้นที่ในแผนที่โลกเท่านั้น
MSG_ITEM_INF_06	ฟื้นฟู HP และ MP เต็มให้ทีม\nใช้ได้บนพื้นที่ในแผนที่โลกเท่านั้น
MSG_ITEM_INF_07	ฟื้นฟู HP 150 หน่วย
MSG_ITEM_INF_08	ฟื้นฟู HP ให้เต็ม
MSG_ITEM_INF_09	ฟื้นฟู MP 1 หน่วย สำหรับ ทุกระดับเวทมนตร์
MSG_ITEM_INF_11	ฟื้นฟู MP 5 หน่วย สำหรับ ทุกระดับเวทมนตร์
MSG_ITEM_INF_12	ฟื้นฟู HP และ MP ให้เต็ม
MSG_ITEM_INF_14	ชุบชีวิตจากสภาวะไม่สามารถต่อสู้ได้
MSG_ITEM_INF_15	รักษาทุกสภาวะยกเว้นกลายเป็นหินและหมดสภาพต่อสู้
MSG_ITEM_INF_16	รักษาสภาวะตาบอด
MSG_ITEM_INF_17	รักษาสภาวะเป็นใบ้
MSG_ITEM_INF_39	เพิ่มพลังต่อสู้ชั่วคราว
MSG_ITEM_INF_40	เพิ่ม HP สูงสุดชั่วคราว
MSG_ITEM_INF_42	เพิ่มพลังป้องกันชั่วคราว
MSG_ITEM_INF_43	เพิ่มความเร็วชั่วคราว
MSG_WEAPON_NAME_01	<IC_NIF>มีด
MSG_WEAPON_NAME_02	<IC_WND>ไม้เท้า
MSG_WEAPON_NAME_03	<IC_WND>ไม้เท้าเยียวยา
MSG_WEAPON_NAME_04	<IC_NIF>กริช
MSG_WEAPON_NAME_05	<IC_HMR>ฆ้อน
MSG_WEAPON_NAME_06	<IC_SRD>เรเปีย
MSG_WEAPON_NAME_07	<IC_KTN>ซิมิตาร์
MSG_WEAPON_NAME_08	<IC_NIF>มีดมิสริล
MSG_WEAPON_NAME_09	<IC_NCK>กระบองสองท่อน
MSG_WEAPON_NAME_10	<IC_WND>ไม้เท้าแห่งพลัง
MSG_WEAPON_NAME_11	<IC_HMR>ฆ้อนมิสริล
MSG_WEAPON_NAME_12	<IC_WND>ไม้เท้ามนตร์ดำ
MSG_WEAPON_NAME_13	<IC_SRD>เซเบอร์
MSG_WEAPON_NAME_14	<IC_WND>คทา
MSG_WEAPON_NAME_15	<IC_KTN>ดาบสั้น
MSG_WEAPON_NAME_16	<IC_SRD>ดาบใหญ่
MSG_WEAPON_NAME_17	<IC_WND>ไม้เท้าจอมเวท
MSG_WEAPON_NAME_18	<IC_NCK>กระบองเหล็ก
MSG_WEAPON_NAME_19	<IC_AX>ขวานต่อสู้
MSG_WEAPON_NAME_20	<IC_SRD>ดาบอักษร
MSG_WEAPON_NAME_21	<IC_SRD>แวร์บัสเตอร์
MSG_WEAPON_NAME_22	<IC_HMR>ฆ้อนธอร์
MSG_WEAPON_NAME_23	<IC_SRD>วายม์คิลเลอร์
MSG_WEAPON_NAME_24	<IC_SRD>ดาบปะการัง
MSG_WEAPON_NAME_25	<IC_SRD>ดาบยาว
MSG_WEAPON_NAME_26	<IC_SRD>ดาบชั้นยอด
MSG_WEAPON_NAME_27	<IC_AX>ขวานชั้นยอด
MSG_WEAPON_NAME_28	<IC_SRD>เรเซอร์
MSG_WEAPON_NAME_29	<IC_CLW>กรงเล็บแมว
MSG_WEAPON_NAME_30	<IC_SRD>ดาบมิสริล
MSG_WEAPON_NAME_31	<IC_SRD>ดาบวอร์พอล
MSG_WEAPON_NAME_32	<IC_AX>ขวานมิสริล
MSG_WEAPON_NAME_33	<IC_SRD>ดาบเห่งไฟ
MSG_WEAPON_NAME_34	<IC_AX>ขวานสายฟ้า
MSG_WEAPON_NAME_35	<IC_SRD>ดาบน้ำแข็ง
MSG_WEAPON_NAME_36	<IC_SRD>ดีเฟนเดอร์
MSG_WEAPON_NAME_37	<IC_SRD>ดาบอาทิตย์
MSG_WEAPON_NAME_38	<IC_KTN>ดาบซาซุเกะ
MSG_WEAPON_NAME_39	<IC_SRD>เอ็กซ์คาลิเบอร์
MSG_WEAPON_NAME_40	<IC_KTN>มาซามุเนะ
MSG_WEAPON_INF_01	มีดเล็ก
MSG_WEAPON_INF_02	ไม้เท้าที่ทำจากไม้
MSG_WEAPON_INF_03	ไม้เท้าที่ให้คาถาฮีลเมื่อใช้
MSG_WEAPON_INF_04	มีดใหญ่
MSG_WEAPON_INF_05	ฆ้อนใช้ในการสู้รบ
MSG_WEAPON_INF_06	ดาบที่มีใบมีดบาง
MSG_WEAPON_INF_07	ดาบที่มีใบมีดโค้ง
MSG_WEAPON_INF_08	มีดสั้นทำจากโลหะมิสริล
MSG_WEAPON_INF_09	กระบองไม้สองท่อน
MSG_WEAPON_INF_10	ไม้เท้าที่มีพลังโจมตีอานุภาพสูง
MSG_WEAPON_INF_11	ฆ้อนทำจากโลหะมิสริล
MSG_WEAPON_INF_12	ไม้เท้าที่ให้คาถาไฟร่าเมื่อใช้
MSG_WEAPON_INF_13	ดาบยาวสำหรับแทง
MSG_WEAPON_INF_14	ไม้เท้าหัวแหวนเหล็ก
MSG_WEAPON_INF_15	ดาบปลายกว้าง
MSG_WEAPON_INF_16	ดาบแบนกว้างสองคม
MSG_WEAPON_INF_17	ไม้เท้าที่ให้คาถาคอนฟิวส์เมื่อใช้
MSG_WEAPON_INF_18	กระบองเหล็กสองท่อน
MSG_WEAPON_INF_19	ขวานใช้ในการสู้รบ
MSG_WEAPON_INF_20	ดาบที่ใช้ได้ผลกับผู้ใช้เวท
MSG_WEAPON_INF_21	ดาบที่ใช้ต่อสู้กับสัตว์ประหลาด
MSG_WEAPON_INF_22	ค้อนที่ให้คาถาธันดาร่าเมื่อใช้
MSG_WEAPON_INF_23	ดาบที่ใช้ได้ผลกับมังกร
MSG_WEAPON_INF_24	ดาบที่ใช้ได้ผลกับศัตรูที่เป็นสัตว์น้ำ
MSG_WEAPON_INF_25	ดาบใหญ่สองคม
MSG_WEAPON_INF_26	ดาบที่ใช้ได้ผลกับยักษ์
MSG_WEAPON_INF_27	ขวานใหญ่ใช้ในการสู้รบ
MSG_WEAPON_INF_28	เซเบอร์ที่ให้คาถาสคอจเมื่อใช้
MSG_WEAPON_INF_29	อาวุธที่มีใบมีดคมกริบ
MSG_WEAPON_INF_30	ดาบทำจากโลหะมิสริล
MSG_WEAPON_INF_31	ดาบจันทร์เสี้ยวคมกริบ
MSG_WEAPON_INF_32	ขวานทำจากโลหะมิสริล
MSG_WEAPON_INF_33	ดาบดูดซับพลังแห่งไฟ
MSG_WEAPON_INF_34	ขวานที่ใช้ได้ผลกับผีดิบให้ใช้คาถาเดียร่าเมื่อต้องการใช้ขวานนี้
MSG_WEAPON_INF_35	ดาบดูดซับพลังน้ำแข็ง
MSG_WEAPON_INF_36	ดาบที่ให้คาถาบลิ๊งค์เมื่อใช้
MSG_WEAPON_INF_37	ดาบที่ใช้ได้ผลกับอันเดธ
MSG_WEAPON_INF_38	ดาบคาตานะเล็กของนินจา
MSG_WEAPON_INF_39	ดาบที่ทำจากโลหะในตำนานใช้ได้ผลกับศัตรูทุกประเภท
MSG_WEAPON_INF_40	ดาบคาตานะในตำนานที่แข็งแกร่งที่สุด
MSG_ARMOR_NAME_01	<IC_CLTH>เสื้อผ้า
MSG_ARMOR_NAME_02	<IC_ARMOR>ชุดเกราะหนัง
MSG_ARMOR_NAME_03	<IC_RING>ปลอกแขนทองแดง
MSG_ARMOR_NAME_04	<IC_ARMOR>เกราะโซ่
MSG_ARMOR_NAME_05	<IC_RING>ปลอกแขนเงิน
MSG_ARMOR_NAME_06	<IC_ARMOR>เกราะมิสริล
MSG_ARMOR_NAME_07	<IC_ARMOR>ชุดเกราะเหล็ก
MSG_ARMOR_NAME_08	<IC_CLTH>เสื้อคลุมขาว
MSG_ARMOR_NAME_09	<IC_CLTH>เสื้อคลุมดำ
MSG_ARMOR_NAME_10	<IC_RING>ปลอกแขนทับทิม
MSG_ARMOR_NAME_11	<IC_ARMOR>ชุดเกราะอัศวิน
MSG_ARMOR_NAME_12	<IC_ARMOR>เกราะไฟ
MSG_ARMOR_NAME_13	<IC_ARMOR>ชุดเกราะน้ำแข็ง
MSG_ARMOR_NAME_14	<IC_RING>ปลอกแขนเพชร
MSG_ARMOR_NAME_15	<IC_ARMOR>ชุดเกราะเพชร
MSG_ARMOR_NAME_16	<IC_ARMOR>เกราะมังกร
MSG_ARMOR_NAME_17	<IC_SHIELD>โล่หนัง
MSG_ARMOR_NAME_18	<IC_SHIELD>โล่กลม
MSG_ARMOR_NAME_19	<IC_SHIELD>โล่เหล็ก
MSG_ARMOR_NAME_20	<IC_SHIELD>เสื้อคลุมป้องกัน
MSG_ARMOR_NAME_21	<IC_SHIELD>โล่มิสริล
MSG_ARMOR_NAME_22	<IC_SHIELD>โล่ไฟ
MSG_ARMOR_NAME_23	<IC_SHIELD>โล่น้ำแข็ง
MSG_ARMOR_NAME_24	<IC_SHIELD>โล่เพชร
MSG_ARMOR_NAME_25	<IC_SHIELD>โล่อีจิส
MSG_ARMOR_NAME_26	<IC_GLOV>ถุงมือหนัง
MSG_ARMOR_NAME_27	<IC_GLOV>ถุงมือทองแดง
MSG_ARMOR_NAME_28	<IC_GLOV>ถุงมือเหล็ก
MSG_ARMOR_NAME_29	<IC_GLOV>ถุงมือมิสริล
MSG_ARMOR_NAME_30	<IC_GLOV>ถุงมือยาว
MSG_ARMOR_NAME_31	<IC_GLOV>ถุงมือยักษ์
MSG_ARMOR_NAME_32	<IC_GLOV>ถุงมือเพชร
MSG_ARMOR_NAME_33	<IC_GLOV>แหวนป้องกัน
MSG_ARMOR_NAME_34	<IC_HEAD>หมวกหนัง
MSG_ARMOR_NAME_35	<IC_HEAD>ริบบิ้น
MSG_ARMOR_NAME_36	<IC_HEAD>หมวกเหล็ก
MSG_ARMOR_NAME_37	<IC_HEAD>หมวกเหล็กชั้นยอด
MSG_ARMOR_NAME_38	<IC_HEAD>หมวกเหล็กมิสริล
MSG_ARMOR_NAME_39	<IC_HEAD>หมวกเหล็กฮีล
MSG_ARMOR_NAME_40	<IC_HEAD>หมวกเหล็กเพชร
MSG_ARMOR_INF_01	เสื้อผ้าธรรมดา
MSG_ARMOR_INF_02	ชุดเกราะทำจากหนังแข็ง
MSG_ARMOR_INF_03	ปลอกแขนทำจากทองแดง
MSG_ARMOR_INF_04	เกราะถักจากห่วงโซ่
MSG_ARMOR_INF_05	ปลอกแขนทำจากเงิน
MSG_ARMOR_INF_06	เกราะทำจากโลหะมิสริล
MSG_ARMOR_INF_07	ชุดเกราะทำจากเหล็กบาง
MSG_ARMOR_INF_08	ชุดคลุมป้องกันไฟและการตายแบบเฉียบพลันให้คาถาอินวิซิร่าเมื่อใช้
MSG_ARMOR_INF_09	ชุดคลุมป้องกันน้ำแข็งและความผิดปกติของเวลาให้ใช้คาถาบลิซซาร่าเมื่อต้องการใช้ชุดคลุมนี้
MSG_ARMOR_INF_10	ปลอกแขนประดับทับทิม
MSG_ARMOR_INF_11	ชุดเกราะทำจากแผ่นเหล็กกล้า
MSG_ARMOR_INF_12	เสื้อเกราะที่หุ้มด้วยพลังแห่งไฟใช้ป้องกันน้ำแข็ง
MSG_ARMOR_INF_13	ชุดเกราะอาบพลังน้ำแข็งใช้ป้องกันไฟ
MSG_ARMOR_INF_14	ปลอกแขนประดับเพชร
MSG_ARMOR_INF_15	ชุดเกราะทำจากเพชรใช้ป้องกันสายฟ้า
MSG_ARMOR_INF_16	เสื้อเกราะที่ทำจากเกล็ดมังกรใช้ป้องกันไฟและน้ำแข็ง
MSG_ARMOR_INF_17	โล่ทำจากหนังแข็ง
MSG_ARMOR_INF_18	โล่ขนาดเล็ก
MSG_ARMOR_INF_19	โล่ทำจากเหล็ก
MSG_ARMOR_INF_20	เสื้อคลุมใหญ่ไว้สวมบนชุดเกราะ
MSG_ARMOR_INF_21	โล่ทำจากโลหะมิสริล
MSG_ARMOR_INF_22	โล่ดูดซับพลังแห่งไฟใช้ป้องกันน้ำแข็ง
MSG_ARMOR_INF_23	โล่ดูดซับพลังน้ำแข็งใช้ป้องกันไฟ
MSG_ARMOR_INF_24	โล่ทำจากเพชรใช้ป้องกันสายฟ้า
MSG_ARMOR_INF_25	โล่ป้องกันสภาวะการกลายเป็นหินและการติดพิษ
MSG_ARMOR_INF_26	ถุงมือทำจากหนัง
MSG_ARMOR_INF_27	ถุงมือทำจากทองแดง
MSG_ARMOR_INF_28	ถุงมือทำจากเหล็ก
MSG_ARMOR_INF_29	ถุงมือสร้างจากโลหะมิสริล
MSG_ARMOR_INF_30	ถุงมือที่ให้คาถาธันดาร่าเมื่อใช้
MSG_ARMOR_INF_31	ถุงมือที่ให้คาถาเซเบอร์เมื่อใช้
MSG_ARMOR_INF_32	ถุงมือทำจากเพชร
MSG_ARMOR_INF_33	แหวนป้องกันการตายแบบเฉียบพลัน
MSG_ARMOR_INF_34	หมวกทำจากหนัง
MSG_ARMOR_INF_35	ริบบิ้นป้องกันการโจมตีจากธาตุและผลกระทบจากสถานะ
MSG_ARMOR_INF_36	หมวกเหล็กเล็ก
MSG_ARMOR_INF_37	หมวกเหล็กคลุมทั้งศีรษะ
MSG_ARMOR_INF_38	หมวกทำจากโลหะมิสริล
MSG_ARMOR_INF_39	หมวกที่ให้คาถาฮีลเมื่อใช้
MSG_ARMOR_INF_40	หมวกทำจากเพชร
MSG_KEY_NAME_01	<IC_IOBJ>ลูต
MSG_KEY_NAME_02	<IC_IOBJ>มงกุฎ
MSG_KEY_NAME_03	<IC_IOBJ>ดวงตาผลึก
MSG_KEY_NAME_04	<IC_IOBJ>ยาคืนสติ
MSG_KEY_NAME_05	<IC_IOBJ>กุญแจลับ
MSG_KEY_NAME_06	<IC_IOBJ>ผงไนโตร
MSG_KEY_NAME_07	<IC_IOBJ>อะดาแมนไทท์
MSG_KEY_NAME_08	<IC_IOBJ>โรเซ็ตต้าสโตน
MSG_KEY_NAME_09	<IC_IOBJ>สตาร์รูบี้
MSG_KEY_NAME_10	<IC_IOBJ>คทาแห่งดิน
MSG_KEY_NAME_11	<IC_IOBJ>เลวี่สโตน
MSG_KEY_NAME_12	<IC_IOBJ>ระฆัง
MSG_KEY_NAME_13	<IC_IOBJ>หางหนู
MSG_KEY_NAME_14	<IC_IOBJ>วาร์ปคิวบ์
MSG_KEY_NAME_15	<IC_IOBJ>แฟร์รี่ในขวด
MSG_KEY_NAME_16	<IC_IOBJ>น้ำแห่งอากาศ
MSG_KEY_NAME_17	<IC_IOBJ>แคนู
MSG_KEY_INF_01	เครื่องดนตรีเสียงไพเราะ
MSG_KEY_INF_02	มงกุฎเปล่งแสงลึกลับ
MSG_KEY_INF_03	ก้อนผลึกคริสตัลโปร่งแสง
MSG_KEY_INF_04	ยาช่วยฟื้นจากการหลับลึกได้
MSG_KEY_INF_05	กุญแจไขประตูที่ถูกปิดผนึกด้วยเวท
MSG_KEY_INF_06	ผงพลังระเบิดอนุภาพสูง
MSG_KEY_INF_07	แร่เหล็กในตำนานที่แข็งแกร่งที่สุด
MSG_KEY_INF_08	แผ่นหินสลักอักษรโบราณ
MSG_KEY_INF_09	อัญมณีสีแดงชิ้นใหญ่
