MSG_JOB_NAME_01	Guerriero
MSG_ARMOR_NAME_07	<IC_ARMOR>Armatura di ferro
MSG_ARMOR_NAME_08	<IC_CLTH>Veste bianca
MSG_ARMOR_NAME_09	<IC_CLTH>Veste nera
MSG_ARMOR_NAME_10	<IC_RING>Bracciale di rubino
MSG_ARMOR_NAME_11	<IC_ARMOR>Armatura nobile
MSG_ARMOR_NAME_12	<IC_ARMOR>Maglia ardente
MSG_ARMOR_NAME_13	<IC_ARMOR>Cotta glaciale
MSG_ARMOR_NAME_14	<IC_RING>Bracciale di diamante
MSG_ARMOR_NAME_15	<IC_ARMOR>Armatura di diamante
MSG_ARMOR_NAME_16	<IC_ARMOR>Cotta del drago
MSG_ARMOR_NAME_17	<IC_SHIELD>Scudo di cuoio
MSG_ARMOR_NAME_18	<IC_SHIELD>Scudo tondo
MSG_ARMOR_NAME_19	<IC_SHIELD>Scudo di ferro
MSG_ARMOR_NAME_20	<IC_SHIELD>Manto robusto
MSG_ARMOR_NAME_21	<IC_SHIELD>Scudo di mithril
MSG_ARMOR_NAME_22	<IC_SHIELD>Scudo ardente
MSG_ARMOR_NAME_23	<IC_SHIELD>Scudo glaciale
MSG_ARMOR_NAME_24	<IC_SHIELD>Scudo di diamante
MSG_ARMOR_NAME_25	<IC_SHIELD>Scudo dell'egida
MSG_ARMOR_NAME_26	<IC_GLOV>Guanti di cuoio
MSG_ARMOR_NAME_27	<IC_GLOV>Guanti di bronzo
MSG_ARMOR_NAME_28	<IC_GLOV>Guanti d'acciaio
MSG_ARMOR_NAME_29	<IC_GLOV>Guanti di mithril
MSG_ARMOR_NAME_30	<IC_GLOV>Manopole
MSG_ARMOR_NAME_31	<IC_GLOV>Guanti giganti
MSG_ARMOR_NAME_32	<IC_GLOV>Guanti di diamante
MSG_ARMOR_NAME_33	<IC_GLOV>Anello difensivo
MSG_ARMOR_NAME_34	<IC_HEAD>Berretto di cuoio
MSG_ARMOR_NAME_35	<IC_HEAD>Fiocco
MSG_ARMOR_NAME_36	<IC_HEAD>Elmo
MSG_ARMOR_NAME_37	<IC_HEAD>Elmo chiuso
MSG_ARMOR_NAME_38	<IC_HEAD>Elmo di mithril
MSG_ARMOR_NAME_39	<IC_HEAD>Elmo curativo
MSG_ARMOR_NAME_40	<IC_HEAD>Elmo di diamante
MSG_ARMOR_INF_01	Vestiti di fattura comune.
MSG_ARMOR_INF_02	Armatura di pelle conciata.
MSG_ARMOR_INF_03	Bracciale realizzato in metallo brunito.
MSG_ARMOR_INF_04	Armatura di anelli metallici.
MSG_ARMOR_INF_05	Bracciale realizzato in argento.
MSG_ARMOR_INF_06	Cotta di maglia realizzata in mithril.
MSG_ARMOR_INF_07	Armatura composta da sottili piastre metalliche.
MSG_ARMOR_INF_08	Veste che protegge dal Fuoco e dalla morte istantanea.\nLancia Invisira se usata come oggetto in battaglia.
MSG_ARMOR_INF_09	Veste che protegge dal Ghiaccio e dalle alterazioni spaziotemporali.\nLancia Buferara se usata come oggetto in battaglia.
MSG_ARMOR_INF_10	Bracciale adornato di pietre scarlatte.
MSG_ARMOR_INF_11	Armatura composta da piastre d'acciaio.
MSG_ARMOR_INF_12	Cotta di maglia infusa del potere delle fiamme che protegge dal Ghiaccio.
MSG_ARMOR_INF_13	Cotta di maglia infusa del potere del gelo che protegge dal Fuoco.
MSG_ARMOR_INF_14	Bracciale adornato di pietre iridescenti.
MSG_ARMOR_INF_15	Armatura intagliata nel diamante che protegge dal Tuono.
MSG_ARMOR_INF_16	Armatura composta da scaglie di drago che protegge da Fuoco, Ghiaccio e Tuono.
MSG_ARMOR_INF_17	Scudo di pelle conciata.
MSG_ARMOR_INF_18	Scudo di piccole dimensioni.
MSG_ARMOR_INF_19	Scudo metallico.
MSG_ARMOR_INF_20	Cappa indossata sopra l'armatura.
MSG_ARMOR_INF_21	Scudo realizzato in mithril.
MSG_ARMOR_INF_22	Scudo infuso del potere delle fiamme che protegge dal Ghiaccio.
MSG_ARMOR_INF_23	Scudo infuso del potere del gelo che protegge dal Fuoco.
MSG_ARMOR_INF_24	Scudo intagliato nel diamante che protegge dal Tuono.
MSG_ARMOR_INF_25	Scudo che difende da pietrificazione e veleno.
MSG_ARMOR_INF_26	Guanti di pelle conciata.
MSG_ARMOR_INF_27	Guanti realizzati in bronzo.
MSG_ARMOR_INF_28	Guanti composti da piastre d'acciaio.
MSG_ARMOR_INF_29	Guanti realizzati in mithril.
MSG_ARMOR_INF_30	Guanti che lanciano Tuona se usati come oggetto in battaglia.
MSG_ARMOR_INF_31	Guanti che lanciano Sciabola se usati come oggetto in battaglia.
MSG_ARMOR_INF_32	Guanti intagliati nel diamante.
MSG_ARMOR_INF_33	Anello che protegge dalla Morte istantanea.
MSG_ARMOR_INF_34	Cappello di pelle conciata.
MSG_ARMOR_INF_35	Una decorazione che protegge dagli attacchi elementali e dalle alterazioni di stato.
MSG_ARMOR_INF_36	Piccolo casco metallico.
MSG_ARMOR_INF_37	Elmo che copre tutta la testa.
MSG_ARMOR_INF_38	Elmo realizzato in mithril.
MSG_ARMOR_INF_39	Elmo che lancia Cura se usato come oggetto in battaglia.
MSG_ARMOR_INF_40	Elmo intagliato nel diamante.
MSG_KEY_NAME_01	<IC_IOBJ>Liuto
MSG_KEY_NAME_02	<IC_IOBJ>Corona
MSG_KEY_NAME_03	<IC_IOBJ>Occhio di cristallo
MSG_KEY_NAME_04	<IC_IOBJ>Filtro del risveglio
MSG_KEY_NAME_05	<IC_IOBJ>Chiave arcana
MSG_KEY_NAME_06	<IC_IOBJ>Nitroglicerina
MSG_KEY_NAME_07	<IC_IOBJ>Adamantio
MSG_KEY_NAME_08	<IC_IOBJ>Stele di Rosetta
MSG_KEY_NAME_09	<IC_IOBJ>Rubino stellare
MSG_KEY_NAME_10	<IC_IOBJ>Ferula terrena
MSG_KEY_NAME_11	<IC_IOBJ>Levipietra
MSG_KEY_NAME_12	<IC_IOBJ>Sonaglio
MSG_KEY_NAME_13	<IC_IOBJ>Coda di topo
MSG_KEY_NAME_14	<IC_IOBJ>Telecubo
MSG_KEY_NAME_15	<IC_IOBJ>Fatina in bottiglia
MSG_KEY_NAME_16	<IC_IOBJ>Oxyale
MSG_KEY_NAME_17	<IC_IOBJ>Canoa
MSG_KEY_INF_01	Strumento musicale dal suono armonioso.
MSG_KEY_INF_02	Diadema che splende di una luce misteriosa.
MSG_KEY_INF_03	Una sfera di cristallo trasparente.
MSG_KEY_INF_04	Pozione in grado di destare dal sonno più profondo.
MSG_KEY_INF_05	Chiave in grado di aprire le porte sigillate con la magia.
MSG_KEY_INF_06	Sostanza ad alto potenziale esplosivo.
MSG_KEY_INF_07	Metallo leggendario celebre per la sua resistenza.
MSG_KEY_INF_08	Tavoletta ricoperta di antiche iscrizioni.
MSG_KEY_INF_09	Gigantesca pietra scarlatta.
MSG_KEY_INF_10	Bacchetta che racchiude il potere della terra e della natura.
MSG_KEY_INF_11	Misteriosa pietra che fluttua a mezz'aria.
MSG_KEY_INF_12	Campanello dal suono cristallino creato dai Celestiali.
MSG_KEY_INF_13	Prova di valore e forza.
MSG_KEY_INF_14	Artefatto realizzato con un misterioso materiale multicolore.
MSG_KEY_INF_15	Bottiglia nella quale è intrappolata una fatina.
MSG_KEY_INF_16	Liquido misterioso capace di produrre una riserva infinta d'aria.
MSG_KEY_INF_17	Piccola imbarcazione che permette di attraversare laghi e fiumi.
MSG_MON_NAME_01	Goblin
MSG_MON_NAME_02	Guardia goblin
MSG_MON_NAME_03	Lupo
MSG_MON_NAME_04	Lupo warg
MSG_MON_NAME_05	Lupo mannaro
MSG_MON_NAME_06	Lupo bianco
MSG_MON_NAME_07	Lucertola
MSG_MON_NAME_08	Lucertola fiammante
MSG_MON_NAME_09	Basilisco
MSG_MON_NAME_10	Giga montano
MSG_MON_NAME_11	Giga glaciale
MSG_MON_NAME_12	Giga focoso
MSG_MON_NAME_13	Sahagin
MSG_MON_NAME_14	Capo sahagin
MSG_MON_NAME_15	Sahagin nobile
MSG_MON_NAME_16	Pirata
MSG_MON_NAME_17	Bucaniere
MSG_MON_NAME_18	Squalo
MSG_MON_NAME_19	Squalo bianco
MSG_MON_NAME_20	Occhione
MSG_MON_NAME_21	Binocolo
MSG_MON_NAME_22	Scheletro
MSG_MON_NAME_23	Scheletro insanguinato
MSG_MON_NAME_24	Gigaverme
MSG_MON_NAME_25	Bruco
MSG_MON_NAME_26	Ienadon
MSG_MON_NAME_27	Cane infernale
MSG_MON_NAME_28	Orco
MSG_MON_NAME_29	Capo orco
MSG_MON_NAME_30	Mago orco
MSG_MON_NAME_31	Cobra
MSG_MON_NAME_32	Anaconda
MSG_MON_NAME_33	Serpente marino
MSG_MON_NAME_34	Scorpione
MSG_MON_NAME_35	Idroscorpione
MSG_MON_NAME_36	Minotauro
MSG_MON_NAME_37	Necrotauro
MSG_MON_NAME_38	Troll
MSG_MON_NAME_39	Troll di mare
MSG_MON_NAME_40	Ombra
MSG_MON_NAME_41	Fantasma
MSG_MON_NAME_42	Spettro
MSG_MON_NAME_43	Spirito
MSG_MON_NAME_44	Zombie
MSG_MON_NAME_45	Necrospettro
MSG_MON_NAME_46	Abominio
MSG_MON_NAME_47	Orrore
MSG_MON_NAME_48	Verme purpureo
MSG_MON_NAME_49	Verme desertico
MSG_MON_NAME_50	Verme lavico
MSG_MON_NAME_51	Occhio maligno
MSG_MON_NAME_52	Necrocchio
MSG_MON_NAME_53	Medusa
MSG_MON_NAME_54	Medusa terrena
MSG_MON_NAME_55	Tigre mannara
MSG_MON_NAME_56	Rakshasa
MSG_MON_NAME_57	Ankheg
MSG_MON_NAME_58	Remorazz
MSG_MON_NAME_59	Tigre minore
MSG_MON_NAME_60	Smilodonte
MSG_MON_NAME_61	Vampiro
MSG_MON_NAME_62	Lord vampiro
MSG_MON_NAME_63	Gargolla
MSG_MON_NAME_64	Demone cornuto
MSG_MON_NAME_65	Elementale terreno
MSG_MON_NAME_66	Elementale fiammante
MSG_MON_NAME_67	Drago bianco
MSG_MON_NAME_68	Drago rosso
MSG_MON_NAME_69	Drago zombie
MSG_MON_NAME_70	Melma verde
MSG_MON_NAME_71	Mousse grigia
MSG_MON_NAME_72	Gelatina ocra
MSG_MON_NAME_73	Budino nero
MSG_MON_NAME_74	Vedova nera
MSG_MON_NAME_75	Tarantola
MSG_MON_NAME_76	Manticora
MSG_MON_NAME_77	Sfinge
MSG_MON_NAME_78	Bulette
MSG_MON_NAME_79	Bulette desertico
MSG_MON_NAME_80	Mummia
MSG_MON_NAME_81	Mummia regina
MSG_MON_NAME_82	Coccatrice
MSG_MON_NAME_83	Pirolisco
MSG_MON_NAME_84	Viverna
MSG_MON_NAME_85	Wyrm
MSG_MON_NAME_86	Allosauro
MSG_MON_NAME_87	Tirannosauro
MSG_MON_NAME_88	Piranha
MSG_MON_NAME_89	Piranha rosso
MSG_MON_NAME_90	Coccodrillo
MSG_MON_NAME_91	Albodrillo
MSG_MON_NAME_92	Ochu
MSG_MON_NAME_93	Neochu
MSG_MON_NAME_94	Idra
MSG_MON_NAME_95	Idra di fuoco
MSG_MON_NAME_96	Guardiano
MSG_MON_NAME_97	Soldato
MSG_MON_NAME_98	Elementale acquatico
MSG_MON_NAME_99	Elementale aereo
MSG_MON_NAME_100	Idronaga
