SPEAKER_01	？？？
MSG_KON_CAS_11	かつてガーランドは\n国いちばんのナイトだったんだ。<P>\nだが、力におぼれ、\n自分を見失ってしまった…。
MSG_KON_CAS_12	代々コーネリアの王女に伝わる\n美しき『リュート』には、\n悪の扉を打ちくだく力があるという…。
MSG_KON_CAS_13	私たちの祖先は４００年前、\nこの宝物庫に武器を封印し、\nその鍵をエルフの王子に預けたのです。<P>\n光の戦士が現れる時まで…。
MSG_KON_CAS_14	この宝物庫は『神秘の鍵』で\n封印されています。
MSG_KON_CAS_16	さあ！\n今こそ、その鍵で扉を開ける時です！<P>\n中にある道具の数々は、\nきっとあなたがたの役に立つでしょう。
MSG_KON_CAS_17	光の戦士たちがようやく現れてくれた…！\nこの時をどんなに待ちわびたことか。<P>\nガーランドは、以前とはもはや別人…。\n頼む！\nセーラを一刻も早く助け出してくれ…！
MSG_KON_CAS_18	セーラは、そなたらのことを\nいつも気にかけているようだ。
MSG_KON_CAS_20	よければ…ずっとコーネリアで…<P>\nいえ…なんでもありません。\nさ、旅の用意を…。\nクリスタルに輝きを…！
MSG_KON_CAS_23	セーラ様をさらったガーランドは、\n城の北にあるカオスの神殿に\n逃げ込んだとの情報だ…。
MSG_KON_CAS_25	町にいる踊り子は、\nいろいろな情報を持っているのじゃ。<P>\n道に迷った時は\n話しかけてみると良いじゃろう。
MSG_KON_CAS_26	『ニトロの火薬』を手に入れた。
MSG_EKKEN_01	王は、伝説の光の戦士を探しておいでだ。<P>\nムッ、そのクリスタルは…！\nぜひ王にお会いください！
MSG_EKKEN_02	旅の者よ、そなたらがクリスタルを\nたずさえているというのはまことか…？
MSG_EKKEN_03	ルカーンの予言…。\n『この世、暗黒に染まりし時、\n４人の光の戦士現れん…。』
MSG_EKKEN_04	しかし、この者たちが、\n予言にある光の戦士だとは限りませぬ。
MSG_EKKEN_05	だが、クリスタルを持つ戦士が、\nいま目の前におる…。\n偶然とは思えぬ。<P>\nクリスタルを持つ戦士たちよ、\nそなたらに頼みがある…。\n我が王女を助け出してはくれまいか？
MSG_EKKEN_06	この国のナイトであったガーランドが\nセーラ姫をさらい、このコーネリアの\n国王の座を要求しておる…。<P>\n奴は北にあるカオスの神殿に潜んでいる。\n我々も姫を救いだすため\n手をつくしたのだが…。<P>\n奴は、この国一の剣の使い手…\n並みの者では歯が立たぬのじゃ。
MSG_EKKEN_07	そなたらが目指すのは北の大陸と聞いた。\n大陸への橋は失われて久しく、\n北への道は永らく閉ざされておる。<P>\nセーラを助けてもらえたら、\n礼として大陸への橋をかけよう。\n頼んだぞ、光の戦士たちよ…！
MSG_HELPSERA_04	よくぞ王女を助け出してくれた…。\nそなたらこそ、ルカーンの予言にあった\n光の戦士に違いあるまい…！<P>\nそなたらに予言のすべてを伝えよう…。<P>\n『この世、暗黒に染まりし時、\n４人の光の戦士現れん…。<P>\n戦士たちは、光のカケラをたずさえ、\n闇の力に覆われし\n４つのクリスタルに輝きを取り戻さん…。』<P>\n北の大陸にもクリスタルがあると聞く。<P>\n魔物どもをこの世から消し去るには、\nクリスタルの輝きを\n取り戻すしかないのだ…！
MSG_HELPSERA_05	約束通り、北の大陸への橋をかけよう。<P>\nそなたらが、４つのクリスタルと、\nそして、この世に輝きを取り戻せることを\n祈っておるぞ…！
MSG_LUTE_01	お待ちください…！
MSG_LUTE_02	これは、コーネリア国の王女に\n代々伝わる『リュート』です。<P>\nガーランドが、私と共に城から\n持ち去ったものです。<P>\n何かの役に立つかもしれません。\nこれをお持ちになってください。
MSG_LUTE_03	『リュート』を手に入れた。
MSG_CHS_01	キィ…キィ…。
MSG_CHS_02	４匹のカオスにより、\nさえぎられていたクリスタルの輝き…。<P>\nその力はすべて、この闇のクリスタルから\n過去へと送られていたようです。<P>\n美しき光が黒くゆがんでいく様を、\n我々は、ずっと見つづけてきました。\n悪の源は、おそらくこの先でしょう。
MSG_CHS_03	闇のクリスタルは、不気味に輝いている。\nわずかな空気のゆがみを感じる。
MSG_CHS_04	鍵がかかっている。
MSG_CHS_06	それは…我々が追い求めつづけてきた\n４つの輝きではないか！\nその輝きが、時の扉を開いてくれる！<P>\n扉は、２０００年の過去へと…\n無限の時の輪の始まりへと\n君たちを導いていくだろう！
MSG_CHS_08	中心にある闇のクリスタルを\n４つの輝きで照らすのです！<P>\n２０００年前の…\nくずれ落ちる以前のこの神殿へと\n時の扉は開かれます…！
MSG_CHS_10	私たちは、天空人です…。<P>\n世界滅亡の原因を突き止め、\nこの神殿へとやってきたのです…。\nもう４００年前の話です…。
MSG_CHS_12	カオスの呪いによって、\nこのような姿に変えられてから、\n私たちは言葉を失っていたのです…！<P>\nそのクリスタルの輝きが\n我々に言葉を取り戻させてくれました。
MSG_CHS_14	この扉は『神秘の鍵』によって\n封印されている…。
MSG_FUSION_01	火、土、水、風…\n４つの輝くクリスタルを\n闇のクリスタルに重ね合わせた…。<P>\n時の流れが押し寄せ\n空間がねじれてゆく…！<P>\nさあ…一歩前に踏み出せば、\n２０００年前へと時空を超える…！
MSG_HELPSERA_01	王女の命と引き換えに、\nコーネリアはついに私のものとなる…。
MSG_HELPSERA_02	何者だ、きさまたち…！？<P>\nそうか…国王の手先か…。\nだが、私が誰だかわかっているのか…？<P>\nナイトの中のナイトといわれた、\nこのガーランドの剣にかなうと思ってか！
MSG_HELPSERA_03	あなたがたが…\n助けてくれたのですね…？<P>\n私は、コーネリア国の王女セーラ…。\n感謝の言葉もありません。<P>\nあのガーランドに打ち勝った者は\n初めてです…。<P>\nぜひ、お礼をさせてください。\n共にコーネリア城へおいでください。
MSG_LAST_01	覚えているか…？\nコーネリア国一のナイトと呼ばれた\nこの私を…。
MSG_LAST_02	今から２０００年後の未来…\nおまえたちに倒されたガーランドだ…！
MSG_LAST_03	確かにあの時、私は倒された…。<P>\nだが、あの時、４つの力が私を救ったのだ。\nタイムトリップしたのだよ！
MSG_LAST_04	ここに来た私は４匹のカオスを\n未来へと送り込んだ…。
MSG_LAST_05	そしてまた、４つの力を使い、\nおまえたちに殺される\n未来の私をここへ呼び戻すのだ…！
MSG_LAST_06	２０００年のち…\n私の記憶は失われている。
MSG_LAST_07	だが、また私は、ここに戻るのだ！\nおまえたちは、ここで永久に死に…\n私は永久に生き続ける…。<P>\nこの私の作った…\n無限の流れの中で…！
MSG_BRIDGE_01	国王のご命令だ。\nルカーンの予言のため、力になれと…！
MSG_BRIDGE_02	この橋が、予言と関係あるのか？
MSG_BRIDGE_03	ここコーネリアに彼らが現れたそうだ…。\n４人の光の戦士たちが…！
MSG_PRL_01	かくして…\n探求の旅は始まった。\n\n４人の若者は光の戦士として、\n\n自らに与えられた使命の大きさと、\n待ち受けるであろう波乱の運命に、\nめまいさえおぼえるのであった。\n\n４人の若者が、\nその意味さえ知らずにたずさえた\n４つのクリスタル…。\n\nはるか昔、その中には\n大いなる輝きが宿っていたという。\n\nさあ、旅立つのだ。\n\nこの世界を覆う暗黒を振り払い、\n\n再び、光の輝きを\nこの世に…。
MSG_SHIP_01	この海賊ビッケ様に逆らうとは、\nいい度胸してるじゃねぇか。\nやろうども！やっちまえ！！
MSG_SHIP_02	へい！\nこてんぱんでさ！
MSG_SHIP_03	すまねえ…オレがバカだった。\nもう悪さはしねえ…！<P>\nおわびにオレの『船』をやるからよう…！\n許してくれよう…！
MSG_SHIP_04	『船』を手に入れた。
MSG_PBK_01	頼む！助けてくれ！
MSG_PBK_02	アルディの海には\n魔物がたくさんいるようです。\nどうかお気をつけて！
MSG_PBK_03	くそっ…！\n海賊の奴らめ！\n我が物顔で町を荒らしやがって！
MSG_PBK_04	北の方には、港はないらしいな。\n『船』は港にしか上陸できないぞ。
MSG_PBK_05	オレは、心を入れかえたんだ。\nマジメに仕事して、\n町いちばんの働き者になろうと思ってんだ。<P>\n信じて…くれねえかな…。
MSG_PBK_06	あなたがたのおかげで、\nもう海賊におびえることもありません。\nありがとうございました。
MSG_PBK_07	海の向こうにはエルフたちが\n住んでるんだって！<P>\nでもね…王子様がね…\nずっと眠ったままなんだって…。
MSG_PBK_08	わしは西の彼方にあるメルモンドの町から、\nやっとのことで逃げてきたんじゃ…。\nあの町は悲惨な状況じゃ…。<P>\n大地は腐りはて…\n夜は怪物どもがやってくる…！\n何とかしてやってくれぬか？
MSG_PBK_09	なんだ、おまえら？\n海賊ビッケ一味に逆らおうってのか！？
MSG_ELF_CAS_01	私たちの王子が、\nアストスの呪いで眠ったまま、\n目を覚まさないのです。<P>\nお願いです！\n王子を助けていただけませんか？
MSG_ELF_CAS_02	西の洞窟には悪魔が住んでいるらしい…。\n大地が腐り始めているのは\nどうやらそいつの仕業らしいのです。
MSG_ELF_CAS_04	エルフは鍵を預かっているのです。\nいつか現れる光の戦士…。\n彼らにそれをゆだねるまで…。
MSG_ELF_CAS_05	どんな薬でもせんじることのできる\n魔女のウワサを耳にしたよ。\nたしか…マトーヤとかって名前だっけ…。
MSG_ELF_CAS_06	それは『目覚めの薬』だね！\nその薬ならば、王子の眠りを\n覚ますことができるかもしれない！
MSG_ELF_CAS_07	ダークエルフの王、アストスは\n突然この城にやってきて…<P>\n王子に眠りの呪いをかけ、\n城の財宝を持ち去ったんだ！
MSG_ELF_CAS_08	王子がお目覚めになりました！\nありがとうございます！
MSG_ELF_CAS_09	アルディの海、その西のはじにある洞窟には、\nドワーフたちが住んでるんだ。\nあいつら、いい奴ばかりだよ！
MSG_ELF_CAS_10	この宝物庫は『神秘の鍵』で\n封印されています。
MSG_ELF_CAS_11	王子はアストスの呪いで、\nもう５年も眠りつづけているのだ…。<P>\n眠りを覚ますよい薬は\nどこかにないものか…。
MSG_ELF_CAS_12	おかげで王子も目覚めました。\nあなたがたには感謝しております。<P>\nありがとうございました。\nこれで妖精界にも平和がやってきます。
MSG_ELF_CAS_13	スヤ…スヤ…。
MSG_ELF_CAS_14	おかげでこの通り元気になった。\nありがとう…光の戦士たちよ…！
MSG_AWAKEELF_01	これは…！<P>\nこの『目覚めの薬』ならば\n王子も呪いから解き放たれるだろう！\nさっそく使わせてもらうぞ。
MSG_AWAKEELF_02	王子！王子…！？
MSG_AWAKEELF_03	ずっと…悪い夢を見ていた…。\nこれは、まだ…夢の続きなのか…？
MSG_AWAKEELF_04	君たちは…伝説の戦士…！？\nどうやら夢ではないようだな…。<P>\n古くから語り継がれてきた伝説に従い、\nこの『神秘の鍵』を\n授ける時がきたようだ。
MSG_AWAKEELF_05	『神秘の鍵』を手に入れた。
MSG_ELF_CTY_01	王子を助けてください！\nああ…どうすればいいの？
MSG_ELF_CTY_02	王子がお目覚めになりました！\nありがとうございます！
MSG_ELF_CTY_03	王子が目覚めなければ、妖精王は誕生せず…\nダークエルフの闇の力が\nエルフを支配することになるんです。
MSG_ELF_CTY_04	『飛空艇』という天かける船が、\nどこかに埋まっているという\n言い伝えがあります。
MSG_ELF_CTY_05	ダークエルフの王、アストス…\n奴の行方は誰も知らないのです。
MSG_ELF_CTY_07	昔、西に向かって旅をしたことがあるんだ。\n古びた城に迷い込んじゃってさ…。<P>\n誰もいなくて、すごく気味悪かったから、\nさっさと逃げてきちゃったんだけどね。
MSG_ELF_CTY_08	アストスを倒してくれたのですね！\nああ、これでエルフにも平和が！
MSG_ELF_CTY_09	ああ…王子！\n妖精王になられるはずだったのに…。
MSG_ELF_CTY_11	ミスリル銀で作った剣や鎧は頑丈で、\nすごい威力なんだ。\n使ってみなよ。驚くからさ！
MSG_ELF_CTY_12	私は予言者です。\nしかるべき時がくれば予言が\n降りてくるでしょう…。<P>\nその時まで待つのです…若者よ。
MSG_ELF_CTY_13	三日月の下の砂の海…。\n『浮遊石』の力によって\n大空に巨大な帆が浮かび上がる…！
MSG_ELF_CTY_15	三日月の上の暗き穴…\n燃える山のさらに北…。\n『浮遊石』は、そこに眠る…。<P>\nおまえたちを待つものがいる…。
MSG_ELF_CTY_16	リンク、ここに眠る…。
MSG_ELF_CTY_17	墓標だ…。
MSG_WST_CAS_01	ダークエルフの王、アストスにだまされ、\nこの城も荒れ果ててしまった…。<P>\n南にある沼の洞窟から\n『クラウン』を取ってきてはくれまいか？<P>\nあれさえあれば、この城も元通りに\n復興することができるはず…。
MSG_WST_CAS_02	キィ…キィ…。
MSG_WST_CAS_03	この扉は『神秘の鍵』によって\n封印されている…。
MSG_ASTOS_01	ファファファ…！\nまんまとだまされおって…。\nバカな奴らよ。<P>\nわしこそダークエルフの王アストスだ！
MSG_ASTOS_02	きさまらの持つ『クラウン』と、\nわしの持つ『水晶の目』…<P>\nこの２つの力がそろえば、\nわしは真の妖精王になれるのだ！
MSG_ASTOS_03	逆らってもむだなこと…\n力ずくで奪ってくれるわ！
MSG_ASTOS_04	『水晶の目』を手に入れた。
MSG_PND_01	キィ…キィ…。
MSG_PND_02	この扉は『神秘の鍵』によって\n封印されている…。
MSG_GET_CROWN_01	『クラウン』を手に入れた。
MSG_AWAKEPOT_01	おお、『水晶の目』か？\nほれ！さっさと返さぬか！<P>\nただとは言わん！この薬をやろう。\n私の薬の中で、\nいちばんすばらしい薬じゃ！
MSG_AWAKEPOT_02	おおっ！見える！\n目が見えるぞよっ！
MSG_AWAKEPOT_03	『目覚めの薬』を手に入れた。
MSG_MATOYA_01	イタタ…ッ！
MSG_MATOYA_02	目が…目が…！
MSG_MATOYA_03	『水晶の目』がないと何も見えんわい…。
MSG_MATOYA_04	誰だ？\n私の『水晶の目』を盗みおったのは…！
MSG_MAT_02	なんだい？\nもう、あんたらに用はないよ！\n思ったより、いい男でもなかったしね。
MSG_MAT_03	フシギナ　ジュモンサ　サッサカサ！\n『るえん　たぼるせんゃき』　サッサカサ！
MSG_MAT_04	フシギナ　ジュモンサ　サッサカサ！\n『しおがなん　たぼぷっま』　サッサカサ！
MSG_DWF_CAV_01	伝説の金属である\n『アダマンタイト』さえあれば、\n幻の剣が作れるかもしれぬ。
MSG_DWF_CAV_02	戦士たちよ、おぬしらなら\nエクスカリバーを\n正しく使ってくれるじゃろう。
MSG_DWF_CAV_03	『水晶の目』があれば、\n目が見えない人でも\n物を見ることができるんだって。<P>\nダークエルフのアストスが、\n魔女のマトーヤから\n盗み取ったってウワサがあるよ。
MSG_DWF_CAV_04	大地が腐ってきている。\n西の方から、だんだんと…。
MSG_DWF_CAV_05	大地が元に戻ってきました！\n光の戦士、あなたたちのおかげです！
MSG_DWF_CAV_06	鍛冶屋のスミスには会ったかい？
MSG_DWF_CAV_07	この音かい？\n村の裏でネリクじいさんが\n岩を砕いてる音さね。
MSG_DWF_CAV_08	ネリクじいさんは偉大な人だ。\n尊敬できるドワーフだよ。
MSG_DWF_CAV_09	ラリホーっと！
MSG_DWF_CAV_10	「腕輪」は「鎧」にも負けない\n強い守備力を持っているんだ。\n代わりにつけてみなよ。
MSG_DWF_CAV_12	あんたたち、運河は見たかい？\nやっぱりネリクじいさんは\nすげえドワーフだ！
MSG_DWF_CAV_13	おれは『浮遊石』ってのを探してるんだ。\nなんだって空に浮かべることができる\nシロモノらしいぜ！
MSG_DWF_CAV_14	『ニトロの火薬』は、その昔、\n城の宝物庫にしまわれちまったらしい…。
MSG_DWF_CAV_16	ええい！\n巨大な岩が邪魔をしとる！\n運河の開通まで、あと一歩だというのに…。<P>\n『ニトロの火薬』さえあれば、\nこんな岩も一発なんじゃが…。
MSG_DWF_CAV_17	ダメダメ、それはサンプルじゃよ！\n使い物にはならんのじゃ。
MSG_DWF_CAV_18	この扉は『神秘の鍵』によって\n封印されている…。
MSG_CANAL_01	これは…『ニトロの火薬』！<P>\nこの爆破力をもってすれば、\nすぐにでも運河は開通できるぞ！\n感謝するぞ、若者たち！
MSG_CANAL_02	これでよし…と！
MSG_CANAL_03	これで、いまいましい岩ともおさらばじゃ。
MSG_CANAL_04	何しとるんじゃ！\n今から爆破するんじゃぞ！\n命が惜しければ、避難せんかい！
MSG_CANAL_05	運河の向こうには、\nどんな世界があるのか楽しみじゃ！
MSG_GET_EXCALIBER_01	これは…『アダマンタイト』！？
MSG_GET_EXCALIBAR_02	よし！これを使って、\nわしが最高の剣を作ってやろう。
MSG_GET_EXCALIBAR_03	完成したぞ！\nこいつは、今まで手がけた中でも\n最高のできじゃぞ！
MSG_GET_EXCALIBAR_04	さ、持ってゆくがよい！
MSG_GET_EXCALIBAR_05	『エクスカリバー』を手に入れた。
MSG_LEARN_01	ちょっと、その石を見せてみたまえ。
MSG_LEARN_02	おお…ッ！\nこ、これこそ『ロゼッタ石』ではないか！
MSG_LEARN_03	これさえあれば、\nルフェイン語の解読が可能になる…！
MSG_LEARN_04	なるほど…！わかったぞ…！\nそうか…！\nそういうことだったのか…！！
MSG_LEARN_05	いいだろう。\nお礼に、君たちにも教えてやろう。
MSG_LEARN_06	よし！\nこれで君たちもルフェイン語が\nわかるようになったはずだ。
MSG_MMD_CTY_01	大地が腐ってきているんだよ。\nアースの洞窟に住む\nバンパイアの仕業なんだ…。<P>\nあいつが大地の力をさえぎってるせいで、\nこの町はこんなありさまさ。\nお願いだ、奴を退治してくれないか？
MSG_MMD_CTY_02	この町メルモンドも、\n昔は豊かな土に恵まれ、\nとても美しいところだったのに…。
MSG_MMD_CTY_03	バンパイアに襲われて教会も壊れ、\n町はひどい状態だ…。\n大地の荒廃は止められないのか…。
MSG_MMD_CTY_04	あんたら、もしかして…\n光の戦士かい？
MSG_MMD_CTY_05	戦士たちよ、クリスタルに祝福を…。
MSG_MMD_CTY_06	バンパイアが倒れても\n大地はどんどん腐っていくようだ。\nなぜなんだ…！？
MSG_MMD_CTY_07	この町の南、\n悪魔のしっぽと呼ばれる半島には\nアースの洞窟がある。<P>\n以前は、その洞窟の近くほど\n作物がよく育っていたのだが…\n今では、ひどいありさまだよ。
MSG_MMD_CTY_08	おおっ…！\n土のクリスタルに輝きが戻ったのか？
MSG_MMD_CTY_09	洞窟に住んでる巨人は\n石を食べるらしいぜ。<P>\n石だったらなんでも食うけど、\n特に宝石は大好物って話だ。\n相当に食い意地はってるらしいぞ。
MSG_MMD_CTY_10	学者のウネといえば\n知らぬものなどいない大天才だ。<P>\nなにっ！？\n君たち、私を知らんというのか！？
MSG_MMD_CTY_12	北には昔、非常に栄えた\n文明があったらしい。\n今では荒れ果ててしまっているがな。
MSG_MMD_CTY_14	あら！あなたたち、\nずいぶん立派になったわね！
MSG_MMD_CTY_15	古代の人々は、何かの力で\n船を空に浮かべていたという話だ…。
MSG_MMD_CTY_16	あれ、飛空艇だろ！\n本当にあったんだ…！
MSG_MMD_CTY_17	ワシは、ドワーフの村からやってきた\nワッツというものだ。<P>\n大地が腐敗してゆくわけを\n調べにきたんだが…。
MSG_MMD_CTY_18	光の戦士たち…\nあなたがたのおかげです。\n大地に緑が戻ってきています！
MSG_MMD_CTY_19	南のはしの洞窟に\nサーダというものが住んでおる。\nあやつは、とても物知りだよ。
MSG_MMD_CTY_20	農家をやっとります。
MSG_MMD_CTY_21	バンパイアが倒れても\n大地はますます腐っていく…。<P>\nなぜなんだ…！？\n何か他の原因があるというのか？
MSG_MMD_CTY_22	お父さんがやってる店に寄っていってね！
MSG_MMD_CTY_23	土のクリスタルに輝きが戻れば、\n大地に再び命が宿るでしょう。\n緑が再び世界を覆うでしょう。
MSG_MMD_CTY_24	光の戦士たち…\nあなたがたのおかげです。\n大地が元に戻っていきます！
MSG_MMD_CTY_25	墓標だ…。
MSG_MMD_CTY_26	戦士たちよ、クリスタルに祝福を…。
MSG_MAP01_01	『スタールビー』を手に入れた。
MSG_LICH_01	誰だ…\n我に話しかけるのは…。
MSG_LICH_02	我は…\n大地の力を喰らう者なり…。
MSG_LICH_03	人間ふぜいに…\n邪魔立てはさせぬぞ…\n土のカオス…リッチのな…！
MSG_VAMPIRE_01	この世界のすべてのものは、\n死に絶えてゆく運命なのだ…。<P>\n封印は解かれることなく\n大地は腐ってゆく…。
