MSG_JOB_NAME_01	Krieger
MSG_MAGIC_NAME_48	<IC_BMGC>Eisra
MSG_MAGIC_NAME_49	<IC_BMGC>Feuga
MSG_MAGIC_NAME_50	<IC_BMGC>Toxikum
MSG_MAGIC_NAME_51	<IC_BMGC>Beam
MSG_MAGIC_NAME_52	<IC_BMGC>Faul
MSG_MAGIC_NAME_53	<IC_BMGC>Blitzga
MSG_MAGIC_NAME_54	<IC_BMGC>Exitus
MSG_MAGIC_NAME_55	<IC_BMGC>Beben
MSG_MAGIC_NAME_56	<IC_BMGC>Starr
MSG_MAGIC_NAME_57	<IC_BMGC>Eisga
MSG_MAGIC_NAME_58	<IC_BMGC>Steinern
MSG_MAGIC_NAME_59	<IC_BMGC>Stärken
MSG_MAGIC_NAME_60	<IC_BMGC>Blind
MSG_MAGIC_NAME_61	<IC_BMGC>Flare
MSG_MAGIC_NAME_62	<IC_BMGC>Stopp
MSG_MAGIC_NAME_63	<IC_BMGC>Bann
MSG_MAGIC_NAME_64	<IC_BMGC>Blitztod
MSG_MAG_INF_01	Heilt die LP eines Gefährten geringfügig.
MSG_MAG_INF_02	Führt einen Flächenangriff gegen Untote aus.
MSG_MAG_INF_03	Steigert die Abwehr eines Gefährten.
MSG_MAG_INF_04	Steigert die eigene Ausweichfähigkeit.
MSG_MAG_INF_05	Kuriert »Dunkel«.
MSG_MAG_INF_06	Hindert alle Gegner daran, Magie zu benutzen.
MSG_MAG_INF_07	Halbiert der erlittenen Blitzschaden aller Gefährten.
MSG_MAG_INF_08	Steigert die Ausweichfähigkeit eines Gefährten.
MSG_MAG_INF_09	Heilt die LP eines Gefährten.
MSG_MAG_INF_10	Führt einen Flächenangriff gegen Untote aus.
MSG_MAG_INF_11	Halbiert den erlittenen Feuerschaden aller Gefährten.
MSG_MAG_INF_12	Heilt die LP der ganzen Gruppe.
MSG_MAG_INF_13	Kuriert »Gift«.
MSG_MAG_INF_14	Lehrt alle Gegner das Fürchten.
MSG_MAG_INF_15	Halbiert den erlittenen Eisschaden aller Gefährten.
MSG_MAG_INF_16	Kuriert »Stumm«.
MSG_MAG_INF_17	Heilt die LP eines Gefährten.
MSG_MAG_INF_18	Kuriert »K. o.«.
MSG_MAG_INF_19	Führt einen Flächenangriff gegen Untote aus.
MSG_MAG_INF_20	Heilt die LP der ganzen Gruppe.
MSG_MAG_INF_21	Kuriert »Stein«.
MSG_MAG_INF_22	Teleportiert auf die Oberwelt.
MSG_MAG_INF_23	Steigert die Abwehr der Gruppe.
MSG_MAG_INF_24	Steigert die Ausweichfähigkeit der Gruppe.
MSG_MAG_INF_25	Heilt die LP eines Gefährten vollständig und kuriert einige Zustandsveränderungen.
MSG_MAG_INF_26	Führt einen Flächenangriff gegen Untote aus.
MSG_MAG_INF_27	Erschwert bei allen Gefährten sofortige Kampfunfähigkeit.
MSG_MAG_INF_28	Heilt die LP der ganzen Gruppe vollständig.
MSG_MAG_INF_29	Belebt einen kampfunfähigen Gefährten wieder und heilt sein LP vollständig.
MSG_MAG_INF_30	Strahlt heiliges Licht aus, das allen Gegnern Schaden erteilt.
MSG_MAG_INF_31	Halbiert den erlittenen magischen Schaden eines Gefährten.
MSG_MAG_INF_32	Reduziert die Magieabwehr eines Gegners.
MSG_MAG_INF_33	Erteilt einem Gegner Feuerschaden.
MSG_MAG_INF_34	Schickt alle Gegner in den Schlaf.
MSG_MAG_INF_35	Senkt die Ausweichfähigkeit eines Gegners.
MSG_MAG_INF_36	Erteilt einem Gegner Blitzschaden.
MSG_MAG_INF_37	Erteilt einem Gegner Eisschaden.
MSG_MAG_INF_38	Versetzt alle Gegner in den Zustand »Dunkel«.
MSG_MAG_INF_39	Steigert die Attacke eines Gefährten.
MSG_MAG_INF_40	Senkt die Angriffsanzahl aller Gegner.
MSG_MAG_INF_41	Erteilt allen Gegnern Feuerschaden.
MSG_MAG_INF_42	Lähmt einen Gegner.
MSG_MAG_INF_43	Erteilt allen Gegnern Blitzschaden.
MSG_MAG_INF_44	Senkt die Ausweichfähigkeit aller Gegner.
MSG_MAG_INF_45	Schickt einen Gegner in den Schlaf.
MSG_MAG_INF_46	Steigert die Anzahl der Angriffe eines Gefährten.
MSG_MAG_INF_47	Bewirkt bei allen Gegnern »Konfus«.
MSG_MAG_INF_48	Erteilt allen Gegnern Eisschaden.
MSG_MAG_INF_49	Erteilt allen Gegnern Feuerschaden.
MSG_MAG_INF_50	Vernichtet alle Gegner mit Giftnebeln.
MSG_MAG_INF_51	Teleportiert die Gruppe zurück zur vorangegangenen Ebene.
MSG_MAG_INF_52	Senkt die Angriffsanzahl eines Gegners.
MSG_MAG_INF_53	Erteilt allen Gegnern Blitzschaden.
MSG_MAG_INF_54	Vernichtet instantan einen Gegner.
MSG_MAG_INF_55	Lässt alle Gegner in eine Erdspalte fallen.
MSG_MAG_INF_56	Lähmt einen Gegner.
MSG_MAG_INF_57	Erteilt allen Gegnern Eisschaden.
MSG_MAG_INF_58	Versteinert einen Gegner.
MSG_MAG_INF_59	Steigert die eigene Attacke und Präzision.
MSG_MAG_INF_60	Versetzt einen Gegner in den Zustand »Dunkel«.
MSG_MAG_INF_61	Führt einen Flächenangriff aus Licht und Feuer aus.
MSG_MAG_INF_62	Stoppt die Zeit und lähmt alle Gegner.
MSG_MAG_INF_63	Erzeugt einen Dimensionsriss, der alle Gegner verschluckt.
MSG_MAG_INF_64	Vernichtet instantan einen Gegner.
MSG_ITEM_NAME_01	<IC_DRAG>Potion
MSG_ITEM_NAME_02	<IC_BAG>Antidot
MSG_ITEM_NAME_03	<IC_BAG>Goldnadel
MSG_ITEM_NAME_04	<IC_TENTO>Schlafsack
MSG_ITEM_NAME_05	<IC_TENTO>Zelt
MSG_ITEM_NAME_06	<IC_TENTO>Hütte
MSG_ITEM_NAME_07	<IC_DRAG>Hi-Potion
MSG_ITEM_NAME_08	<IC_DRAG>X-Potion
MSG_ITEM_NAME_09	<IC_DRAG>Äther
MSG_ITEM_NAME_11	<IC_DRAG>Super-Äther
MSG_ITEM_NAME_12	<IC_DRAG>Elixier
MSG_ITEM_NAME_14	<IC_BAG>Phönixfeder
MSG_ITEM_NAME_15	<IC_BAG>Allheilmittel
MSG_ITEM_NAME_16	<IC_BAG>Augentropfen
MSG_ITEM_NAME_17	<IC_BAG>Echokraut
MSG_ITEM_NAME_39	<IC_BAG>Krafttrunk
MSG_ITEM_NAME_40	<IC_BAG>Riesentropfen
MSG_ITEM_NAME_42	<IC_BAG>Protes-Trunk
MSG_ITEM_NAME_43	<IC_BAG>Koffeintrunk
MSG_ITEM_INF_01	Heilt 50 LP.
MSG_ITEM_INF_02	Kuriert »Gift«.
MSG_ITEM_INF_03	Kuriert »Stein«.
MSG_ITEM_INF_04	Heilt einen Teil der LP der Gruppe. Wird auf der Oberwelt benutzt.
MSG_ITEM_INF_05	Heilt einen Teil der LP und MP der Gruppe. Wird auf der Oberwelt benutzt.
MSG_ITEM_INF_06	Heilt alle LP und MP der Gruppe. Wird auf der Oberwelt benutzt.
MSG_ITEM_INF_07	Heilt 150 LP.
MSG_ITEM_INF_08	Heilt alle LP.
MSG_ITEM_INF_09	Heilt pro Magiestufe 1 MP.
MSG_ITEM_INF_11	Heilt pro Magiestufe 5 MP.
MSG_ITEM_INF_12	Heilt alle LP und MP.
MSG_ITEM_INF_14	Kuriert »K. o.«.
MSG_ITEM_INF_15	Kuriert alle Zuständsveränderungen außer »Stein« und »K. o.«.
MSG_ITEM_INF_16	Kuriert »Dunkel«.
MSG_ITEM_INF_17	Kuriert »Stumm«.
MSG_ITEM_INF_39	Steigert im Kampf vorübergehend die Attacke.
MSG_ITEM_INF_40	Steigern im Kampf vorübergehend das LP-Maximum.
MSG_ITEM_INF_42	Steigert im Kampf vorübergehend die Abwehr.
MSG_ITEM_INF_43	Steigert im Kampf vorübergehend die Agilität.
MSG_WEAPON_NAME_01	<IC_NIF>Messer
MSG_WEAPON_NAME_02	<IC_WND>Stab
MSG_WEAPON_NAME_03	<IC_WND>Heilerstab
MSG_WEAPON_NAME_04	<IC_NIF>Dolch
MSG_WEAPON_NAME_05	<IC_HMR>Hammer
MSG_WEAPON_NAME_06	<IC_SRD>Rapier
MSG_WEAPON_NAME_07	<IC_KTN>Krummsäbel
MSG_WEAPON_NAME_08	<IC_NIF>Mithril-Messer
MSG_WEAPON_NAME_09	<IC_NCK>Nunchaku
MSG_WEAPON_NAME_10	<IC_WND>Kraftstab
MSG_WEAPON_NAME_11	<IC_HMR>Mithril-Hammer
MSG_WEAPON_NAME_12	<IC_WND>Magierstab
MSG_WEAPON_NAME_13	<IC_SRD>Säbel
MSG_WEAPON_NAME_14	<IC_WND>Priesterstab
MSG_WEAPON_NAME_15	<IC_KTN>Falchion
MSG_WEAPON_NAME_16	<IC_SRD>Breitschwert
MSG_WEAPON_NAME_17	<IC_WND>Magusstab
MSG_WEAPON_NAME_18	<IC_NCK>Eisen-Nunchaku
MSG_WEAPON_NAME_19	<IC_AX>Kampfaxt
MSG_WEAPON_NAME_20	<IC_SRD>Runenschwert
MSG_WEAPON_NAME_21	<IC_SRD>Wolftöter
MSG_WEAPON_NAME_22	<IC_HMR>Thors Hammer
MSG_WEAPON_NAME_23	<IC_SRD>Drachentöter
MSG_WEAPON_NAME_24	<IC_SRD>Korallschwert
MSG_WEAPON_NAME_25	<IC_SRD>Langschwert
MSG_WEAPON_NAME_26	<IC_SRD>Riesenschwert
MSG_WEAPON_NAME_27	<IC_AX>Streitaxt
MSG_WEAPON_NAME_28	<IC_SRD>Giftklinge
MSG_WEAPON_NAME_29	<IC_CLW>Katzenkralle
MSG_WEAPON_NAME_30	<IC_SRD>Mithril-Schwert
MSG_WEAPON_NAME_31	<IC_SRD>Mondschwert
MSG_WEAPON_NAME_32	<IC_AX>Mithril-Axt
MSG_WEAPON_NAME_33	<IC_SRD>Flammenschwert
MSG_WEAPON_NAME_34	<IC_AX>Leichtaxt
MSG_WEAPON_NAME_35	<IC_SRD>Frostschwert
MSG_WEAPON_NAME_36	<IC_SRD>Defendor
MSG_WEAPON_NAME_37	<IC_SRD>Lichtklinge
MSG_WEAPON_NAME_38	<IC_KTN>Sasuke
MSG_WEAPON_NAME_39	<IC_SRD>Exkalibur
MSG_WEAPON_NAME_40	<IC_KTN>Masamune
MSG_WEAPON_INF_01	Ein kleines Messer.
MSG_WEAPON_INF_02	Ein robuster Holzstab.
MSG_WEAPON_INF_03	Ein Stab, der als Item im Kampf »Heilung« wirkt.
MSG_WEAPON_INF_04	Ein scharfes Messer.
MSG_WEAPON_INF_05	Ein Hammer für den Kampf.
MSG_WEAPON_INF_06	Ein Schwert mit schmaler Klinge.
MSG_WEAPON_INF_07	Ein Schwert mit gekrümmter Schneide.
MSG_WEAPON_INF_08	Ein Messer aus Mithril.
MSG_WEAPON_INF_09	Ein Kriegsflegel aus Holz.
MSG_WEAPON_INF_10	Ein Stab mit hoher Durchschlagskraft.
MSG_WEAPON_INF_11	Ein Hammer aus Mithril.
MSG_WEAPON_INF_12	Ein Stab, der als Item im Kampf »Feura« wirkt.
MSG_WEAPON_INF_13	Eine Klingenwaffe mit langer Schneide zum Stoßen.
MSG_WEAPON_INF_14	Ein Stab mit heiligen Ringen.
MSG_WEAPON_INF_15	Eine Hiebwaffe mit nach unten verbreiterter Klinge.
MSG_WEAPON_INF_16	Ein zweischneidiges Schwert.
MSG_WEAPON_INF_17	Ein Stab, der als Item im Kampf »Konfus« wirkt.
MSG_WEAPON_INF_18	Ein Kriegsflegel aus Eisen.
MSG_WEAPON_INF_19	Eine Axt für den Kampf.
MSG_WEAPON_INF_20	Ein Schwert, das effektiv gegen magisch Versierte ist.
MSG_WEAPON_INF_21	Ein Schwert, das effektiv gegen Bestien ist.
MSG_WEAPON_INF_22	Ein Hammer, der als Item im Kampf »Blitzra« wirkt.
MSG_WEAPON_INF_23	Ein Schwert, das effektiv gegen Drachen ist.
MSG_WEAPON_INF_24	Ein Schwert, das effektiv gegen marine Gegner ist.
MSG_WEAPON_INF_25	Ein großes, zweischneidiges Schwert.
MSG_WEAPON_INF_26	Ein Schwert, das effektiv gegen riesige Gegner ist.
MSG_WEAPON_INF_27	Eine große Axt für den Kampf.
MSG_WEAPON_INF_28	Eine Klingenwaffe, die als Item im Kampf »Toxikum« wirkt.
MSG_WEAPON_INF_29	Ein Handaufsatz mit messerscharfen Klingen.
MSG_WEAPON_INF_30	Ein Schwert aus Mithril.
MSG_WEAPON_INF_31	Ein scharfes Krummschwert.
MSG_WEAPON_INF_32	Eine Axt aus Mithril.
MSG_WEAPON_INF_33	Ein Schwert, das von einem Flammengeist beseelt ist.
MSG_WEAPON_INF_34	Eine Axt, die effektiv gegen Untote ist. Wirkt als Item im Kampf »Adia«.
MSG_WEAPON_INF_35	Ein Schwert, dem die Kraft des Eises innewohnt.
MSG_WEAPON_INF_36	Eine Klingenwaffe, die als Item im Kampf »Blink« wirkt.
MSG_WEAPON_INF_37	Ein Schwert, das effektiv gegen untote Gegner ist.
MSG_WEAPON_INF_38	Ein handliches Schwert für Ninjas.
MSG_WEAPON_INF_39	Ein Schwert, das mit einem legendären Metall bearbeitet wurde. Effektiv gegen Gegnertypen aller Elemente.
MSG_WEAPON_INF_40	Das stärkste aller Schwerter.
MSG_ARMOR_NAME_01	<IC_CLTH>Reisekluft
MSG_ARMOR_NAME_02	<IC_ARMOR>Lederharnisch
MSG_ARMOR_NAME_03	<IC_RING>Bronzearmreif
MSG_ARMOR_NAME_04	<IC_ARMOR>Kettenhemd
MSG_ARMOR_NAME_05	<IC_RING>Silberarmreif
MSG_ARMOR_NAME_06	<IC_ARMOR>Mithril-Panzer
MSG_ARMOR_NAME_07	<IC_ARMOR>Eisenrüstung
MSG_ARMOR_NAME_08	<IC_CLTH>Weiße Robe
MSG_ARMOR_NAME_09	<IC_CLTH>Schwarze Robe
MSG_ARMOR_NAME_10	<IC_RING>Rubinreif
MSG_ARMOR_NAME_11	<IC_ARMOR>Ritterrüstung
MSG_ARMOR_NAME_12	<IC_ARMOR>Flammenpanzer
MSG_ARMOR_NAME_13	<IC_ARMOR>Frostpanzer
MSG_ARMOR_NAME_14	<IC_RING>Diamantreif
MSG_ARMOR_NAME_15	<IC_ARMOR>Diamantpanzer
MSG_ARMOR_NAME_16	<IC_ARMOR>Drachenpanzer
MSG_ARMOR_NAME_17	<IC_SHIELD>Lederschild
MSG_ARMOR_NAME_18	<IC_SHIELD>Rundschild
MSG_ARMOR_NAME_19	<IC_SHIELD>Eisenschild
MSG_ARMOR_NAME_20	<IC_SHIELD>Schutzrobe
MSG_ARMOR_NAME_21	<IC_SHIELD>Mithril-Schild
MSG_ARMOR_NAME_22	<IC_SHIELD>Flammenschild
MSG_ARMOR_NAME_23	<IC_SHIELD>Frostschild
MSG_ARMOR_NAME_24	<IC_SHIELD>Diamantschild
MSG_ARMOR_NAME_25	<IC_SHIELD>Aegis-Schild
MSG_ARMOR_NAME_26	<IC_GLOV>Lederhandschuhe
MSG_ARMOR_NAME_27	<IC_GLOV>Bronzehandschuhe
MSG_ARMOR_NAME_28	<IC_GLOV>Stahlhandschuhe
MSG_ARMOR_NAME_29	<IC_GLOV>Mithril-Handschuhe
MSG_ARMOR_NAME_30	<IC_GLOV>Gauntlets
MSG_ARMOR_NAME_31	<IC_GLOV>Riesenhandschuhe
MSG_ARMOR_NAME_32	<IC_GLOV>Diamanthandschuhe
MSG_ARMOR_NAME_33	<IC_GLOV>Protektring
MSG_ARMOR_NAME_34	<IC_HEAD>Lederhut
MSG_ARMOR_NAME_35	<IC_HEAD>Schleife
MSG_ARMOR_NAME_36	<IC_HEAD>Helm
MSG_ARMOR_NAME_37	<IC_HEAD>Kübelhelm
MSG_ARMOR_NAME_38	<IC_HEAD>Mithril-Helm
MSG_ARMOR_NAME_39	<IC_HEAD>Heilerhelm
MSG_ARMOR_NAME_40	<IC_HEAD>Diamanthelm
MSG_ARMOR_INF_01	Eine Reisekluft aus Stoff.
MSG_ARMOR_INF_02	Ein Harnisch aus Leder.
MSG_ARMOR_INF_03	Ein Armreif aus Bronze.
MSG_ARMOR_INF_04	Ein Hemd aus geflochtenem Eisendraht.
MSG_ARMOR_INF_05	Ein Armreif aus Silber.
MSG_ARMOR_INF_06	Ein aus Mithril geschmiedeter Brustpanzer.
MSG_ARMOR_INF_07	Eine aus Eisen geschmiedete Rüstung.
MSG_ARMOR_INF_08	Handschuhe, die resistent gegen Feuer und sofortigen Tod machen. Wirken als Item im Kampf »Invisra«.
MSG_ARMOR_INF_09	Eine Robe, die resistent gegen Eis und Zeitmagie macht. Wirkt als Item im Kampf »Eisra«.
MSG_ARMOR_INF_10	Ein Armreif aus Rubin.
MSG_ARMOR_INF_11	Eine stählerne Rüstung.
MSG_ARMOR_INF_12	Ein Panzer, der von einem feurigen Schleier umgeben wird. Macht resistent gegen Eis.
MSG_ARMOR_INF_13	Eine Rüstung, die von einem eisigen Schleier umgeben wird. Macht resistent gegen Feuer.
MSG_ARMOR_INF_14	Ein mit Diamanten verzierter Armreif.
MSG_ARMOR_INF_15	Ein aus Diamant hergestellter Panzer. Macht resistent gegen Blitze.
MSG_ARMOR_INF_16	Ein Panzer aus Drachenschuppen. Macht resistent gegen Feuer, Eis und Blitze.
MSG_ARMOR_INF_17	Ein Schild aus Wildleder.
MSG_ARMOR_INF_18	Ein kleiner handlicher Schild.
MSG_ARMOR_INF_19	Ein Schild aus Eisen.
MSG_ARMOR_INF_20	Eine Robe zum Umhängen.
MSG_ARMOR_INF_21	Ein aus Mithril geschmiedeter Schild.
MSG_ARMOR_INF_22	Ein Schild, in dem feurige Energie züngelt. Macht resistent gegen Eis.
MSG_ARMOR_INF_23	Ein Schild, dem die Kraft des Eises innewohnt. Macht resistent gegen Feuer.
MSG_ARMOR_INF_24	Ein aus Diamant hergestellter Schild. Macht resistent gegen Blitze.
MSG_ARMOR_INF_25	Ein Schild, der resistent gegen »Stein« und »Gift« macht.
MSG_ARMOR_INF_26	Ein Paar Handschuhe aus Leder.
MSG_ARMOR_INF_27	Ein Paar Handschuhe aus Bronze.
MSG_ARMOR_INF_28	Ein Paar Handschuhe aus Stahl.
MSG_ARMOR_INF_29	Ein Paar Handschuhe aus Mithril.
MSG_ARMOR_INF_30	Handschuhe, die als Item im Kampf »Blitzra« wirken.
MSG_ARMOR_INF_31	Handschuhe, die als Item im Kampf »Stärken« wirken.
MSG_ARMOR_INF_32	Ein Paar Handschuhe aus Diamant.
MSG_ARMOR_INF_33	Ein Ring, der resistent gegen sofortigen Tod macht.
MSG_ARMOR_INF_34	Ein Hut aus Leder.
MSG_ARMOR_INF_35	Eine Schleife, die resistent gegen Angriffe aller Elemente und sämtliche Zustandsveränderungen macht.
MSG_ARMOR_INF_36	Ein kompakter Helm.
MSG_ARMOR_INF_37	Ein Helm, der den gesamten Kopf schützt.
MSG_ARMOR_INF_38	Ein aus Mithril geschmiedeter Helm.
MSG_ARMOR_INF_39	Ein Helm, der als Item im Kampf »Heilung« wirkt.
MSG_ARMOR_INF_40	Ein aus Diamant hergestellter Helm.
MSG_KEY_NAME_01	<IC_IOBJ>Laute
MSG_KEY_NAME_02	<IC_IOBJ>Krone
MSG_KEY_NAME_03	<IC_IOBJ>Kristallauge
MSG_KEY_NAME_04	<IC_IOBJ>Wecktrunk
MSG_KEY_NAME_05	<IC_IOBJ>Zauberschlüssel
MSG_KEY_NAME_06	<IC_IOBJ>Schwarzpulver
MSG_KEY_NAME_07	<IC_IOBJ>Adamantite
MSG_KEY_NAME_08	<IC_IOBJ>Rosetta-Stein
MSG_KEY_NAME_09	<IC_IOBJ>Sternrubin
MSG_KEY_NAME_10	<IC_IOBJ>Terra-Stab
MSG_KEY_NAME_11	<IC_IOBJ>Levitanith
MSG_KEY_NAME_12	<IC_IOBJ>Glocke
MSG_KEY_NAME_13	<IC_IOBJ>Rattenschwanz
MSG_KEY_NAME_14	<IC_IOBJ>Teleportal
MSG_KEY_NAME_15	<IC_IOBJ>Flaschenfee
MSG_KEY_NAME_16	<IC_IOBJ>Luftwasser
MSG_KEY_NAME_17	<IC_IOBJ>Kanu
MSG_KEY_INF_01	Ein Instrument, dem beim Spielen ein zarter Klang entweicht.
MSG_KEY_INF_02	Eine Krone, die geheimnisvoll im Licht funkelt.
MSG_KEY_INF_03	Eine mystische Kristallkugel.
MSG_KEY_INF_04	Ein Trank, dessen magische Wirkung jeden aus dem Tiefschlaf zurückholt.
MSG_KEY_INF_05	Ein Schlüssel, der magisch versiegelte Türen öffnet.
MSG_KEY_INF_06	Ein Explosivstoff, der zur Sprengung von Gestein benötigt wird.
MSG_KEY_INF_07	Ein legendäres Edelmetall, dessen Härte und Dichte unübertrefflich sind.
MSG_KEY_INF_08	Eine antike Schrift ist in diesen Stein gemeißelt.
MSG_KEY_INF_09	Ein gigantischer Edelstein.
MSG_KEY_INF_10	Ein Stab, dem die Naturgeister der Erde seine Kraft verleihen.
MSG_KEY_INF_11	Ein rätselhafter Stein, der stets Richtung Himmel schwebt.
MSG_KEY_INF_12	Eine unter den Himmelmenschen legendäre Glocke.
MSG_KEY_INF_13	Ein Zeichen für Mut und Tapferkeit.
MSG_KEY_INF_14	Ein farbenfrohes Gebilde, dessen Baumaterial unbekannt ist.
MSG_KEY_INF_15	Eine Fee, die in einer Flasche gefangen ist.
MSG_KEY_INF_16	Ein wahrlich wundersames Wasser, aus dem unaufhörlich Luft quillt.
MSG_KEY_INF_17	Ein Gefährt, mit dem Flüsse und Seen überquert werden können.
MSG_MON_NAME_01	Goblin
MSG_MON_NAME_02	Goblin-Wächter
MSG_MON_NAME_03	Wolf
MSG_MON_NAME_04	Isegrim
MSG_MON_NAME_05	Werwolf
MSG_MON_NAME_06	Schneewolf
MSG_MON_NAME_07	Echse
MSG_MON_NAME_08	Feuerechse
MSG_MON_NAME_09	Basilisk
MSG_MON_NAME_10	Hill-Gigas
MSG_MON_NAME_11	Eis-Gigas
MSG_MON_NAME_12	Feuer-Gigas
MSG_MON_NAME_13	Sahagin
MSG_MON_NAME_14	Sahagin-König
MSG_MON_NAME_15	Sahagin-Prinz
MSG_MON_NAME_16	Seeräuber
MSG_MON_NAME_17	Pirat
MSG_MON_NAME_18	Hai
MSG_MON_NAME_19	Weißhai
MSG_MON_NAME_20	Gaffer
MSG_MON_NAME_21	Glotzauge
MSG_MON_NAME_22	Skeleton
MSG_MON_NAME_23	Blutknochen
MSG_MON_NAME_24	Gigas-Wurm
MSG_MON_NAME_25	Egelkriecher
MSG_MON_NAME_26	Hyäne
MSG_MON_NAME_27	Höllenhund
MSG_MON_NAME_28	Oger
MSG_MON_NAME_29	Oger-Häuptling
MSG_MON_NAME_30	Oger-Magus
MSG_MON_NAME_31	Kobra
MSG_MON_NAME_32	Anakonda
MSG_MON_NAME_33	Seeschlange
MSG_MON_NAME_34	Skorpion
MSG_MON_NAME_35	Seeskorpion
MSG_MON_NAME_36	Minotaurus
MSG_MON_NAME_37	Minotaur-Zombie
MSG_MON_NAME_38	Troll
MSG_MON_NAME_39	See-Troll
MSG_MON_NAME_40	Schatten
MSG_MON_NAME_41	Todesabt
MSG_MON_NAME_42	Gespenst
MSG_MON_NAME_43	Geist
MSG_MON_NAME_44	Zombie
MSG_MON_NAME_45	Ghul
MSG_MON_NAME_46	Schreck
MSG_MON_NAME_47	Alb
MSG_MON_NAME_48	Lilawurm
MSG_MON_NAME_49	Sandwurm
MSG_MON_NAME_50	Lavawurm
MSG_MON_NAME_51	Teufelsauge
MSG_MON_NAME_52	Todesauge
MSG_MON_NAME_53	Medusa
MSG_MON_NAME_54	Erd-Medusa
MSG_MON_NAME_55	Wertiger
MSG_MON_NAME_56	Rakshasa
MSG_MON_NAME_57	Tausendfüßler
MSG_MON_NAME_58	Remora
MSG_MON_NAME_59	Zwergtiger
MSG_MON_NAME_60	Säbelzahntiger
MSG_MON_NAME_61	Vampir
MSG_MON_NAME_62	Nosferatu
MSG_MON_NAME_63	Gargoyle
MSG_MON_NAME_64	Dämon
