MSG_JOB_NAME_01	战士
MSG_WEAPON_NAME_19	<IC_AX>战斧
MSG_WEAPON_NAME_20	<IC_SRD>符文之剑
MSG_WEAPON_NAME_21	<IC_SRD>镇兽剑
MSG_WEAPON_NAME_22	<IC_HMR>雷神之锤
MSG_WEAPON_NAME_23	<IC_SRD>斩龙剑
MSG_WEAPON_NAME_24	<IC_SRD>珊瑚剑
MSG_WEAPON_NAME_25	<IC_SRD>长剑
MSG_WEAPON_NAME_26	<IC_SRD>巨剑
MSG_WEAPON_NAME_27	<IC_AX>大斧
MSG_WEAPON_NAME_28	<IC_SRD>破坏佩剑
MSG_WEAPON_NAME_29	<IC_CLW>猫爪
MSG_WEAPON_NAME_30	<IC_SRD>秘银剑
MSG_WEAPON_NAME_31	<IC_SRD>圆月刀
MSG_WEAPON_NAME_32	<IC_AX>秘银斧
MSG_WEAPON_NAME_33	<IC_SRD>火焰剑
MSG_WEAPON_NAME_34	<IC_AX>明光斧
MSG_WEAPON_NAME_35	<IC_SRD>冰印剑
MSG_WEAPON_NAME_36	<IC_SRD>守护者
MSG_WEAPON_NAME_37	<IC_SRD>太阳剑
MSG_WEAPON_NAME_38	<IC_KTN>佐助之刀
MSG_WEAPON_NAME_39	<IC_SRD>王者之剑
MSG_WEAPON_NAME_40	<IC_KTN>正宗
MSG_WEAPON_INF_01	小型的匕首
MSG_WEAPON_INF_02	木制的手杖
MSG_WEAPON_INF_03	使用可得到“群疗”效果的手杖
MSG_WEAPON_INF_04	大型的匕首
MSG_WEAPON_INF_05	战斗用的大锤
MSG_WEAPON_INF_06	细长的剑
MSG_WEAPON_INF_07	弧形刀身的刀
MSG_WEAPON_INF_08	秘银制的匕首
MSG_WEAPON_INF_09	木制的双节棍
MSG_WEAPON_INF_10	攻击力很高的手杖
MSG_WEAPON_INF_11	秘银制的大锤
MSG_WEAPON_INF_12	使用可得到“烈炎”效果的手杖
MSG_WEAPON_INF_13	长刃可用来刺杀敌人的剑
MSG_WEAPON_INF_14	顶端带有铁环的手杖
MSG_WEAPON_INF_15	剑锋幅度很宽大的刀
MSG_WEAPON_INF_16	宽幅的双刃剑
MSG_WEAPON_INF_17	使用可得到“混乱”效果的手杖
MSG_WEAPON_INF_18	铁制的双节棍
MSG_WEAPON_INF_19	战斗用的大斧
MSG_WEAPON_INF_20	对魔法种有特效的剑
MSG_WEAPON_INF_21	对兽种有特效的剑
MSG_WEAPON_INF_22	使用可得到“震雷”效果的大锤
MSG_WEAPON_INF_23	对飞龙种有特效的剑
MSG_WEAPON_INF_24	对水生种有特效的剑
MSG_WEAPON_INF_25	大型的双刃剑
MSG_WEAPON_INF_26	对巨人族有特效的剑
MSG_WEAPON_INF_27	大型的战斗用大斧
MSG_WEAPON_INF_28	使用可得到“毒雾”效果的佩剑
MSG_WEAPON_INF_29	最锋利的匕首
MSG_WEAPON_INF_30	秘银制的剑
MSG_WEAPON_INF_31	很锋利的圆月刀
MSG_WEAPON_INF_32	秘银制的大斧
MSG_WEAPON_INF_33	寄宿有火焰之力的剑
MSG_WEAPON_INF_34	对不死系有特效的大斧\n使用可得到“天烨”效果
MSG_WEAPON_INF_35	寄宿有冰封之力的剑
MSG_WEAPON_INF_36	使用可得到“闪躲”效果的剑
MSG_WEAPON_INF_37	对不死系有特效的剑
MSG_WEAPON_INF_38	小型的忍者刀
MSG_WEAPON_INF_39	用传说中的金属加工而成的顶级宝剑\n寄宿有所有属性的力量　对全种族有特效
MSG_WEAPON_INF_40	传说中最强的宝刀
MSG_ARMOR_NAME_01	<IC_CLTH>布衣
MSG_ARMOR_NAME_02	<IC_ARMOR>皮铠
MSG_ARMOR_NAME_03	<IC_RING>铜手镯
MSG_ARMOR_NAME_04	<IC_ARMOR>锁子甲
MSG_ARMOR_NAME_05	<IC_RING>银手镯
MSG_ARMOR_NAME_06	<IC_ARMOR>秘银甲
MSG_ARMOR_NAME_07	<IC_ARMOR>铁铠
MSG_ARMOR_NAME_08	<IC_CLTH>白法袍
MSG_ARMOR_NAME_09	<IC_CLTH>黑法袍
MSG_ARMOR_NAME_10	<IC_RING>红宝石手镯
MSG_ARMOR_NAME_11	<IC_ARMOR>骑士铠
MSG_ARMOR_NAME_12	<IC_ARMOR>烈焰甲
MSG_ARMOR_NAME_13	<IC_ARMOR>寒冰铠
MSG_ARMOR_NAME_14	<IC_RING>钻石手镯
MSG_ARMOR_NAME_15	<IC_ARMOR>钻石铠
MSG_ARMOR_NAME_16	<IC_ARMOR>龙甲
MSG_ARMOR_NAME_17	<IC_SHIELD>皮盾
MSG_ARMOR_NAME_18	<IC_SHIELD>小圆盾
MSG_ARMOR_NAME_19	<IC_SHIELD>铁盾
MSG_ARMOR_NAME_20	<IC_SHIELD>守护披风
MSG_ARMOR_NAME_21	<IC_SHIELD>秘银盾
MSG_ARMOR_NAME_22	<IC_SHIELD>烈焰盾
MSG_ARMOR_NAME_23	<IC_SHIELD>寒冰盾
MSG_ARMOR_NAME_24	<IC_SHIELD>钻石盾
MSG_ARMOR_NAME_25	<IC_SHIELD>圣盾
MSG_ARMOR_NAME_26	<IC_GLOV>皮手套
MSG_ARMOR_NAME_27	<IC_GLOV>青铜护手
MSG_ARMOR_NAME_28	<IC_GLOV>钢铁护手
MSG_ARMOR_NAME_29	<IC_GLOV>秘银护手
MSG_ARMOR_NAME_30	<IC_GLOV>臂甲
MSG_ARMOR_NAME_31	<IC_GLOV>巨人护手
MSG_ARMOR_NAME_32	<IC_GLOV>钻石护手
MSG_ARMOR_NAME_33	<IC_GLOV>守护戒指
MSG_ARMOR_NAME_34	<IC_HEAD>皮帽
MSG_ARMOR_NAME_35	<IC_HEAD>缎带
MSG_ARMOR_NAME_36	<IC_HEAD>头盔
MSG_ARMOR_NAME_37	<IC_HEAD>大头盔
MSG_ARMOR_NAME_38	<IC_HEAD>秘银头盔
MSG_ARMOR_NAME_39	<IC_HEAD>治愈头盔
MSG_ARMOR_NAME_40	<IC_HEAD>钻石头盔
MSG_ARMOR_INF_01	布制的衣服
MSG_ARMOR_INF_02	皮制的护铠
MSG_ARMOR_INF_03	由铜金属加工而成的手镯
MSG_ARMOR_INF_04	锁链编织的甲衣
MSG_ARMOR_INF_05	由银金属加工而成的手镯
MSG_ARMOR_INF_06	由秘银加工而成的甲衣
MSG_ARMOR_INF_07	由薄铁板加工而成的护铠
MSG_ARMOR_INF_08	能够有效防御火焰和即死的法袍\n使用可得到“群隐身”效果
MSG_ARMOR_INF_09	能够有效防御冷气和时空的法袍\n使用可得到“冰冻”效果
MSG_ARMOR_INF_10	装饰有红宝石的手镯
MSG_ARMOR_INF_11	由厚钢板加工而成的护铠
MSG_ARMOR_INF_12	附有火焰之力的甲衣\n能够有效防御冷气
MSG_ARMOR_INF_13	附有寒冰之力的护铠\n能够有效防御火焰
MSG_ARMOR_INF_14	装饰有钻石的手镯
MSG_ARMOR_INF_15	由钻石加工而成的护铠\n能够有效防御闪电
MSG_ARMOR_INF_16	龙鳞制成的甲衣\n能够有效防御火焰、冷气和闪电
MSG_ARMOR_INF_17	皮制的盾牌
MSG_ARMOR_INF_18	小型的盾牌
MSG_ARMOR_INF_19	铁制的盾牌
MSG_ARMOR_INF_20	覆在护铠外侧的披风
MSG_ARMOR_INF_21	秘银制的盾牌
MSG_ARMOR_INF_22	蕴含着火焰之力的盾牌\n能够有效防御冷气
MSG_ARMOR_INF_23	蕴含着寒冰之力的盾牌\n能够有效防御火焰
MSG_ARMOR_INF_24	用钻石制成的盾牌\n能够有效防御闪电
MSG_ARMOR_INF_25	能够提高石化和中毒防御的盾牌
MSG_ARMOR_INF_26	皮制的手套
MSG_ARMOR_INF_27	用青铜制成的护手
MSG_ARMOR_INF_28	用钢铁制成的护手
MSG_ARMOR_INF_29	用秘银制成的护手
MSG_ARMOR_INF_30	使用可得到“震雷”效果的护手
MSG_ARMOR_INF_31	使用可得到“勇猛”效果的护手
MSG_ARMOR_INF_32	用钻石制成的护手
MSG_ARMOR_INF_33	能够有效防御即死的戒指
MSG_ARMOR_INF_34	皮制的帽子
MSG_ARMOR_INF_35	能够有效防御所有属性攻击和异常状态的缎带
MSG_ARMOR_INF_36	小型的头盔
MSG_ARMOR_INF_37	覆盖整个头部的头盔
MSG_ARMOR_INF_38	用秘银制成的头盔
MSG_ARMOR_INF_39	使用可得到“群疗”效果的头盔
MSG_ARMOR_INF_40	用钻石制成的头盔
MSG_KEY_NAME_01	<IC_IOBJ>竖琴
MSG_KEY_NAME_02	<IC_IOBJ>王冠
MSG_KEY_NAME_03	<IC_IOBJ>水晶眼
MSG_KEY_NAME_04	<IC_IOBJ>苏醒药
MSG_KEY_NAME_05	<IC_IOBJ>神秘钥匙
MSG_KEY_NAME_06	<IC_IOBJ>黑火药
MSG_KEY_NAME_07	<IC_IOBJ>精金
MSG_KEY_NAME_08	<IC_IOBJ>罗塞塔石
MSG_KEY_NAME_09	<IC_IOBJ>星形红宝石
MSG_KEY_NAME_10	<IC_IOBJ>土之杖
MSG_KEY_NAME_11	<IC_IOBJ>浮游石
MSG_KEY_NAME_12	<IC_IOBJ>钟琴
MSG_KEY_NAME_13	<IC_IOBJ>鼠尾巴
MSG_KEY_NAME_14	<IC_IOBJ>传送魔方
MSG_KEY_NAME_15	<IC_IOBJ>妖精之瓶
MSG_KEY_NAME_16	<IC_IOBJ>空气之水
MSG_KEY_NAME_17	<IC_IOBJ>独木舟
MSG_KEY_INF_01	能奏出曼妙音色的乐器。
MSG_KEY_INF_02	神秘色彩的王冠。
MSG_KEY_INF_03	晶莹通透的水晶球。
MSG_KEY_INF_04	能让人从沉眠之中苏醒的药。
MSG_KEY_INF_05	能解开大门上封印的钥匙。
MSG_KEY_INF_06	有极强爆炸力的火药。
MSG_KEY_INF_07	以最高强度而闻名的传说中的金属。
MSG_KEY_INF_08	写有古代文字的石板。
MSG_KEY_INF_09	巨大的红色宝石。
MSG_KEY_INF_10	宿有大地与草木之精灵的手杖。
MSG_KEY_INF_11	在空中漂浮的神秘之石。
MSG_KEY_INF_12	在天空人中闻名的有着清澈音色的钟。
MSG_KEY_INF_13	勇气与力量的证明。
MSG_KEY_INF_14	由绚丽多彩的物质所造的立方体。
MSG_KEY_INF_15	装有妖精的瓶子。
MSG_KEY_INF_16	有无尽的空气涌出的神秘之水。
MSG_KEY_INF_17	可在湖与河上航行的小船。
MSG_MON_NAME_01	哥布林
MSG_MON_NAME_02	哥布林守卫
MSG_MON_NAME_03	恶狼
MSG_MON_NAME_04	魔狼
MSG_MON_NAME_05	人狼
MSG_MON_NAME_06	冰狼
MSG_MON_NAME_07	野生蜥蜴
MSG_MON_NAME_08	火焰蜥蜴
MSG_MON_NAME_09	石化蜥蜴
MSG_MON_NAME_10	山岭巨人
MSG_MON_NAME_11	寒冰巨人
MSG_MON_NAME_12	烈焰巨人
MSG_MON_NAME_13	鱼人
MSG_MON_NAME_14	鱼人盗贼
MSG_MON_NAME_15	鱼人王子
MSG_MON_NAME_16	海贼
MSG_MON_NAME_17	海盗
MSG_MON_NAME_18	鲨鱼
MSG_MON_NAME_19	白鲨
MSG_MON_NAME_20	巨瞳
MSG_MON_NAME_21	深瞳
MSG_MON_NAME_22	骨骼战士
MSG_MON_NAME_23	血髅战士
MSG_MON_NAME_24	巨型蠕虫
MSG_MON_NAME_25	巨型爬虫
MSG_MON_NAME_26	鬣齿狗
MSG_MON_NAME_27	地狱犬
MSG_MON_NAME_28	食人魔
MSG_MON_NAME_29	食人魔盗贼
MSG_MON_NAME_30	食人魔法师
MSG_MON_NAME_31	眼镜蛇
MSG_MON_NAME_32	巨蟒
MSG_MON_NAME_33	海蛇
MSG_MON_NAME_34	毒蝎
MSG_MON_NAME_35	海蝎
MSG_MON_NAME_36	弥诺陶洛斯
MSG_MON_NAME_37	僵尸弥诺陶洛斯
MSG_MON_NAME_38	巨魔
MSG_MON_NAME_39	海魔
MSG_MON_NAME_40	暗影
MSG_MON_NAME_41	死灵
MSG_MON_NAME_42	幽鬼
MSG_MON_NAME_43	游魂
MSG_MON_NAME_44	僵尸
MSG_MON_NAME_45	尸鬼
MSG_MON_NAME_46	妖鬼
MSG_MON_NAME_47	尸妖
MSG_MON_NAME_48	紫色巨虫
MSG_MON_NAME_49	沙地巨虫
MSG_MON_NAME_50	熔岩巨虫
MSG_MON_NAME_51	恶魔之眼
MSG_MON_NAME_52	死神之眼
MSG_MON_NAME_53	美杜莎
MSG_MON_NAME_54	穴居美杜莎
MSG_MON_NAME_55	人虎
MSG_MON_NAME_56	罗刹
MSG_MON_NAME_57	掘地蜈蚣
MSG_MON_NAME_58	多脚蜈蚣
MSG_MON_NAME_59	猛虎
MSG_MON_NAME_60	剑齿虎
MSG_MON_NAME_61	吸血鬼
MSG_MON_NAME_62	吸血鬼领主
MSG_MON_NAME_63	石像鬼
MSG_MON_NAME_64	长角魔
MSG_MON_NAME_65	土元素
MSG_MON_NAME_66	火元素
MSG_MON_NAME_67	白龙
MSG_MON_NAME_68	红龙
MSG_MON_NAME_69	僵尸龙
MSG_MON_NAME_70	绿色粘液怪
MSG_MON_NAME_71	灰色泥浆怪
MSG_MON_NAME_72	黄色胶质怪
MSG_MON_NAME_73	黑色软糊怪
MSG_MON_NAME_74	黑寡妇
MSG_MON_NAME_75	狼蛛
MSG_MON_NAME_76	曼提克
MSG_MON_NAME_77	斯芬克斯
MSG_MON_NAME_78	巴雷塔
MSG_MON_NAME_79	沙漠巴雷塔
MSG_MON_NAME_80	木乃伊
MSG_MON_NAME_81	木乃伊王
MSG_MON_NAME_82	蛇鸡兽
MSG_MON_NAME_83	魔鸡兽
MSG_MON_NAME_84	双足飞龙
MSG_MON_NAME_85	双足巨龙
MSG_MON_NAME_86	跃龙
MSG_MON_NAME_87	霸王龙
MSG_MON_NAME_88	食人鱼
MSG_MON_NAME_89	红食人鱼
MSG_MON_NAME_90	巨鳄
MSG_MON_NAME_91	白鳄
MSG_MON_NAME_92	大嘴花
MSG_MON_NAME_93	进化大嘴花
MSG_MON_NAME_94	九头巨蛇
MSG_MON_NAME_95	九头火蛇
MSG_MON_NAME_96	守卫机器人
MSG_MON_NAME_97	战斗机器人
MSG_MON_NAME_98	水元素
MSG_MON_NAME_99	风元素
MSG_MON_NAME_100	水之那迦
MSG_MON_NAME_101	灵之那迦
MSG_MON_NAME_102	奇美拉
MSG_MON_NAME_103	强化奇美拉
MSG_MON_NAME_104	夺灵魔
MSG_MON_NAME_105	夺心魔
MSG_MON_NAME_106	加兰德
MSG_MON_NAME_107	绿龙
MSG_MON_NAME_108	蓝龙
MSG_MON_NAME_109	泥土巨像
MSG_MON_NAME_110	岩石巨像
MSG_MON_NAME_111	钢铁巨像
MSG_MON_NAME_112	黑骑士
MSG_MON_NAME_113	死亡骑士
MSG_MON_NAME_114	阿斯托斯
MSG_MON_NAME_115	黑暗巫师
MSG_MON_NAME_116	黑暗战士
MSG_MON_NAME_117	疯马
MSG_MON_NAME_118	梦魇
MSG_MON_NAME_119	死亡机器
MSG_MON_NAME_120	巫妖
MSG_MON_NAME_121	马莉莉丝
MSG_MON_NAME_122	克拉肯
MSG_MON_NAME_123	提亚马特
MSG_MON_NAME_124	卡奥斯
MSG_MON_ATK_01	吹雪
MSG_MON_ATK_02	烈焰
MSG_MON_ATK_03	凝视
MSG_MON_ATK_04	凝视
MSG_MON_ATK_05	闪光
MSG_MON_ATK_07	地震
MSG_MON_ATK_08	凝视
MSG_MON_ATK_09	凝视
MSG_MON_ATK_10	凝视
MSG_MON_ATK_15	石化瓦斯
MSG_MON_ATK_16	精神冲击
MSG_MON_ATK_17	毒瓦斯
MSG_MON_ATK_18	闪电
MSG_MON_ATK_19	即死瓦斯
MSG_MON_ATK_20	鼻息
MSG_MON_ATK_21	核攻击
MSG_MON_ATK_22	喷墨
MSG_MON_ATK_23	毒针
MSG_MON_ATK_24	凝视
MSG_MON_ATK_25	海啸
MSG_MON_ATK_26	龙卷风
MSG_LOCATION_STICK	(AREA_NAME)　(MAP_NAME)
MSG_LOCATION_STICK_01	(AREA_NAME)
MSG_LOCATION_STICK_02	(MAP_NAME)
