MSG_JOB_NAME_01	Guerreiro
MSG_MAG_INF_27	Aumenta a defesa do grupo contra morte instantânea.
MSG_MAG_INF_28	Recupera grande quantidade de PV do grupo todo.
MSG_MAG_INF_29	Revive um aliado e recupera 100% de PV.
MSG_MAG_INF_30	Luz sagrada que causa dano a todos os inimigos.
MSG_MAG_INF_31	Reduz pela metade o dano causado por magias.
MSG_MAG_INF_32	Elimina as defesas mágicas de um inimigo.
MSG_MAG_INF_33	Causa dano de fogo a um inimigo.
MSG_MAG_INF_34	Faz todos os inimigos dormirem.
MSG_MAG_INF_35	Reduz a evasão de um inimigo.
MSG_MAG_INF_36	Causa dano de eletricidade a um inimigo.
MSG_MAG_INF_37	Causa dano de gelo a um inimigo.
MSG_MAG_INF_38	Causa cegueira a todos os inimigos.
MSG_MAG_INF_39	Aumenta o ataque de um aliado.
MSG_MAG_INF_40	Reduz o número de ataques de todos os inimigos.
MSG_MAG_INF_41	Causa dano de fogo a todos os inimigos.
MSG_MAG_INF_42	Paralisa um inimigo.
MSG_MAG_INF_43	Causa dano de eletricidade a todos os inimigos.
MSG_MAG_INF_44	Reduz a evasão de todos os inimigos.
MSG_MAG_INF_45	Faz um inimigo dormir.
MSG_MAG_INF_46	Duplica o número de ataques de um aliado.
MSG_MAG_INF_47	Faz inimigos se voltarem uns contra os outros.
MSG_MAG_INF_48	Causa dano de gelo a todos os inimigos.
MSG_MAG_INF_49	Causa dano de fogo a todos os inimigos.
MSG_MAG_INF_50	Elimina inimigos instantaneamente.
MSG_MAG_INF_51	Transporta o grupo para o andar anterior.
MSG_MAG_INF_52	Reduz o número de ataques de um inimigo.
MSG_MAG_INF_53	Causa dano de eletricidade a todos os inimigos.
MSG_MAG_INF_54	Elimina um inimigo instantaneamente.
MSG_MAG_INF_55	Invoca um terremoto para engolir os inimigos.
MSG_MAG_INF_56	Paralisa um inimigo.
MSG_MAG_INF_57	Causa dano de gelo a todos os inimigos.
MSG_MAG_INF_58	Petrifica um inimigo.
MSG_MAG_INF_59	Aumenta o ataque e a precisão de quem invoca a magia.
MSG_MAG_INF_60	Causa cegueira a um inimigo.
MSG_MAG_INF_61	Onda de luz e calor que atinge todos os inimigos.
MSG_MAG_INF_62	Congela o tempo e paralisa todos os inimigos.
MSG_MAG_INF_63	Bane inimigos para outra dimensão.
MSG_MAG_INF_64	Elimina um inimigo instantaneamente.
MSG_ITEM_NAME_01	<IC_DRAG>Poção
MSG_ITEM_NAME_02	<IC_BAG>Antídoto
MSG_ITEM_NAME_03	<IC_BAG>Agulha dourada
MSG_ITEM_NAME_04	<IC_TENTO>Saco de dormir
MSG_ITEM_NAME_05	<IC_TENTO>Barraca
MSG_ITEM_NAME_06	<IC_TENTO>Cabana
MSG_ITEM_NAME_07	<IC_DRAG>Superpoção
MSG_ITEM_NAME_08	<IC_DRAG>Ultrapoção
MSG_ITEM_NAME_09	<IC_DRAG>Éter
MSG_ITEM_NAME_11	<IC_DRAG>Éter seco
MSG_ITEM_NAME_12	<IC_DRAG>Elixir
MSG_ITEM_NAME_14	<IC_BAG>Pena de Fênix
MSG_ITEM_NAME_15	<IC_BAG>Medicamento
MSG_ITEM_NAME_16	<IC_BAG>Colírio
MSG_ITEM_NAME_17	<IC_BAG>Erva ecoante
MSG_ITEM_NAME_39	<IC_BAG>Tônico da força
MSG_ITEM_NAME_40	<IC_BAG>Tônico do gigante
MSG_ITEM_NAME_42	<IC_BAG>Bebida protetora
MSG_ITEM_NAME_43	<IC_BAG>Bebida acelerante
MSG_ITEM_INF_01	Recupera 50 PV.
MSG_ITEM_INF_02	Cura veneno.
MSG_ITEM_INF_03	Cura petrificação.
MSG_ITEM_INF_04	Recupera parcialmente PV do grupo.\nSó pode ser usado em áreas externas.
MSG_ITEM_INF_05	Recupera parcialmente PV e PM do grupo.\nSó pode ser usado em áreas externas.
MSG_ITEM_INF_06	Restaura 100% de PV e PM do grupo.\nSó pode ser usado em áreas externas.
MSG_ITEM_INF_07	Recupera 150 PV.
MSG_ITEM_INF_08	Recupera 100% de PV.
MSG_ITEM_INF_09	Recupera 1 PM por nível de magia.
MSG_ITEM_INF_11	Recupera 5 PM por nível de magia.
MSG_ITEM_INF_12	Recupera 100% de PV e PM.
MSG_ITEM_INF_14	Revive um aliado morto.
MSG_ITEM_INF_15	Cura efeitos adversos, exceto petrificação e morte.
MSG_ITEM_INF_16	Cura cegueira.
MSG_ITEM_INF_17	Cura silêncio.
MSG_ITEM_INF_39	Aumenta o ataque temporariamente.
MSG_ITEM_INF_40	Aumenta PV máx. temporariamente.
MSG_ITEM_INF_42	Aumenta defesa temporariamente.
MSG_ITEM_INF_43	Aumenta agilidade temporariamente.
MSG_WEAPON_NAME_01	<IC_NIF>Faca
MSG_WEAPON_NAME_02	<IC_WND>Cajado
MSG_WEAPON_NAME_03	<IC_WND>Cajado da Cura
MSG_WEAPON_NAME_04	<IC_NIF>Punhal
MSG_WEAPON_NAME_05	<IC_HMR>Martelo
MSG_WEAPON_NAME_06	<IC_SRD>Florete
MSG_WEAPON_NAME_07	<IC_KTN>Cimitarra
MSG_WEAPON_NAME_08	<IC_NIF>Faca de Mithril
MSG_WEAPON_NAME_09	<IC_NCK>Nunchaku
MSG_WEAPON_NAME_10	<IC_WND>Cajado do Poder
MSG_WEAPON_NAME_11	<IC_HMR>Martelo de Mithril
MSG_WEAPON_NAME_12	<IC_WND>Cajado do Mago
MSG_WEAPON_NAME_13	<IC_SRD>Sabre
MSG_WEAPON_NAME_14	<IC_WND>Crossa
MSG_WEAPON_NAME_15	<IC_KTN>Alfanje
MSG_WEAPON_NAME_16	<IC_SRD>Espada Larga
MSG_WEAPON_NAME_17	<IC_WND>Cajado do Feiticeiro
MSG_WEAPON_NAME_18	<IC_NCK>Nunchaku de Ferro
MSG_WEAPON_NAME_19	<IC_AX>Machado de Guerra
MSG_WEAPON_NAME_20	<IC_SRD>Lâmina Rúnica
MSG_WEAPON_NAME_21	<IC_SRD>Antilicantropia
MSG_WEAPON_NAME_22	<IC_HMR>Martelo do Thor
MSG_WEAPON_NAME_23	<IC_SRD>Matadragos
MSG_WEAPON_NAME_24	<IC_SRD>Espada Coral
MSG_WEAPON_NAME_25	<IC_SRD>Espada Longa
MSG_WEAPON_NAME_26	<IC_SRD>Espada Grande
MSG_WEAPON_NAME_27	<IC_AX>Machado Grande
MSG_WEAPON_NAME_28	<IC_SRD>Demolidora
MSG_WEAPON_NAME_29	<IC_CLW>Garras de Gato
MSG_WEAPON_NAME_30	<IC_SRD>Espada de Mithril
MSG_WEAPON_NAME_31	<IC_SRD>Espada Vorpal
MSG_WEAPON_NAME_32	<IC_AX>Machado de Mithril
MSG_WEAPON_NAME_33	<IC_SRD>Espada de Fogo
MSG_WEAPON_NAME_34	<IC_AX>Machado Leve
MSG_WEAPON_NAME_35	<IC_SRD>Fio Gélido
MSG_WEAPON_NAME_36	<IC_SRD>Defensora
MSG_WEAPON_NAME_37	<IC_SRD>Lâmina Solar
MSG_WEAPON_NAME_38	<IC_KTN>Katana de Sasuke
MSG_WEAPON_NAME_39	<IC_SRD>Excalibur
MSG_WEAPON_NAME_40	<IC_KTN>Masamune
MSG_WEAPON_INF_01	Uma faca pequena.
MSG_WEAPON_INF_02	Um cajado de madeira.
MSG_WEAPON_INF_03	Um cajado que invoca Cura quando usado.
MSG_WEAPON_INF_04	Uma faca grande.
MSG_WEAPON_INF_05	Um martelo feito para combate.
MSG_WEAPON_INF_06	Uma espada de lâmina fina.
MSG_WEAPON_INF_07	Uma espada de lâmina curva.
MSG_WEAPON_INF_08	Uma faca feita de mithril.
MSG_WEAPON_INF_09	Um nunchaku de madeira.
MSG_WEAPON_INF_10	Um cajado com bom poder de ataque.
MSG_WEAPON_INF_11	Um martelo feito de mithril.
MSG_WEAPON_INF_12	Um cajado que invoca Fogo+ quando usado.
MSG_WEAPON_INF_13	Uma espada longa feita para perfurar.
MSG_WEAPON_INF_14	Um cajado com um aro de ferro no topo.
MSG_WEAPON_INF_15	Uma espada com a ponta curva.
MSG_WEAPON_INF_16	Uma espada de lâmina larga com dois gumes.
MSG_WEAPON_INF_17	Um cajado que invoca Confusão quando usado.
MSG_WEAPON_INF_18	Um nunchaku feito de ferro.
MSG_WEAPON_INF_19	Um machado feito para combate.
MSG_WEAPON_INF_20	Uma espada eficaz contra inimigos que usam magia.
MSG_WEAPON_INF_21	Uma espada eficaz contra feras.
MSG_WEAPON_INF_22	Um martelo que invoca Trovão+ quando usado.
MSG_WEAPON_INF_23	Uma espada eficaz contra dragões.
MSG_WEAPON_INF_24	Uma espada eficaz contra inimigos aquáticos.
MSG_WEAPON_INF_25	Uma espada grande de dois gumes.
MSG_WEAPON_INF_26	Uma espada eficaz contra gigantes.
MSG_WEAPON_INF_27	Um machado grande feito para combate.
MSG_WEAPON_INF_28	Um sabre que invoca Maldição quando usado.
MSG_WEAPON_INF_29	Uma arma com lâminas afiadíssimas.
MSG_WEAPON_INF_30	Uma espada feita de mithril.
MSG_WEAPON_INF_31	Uma lâmina muito afiada em forma de crescente.
MSG_WEAPON_INF_32	Um machado feito de mithril.
MSG_WEAPON_INF_33	Uma espada imbuída do poder do fogo.
MSG_WEAPON_INF_34	Um machado eficaz contra mortos-vivos. Invoca Dia+ quando usado.
MSG_WEAPON_INF_35	Uma espada imbuída do poder do gelo.
MSG_WEAPON_INF_36	Uma espada que invoca Evasão quando usada.
MSG_WEAPON_INF_37	Uma espada eficaz contra mortos-vivos.
MSG_WEAPON_INF_38	Uma pequena katana usada por ninjas.
MSG_WEAPON_INF_39	Uma espada feita com um metal lendário. Eficaz contra qualquer tipo de inimigo.
MSG_WEAPON_INF_40	Uma katana lendária e inigualável.
MSG_ARMOR_NAME_01	<IC_CLTH>Roupas
MSG_ARMOR_NAME_02	<IC_ARMOR>Armadura de Couro
MSG_ARMOR_NAME_03	<IC_RING>Bracelete de Cobre
MSG_ARMOR_NAME_04	<IC_ARMOR>Cota de Malha
MSG_ARMOR_NAME_05	<IC_RING>Bracelete de Prata
MSG_ARMOR_NAME_06	<IC_ARMOR>Armadura de Mithril
MSG_ARMOR_NAME_07	<IC_ARMOR>Armadura de Ferro
MSG_ARMOR_NAME_08	<IC_CLTH>Túnica Branca
MSG_ARMOR_NAME_09	<IC_CLTH>Túnica Negra
MSG_ARMOR_NAME_10	<IC_RING>Bracelete de Rubi
MSG_ARMOR_NAME_11	<IC_ARMOR>Armadura do Cavaleiro
MSG_ARMOR_NAME_12	<IC_ARMOR>Armadura de Fogo
MSG_ARMOR_NAME_13	<IC_ARMOR>Armadura de Gelo
MSG_ARMOR_NAME_14	<IC_RING>Bracelete de Diamante
MSG_ARMOR_NAME_15	<IC_ARMOR>Armadura de Diamante
MSG_ARMOR_NAME_16	<IC_ARMOR>Armadura Dracônica
MSG_ARMOR_NAME_17	<IC_SHIELD>Escudo de Couro
MSG_ARMOR_NAME_18	<IC_SHIELD>Broquel
MSG_ARMOR_NAME_19	<IC_SHIELD>Escudo de Ferro
MSG_ARMOR_NAME_20	<IC_SHIELD>Manto Protetor
MSG_ARMOR_NAME_21	<IC_SHIELD>Escudo de Mithril
MSG_ARMOR_NAME_22	<IC_SHIELD>Escudo de Fogo
MSG_ARMOR_NAME_23	<IC_SHIELD>Escudo de Gelo
MSG_ARMOR_NAME_24	<IC_SHIELD>Escudo de Diamante
MSG_ARMOR_NAME_25	<IC_SHIELD>Égide
MSG_ARMOR_NAME_26	<IC_GLOV>Luvas de Couro
MSG_ARMOR_NAME_27	<IC_GLOV>Luvas de Bronze
MSG_ARMOR_NAME_28	<IC_GLOV>Luvas de Aço
MSG_ARMOR_NAME_29	<IC_GLOV>Luvas de Mithril
MSG_ARMOR_NAME_30	<IC_GLOV>Manoplas
MSG_ARMOR_NAME_31	<IC_GLOV>Luvas do Gigante
MSG_ARMOR_NAME_32	<IC_GLOV>Luvas de Diamante
MSG_ARMOR_NAME_33	<IC_GLOV>Círculo Protetor
MSG_ARMOR_NAME_34	<IC_HEAD>Chapéu de Couro
MSG_ARMOR_NAME_35	<IC_HEAD>Laço
MSG_ARMOR_NAME_36	<IC_HEAD>Elmo
MSG_ARMOR_NAME_37	<IC_HEAD>Elmo Grande
MSG_ARMOR_NAME_38	<IC_HEAD>Elmo de Mithril
MSG_ARMOR_NAME_39	<IC_HEAD>Elmo da Cura
MSG_ARMOR_NAME_40	<IC_HEAD>Elmo de Diamante
MSG_ARMOR_INF_01	Roupas comuns.
MSG_ARMOR_INF_02	Armadura feita de couro reforçado.
MSG_ARMOR_INF_03	Um bracelete feito de cobre.
MSG_ARMOR_INF_04	Armadura feita de elos de corrente entrelaçados.
MSG_ARMOR_INF_05	Um bracelete feito de prata forjada.
MSG_ARMOR_INF_06	Armadura feita de mithril.
MSG_ARMOR_INF_07	Armadura feita de ferro forjado.
MSG_ARMOR_INF_08	Uma túnica que protege contra fogo e morte instantânea. Invoca Invisível+ quando usada.
MSG_ARMOR_INF_09	Uma túnica que protege contra gelo e irregularidades no tempo. Invoca Nevasca+ quando usada.
MSG_ARMOR_INF_10	Um bracelete adornado com rubis.
MSG_ARMOR_INF_11	Armadura feita de placa de aço.
MSG_ARMOR_INF_12	Armadura imbuída do poder do fogo. Protege contra gelo.
MSG_ARMOR_INF_13	Armadura imbuída do poder do gelo. Protege contra fogo.
MSG_ARMOR_INF_14	Um bracelete adornado com diamantes.
MSG_ARMOR_INF_15	Armadura feita de diamante. Protege contra eletricidade.
MSG_ARMOR_INF_16	Armadura feita de escamas de dragão. Protege contra fogo e gelo.
MSG_ARMOR_INF_17	Um escudo feito de couro reforçado.
MSG_ARMOR_INF_18	Um escudo pequeno.
MSG_ARMOR_INF_19	Um escudo feito de ferro.
MSG_ARMOR_INF_20	Uma túnica grande, usada sobre a armadura.
MSG_ARMOR_INF_21	Um escudo feito de mithril.
MSG_ARMOR_INF_22	Um escudo imbuído do poder do fogo. Protege contra gelo.
MSG_ARMOR_INF_23	Um escudo imbuído do poder do gelo. Protege contra fogo.
MSG_ARMOR_INF_24	Um escudo feito de diamante. Protege contra eletricidade.
MSG_ARMOR_INF_25	Um escudo que protege contra petrificação e veneno.
MSG_ARMOR_INF_26	Luvas feitas de couro.
MSG_ARMOR_INF_27	Luvas feitas de bronze.
MSG_ARMOR_INF_28	Luvas feitas de aço.
MSG_ARMOR_INF_29	Luvas feitas de mithril.
MSG_ARMOR_INF_30	Luvas que invocam Trovão+ quando usadas.
MSG_ARMOR_INF_31	Luvas que invocam Aguçar quando usadas.
MSG_ARMOR_INF_32	Luvas feitas de diamante.
MSG_ARMOR_INF_33	Um bracelete que protege contra morte instantânea.
MSG_ARMOR_INF_34	Um chapéu feito de couro.
MSG_ARMOR_INF_35	Um acessório que protege contra ataques elementais e efeitos de status.
MSG_ARMOR_INF_36	Um elmo pequeno.
MSG_ARMOR_INF_37	Um elmo que cobre toda a cabeça.
MSG_ARMOR_INF_38	Um elmo feito de mithril.
MSG_ARMOR_INF_39	Um elmo que invoca Cura quando usado.
MSG_ARMOR_INF_40	Um elmo feito de diamante.
MSG_KEY_NAME_01	<IC_IOBJ>Alaúde
MSG_KEY_NAME_02	<IC_IOBJ>Coroa
MSG_KEY_NAME_03	<IC_IOBJ>Olho de Cristal
MSG_KEY_NAME_04	<IC_IOBJ>Tônico Estimulante
MSG_KEY_NAME_05	<IC_IOBJ>Chave Mística
MSG_KEY_NAME_06	<IC_IOBJ>Pólvora Nitrosa
MSG_KEY_NAME_07	<IC_IOBJ>Adamantita
MSG_KEY_NAME_08	<IC_IOBJ>Pedra de Roseta
MSG_KEY_NAME_09	<IC_IOBJ>Rubi Estelar
MSG_KEY_NAME_10	<IC_IOBJ>Cajado da Terra
MSG_KEY_NAME_11	<IC_IOBJ>Pedraleve
MSG_KEY_NAME_12	<IC_IOBJ>Sino
MSG_KEY_NAME_13	<IC_IOBJ>Cauda de Rato
MSG_KEY_NAME_14	<IC_IOBJ>Teletranscubo
MSG_KEY_NAME_15	<IC_IOBJ>Fada Engarrafada
MSG_KEY_NAME_16	<IC_IOBJ>Aerágua
MSG_KEY_NAME_17	<IC_IOBJ>Canoa
MSG_KEY_INF_01	Um instrumento musical de grande beleza.
MSG_KEY_INF_02	Uma coroa que brilha misteriosamente.
MSG_KEY_INF_03	Um orbe de cristal translúcido.
MSG_KEY_INF_04	Um soro capaz de interromper até o mais profundo dos sonos.
MSG_KEY_INF_05	Uma chave que abre portas protegidas por magia.
MSG_KEY_INF_06	Uma pólvora de grande poder explosivo.
MSG_KEY_INF_07	Metal lendário famoso por sua incrível resistência.
MSG_KEY_INF_08	Uma tabuleta com antigas escrituras.
MSG_KEY_INF_09	Uma imensa joia vermelha.
MSG_KEY_INF_10	Um cajado imbuído com o poder da natureza.
MSG_KEY_INF_11	Uma pedra misteriosa que flutua no ar.
MSG_KEY_INF_12	Um sino melodioso de origem lufeniana.
MSG_KEY_INF_13	Um símbolo de coragem e força.
MSG_KEY_INF_14	Um cubo feito de uma substância multicolorida.
MSG_KEY_INF_15	Uma garrafa contendo uma fada.
MSG_KEY_INF_16	Um líquido estranho que expele ar.
MSG_KEY_INF_17	Uma embarcação pequena para cruzar lagos e rios.
MSG_MON_NAME_01	Goblin
MSG_MON_NAME_02	Guarda Goblin
MSG_MON_NAME_03	Lobo
MSG_MON_NAME_04	Lobo Warg
MSG_MON_NAME_05	Lobisomem
MSG_MON_NAME_06	Lobo Invernal
MSG_MON_NAME_07	Lagarto
MSG_MON_NAME_08	Lagarto de Fogo
MSG_MON_NAME_09	Basilisco
MSG_MON_NAME_10	Gigas da Colina
MSG_MON_NAME_11	Gigas de Gelo
MSG_MON_NAME_12	Gigas de Fogo
MSG_MON_NAME_13	Sahagin
MSG_MON_NAME_14	Sahagin Líder
MSG_MON_NAME_15	Príncipe Sahagin
MSG_MON_NAME_16	Pirata
MSG_MON_NAME_17	Bucaneiro
MSG_MON_NAME_18	Tubarão
MSG_MON_NAME_19	Tubarão Branco
MSG_MON_NAME_20	Zoiudo
MSG_MON_NAME_21	Zarolho
MSG_MON_NAME_22	Esqueleto
MSG_MON_NAME_23	Espada Rubra
MSG_MON_NAME_24	Verme Gigante
MSG_MON_NAME_25	Rastejador
MSG_MON_NAME_26	Hienodonte
MSG_MON_NAME_27	Cão Infernal
MSG_MON_NAME_28	Ogro
MSG_MON_NAME_29	Ogro Líder
MSG_MON_NAME_30	Ogro Mago
MSG_MON_NAME_31	Cobra
MSG_MON_NAME_32	Anaconda
MSG_MON_NAME_33	Serpente Marinha
MSG_MON_NAME_34	Escorpião
MSG_MON_NAME_35	Escorpião Marinho
MSG_MON_NAME_36	Minotauro
MSG_MON_NAME_37	Minotauro Zumbi
MSG_MON_NAME_38	Troll
MSG_MON_NAME_39	Troll Marinho
MSG_MON_NAME_40	Sombra
MSG_MON_NAME_41	Aparição
MSG_MON_NAME_42	Espectro
MSG_MON_NAME_43	Fantasma
MSG_MON_NAME_44	Zumbi
MSG_MON_NAME_45	Carniçal
MSG_MON_NAME_46	Morto-vivo
MSG_MON_NAME_47	Cadáver
MSG_MON_NAME_48	Verme Púrpura
MSG_MON_NAME_49	Verme da Areia
MSG_MON_NAME_50	Verme da Lava
MSG_MON_NAME_51	Olho Malévolo
MSG_MON_NAME_52	Olho Mortal
MSG_MON_NAME_53	Medusa
MSG_MON_NAME_54	Medusa da Terra
MSG_MON_NAME_55	Tigresomem
MSG_MON_NAME_56	Rakshasa
MSG_MON_NAME_57	Ankheg
MSG_MON_NAME_58	Remorazz
MSG_MON_NAME_59	Tigre Menor
MSG_MON_NAME_60	Dentes-de-sabre
MSG_MON_NAME_61	Vampiro
MSG_MON_NAME_62	Vampiro Mestre
MSG_MON_NAME_63	Gárgula
MSG_MON_NAME_64	Gárgula Demoníaca
MSG_MON_NAME_65	Elemental da Terra
MSG_MON_NAME_66	Elemental do Fogo
MSG_MON_NAME_67	Dragão Branco
MSG_MON_NAME_68	Dragão Vermelho
MSG_MON_NAME_69	Dragão Zumbi
MSG_MON_NAME_70	Gosma Verde
MSG_MON_NAME_71	Baba Cinza
MSG_MON_NAME_72	Geleia Ocre
MSG_MON_NAME_73	Flan Negro
MSG_MON_NAME_74	Viúva Negra
MSG_MON_NAME_75	Tarântula
MSG_MON_NAME_76	Manticora
MSG_MON_NAME_77	Esfinge
MSG_MON_NAME_78	Baretta
MSG_MON_NAME_79	Baretta do Deserto
MSG_MON_NAME_80	Múmia
MSG_MON_NAME_81	Rei Múmia
MSG_MON_NAME_82	Cocatriz
MSG_MON_NAME_83	Pirotriz
MSG_MON_NAME_84	Serpe
MSG_MON_NAME_85	Vorme
MSG_MON_NAME_86	Alossauro
MSG_MON_NAME_87	Tiranossauro
MSG_MON_NAME_88	Piranha
MSG_MON_NAME_89	Piranha Vermelha
MSG_MON_NAME_90	Crocodilo
MSG_MON_NAME_91	Crocodilo Branco
MSG_MON_NAME_92	Ochu
MSG_MON_NAME_93	Neochu
MSG_MON_NAME_94	Hidra
MSG_MON_NAME_95	Hidra do Fogo
MSG_MON_NAME_96	Guardião
MSG_MON_NAME_97	Soldado
MSG_MON_NAME_98	Elemental da Água
MSG_MON_NAME_99	Elemental do Ar
MSG_MON_NAME_100	Naga Aquática
MSG_MON_NAME_101	Naga Etérea
MSG_MON_NAME_102	Quimera
MSG_MON_NAME_103	Rhyos
MSG_MON_NAME_104	Demônio Psíquico
