MSG_JOB_NAME_01	戦士
MSG_MAG_INF_16	味方１人の沈黙状態を治す
MSG_MAG_INF_17	味方１人のＨＰを回復する
MSG_MAG_INF_18	味方１人の戦闘不能状態を治す
MSG_MAG_INF_19	アンデッド全体にダメージを与える
MSG_MAG_INF_20	味方全員のＨＰを回復する
MSG_MAG_INF_21	味方１人の石化状態を治す
MSG_MAG_INF_22	ダンジョンなどから一気に外に脱出する
MSG_MAG_INF_23	味方全員の防御力を上げる
MSG_MAG_INF_24	味方全員の回避率を上げる
MSG_MAG_INF_25	味方１人のＨＰを完全に回復して一部の状態異常を治す
MSG_MAG_INF_26	アンデッド全体にダメージを与える
MSG_MAG_INF_27	味方全員が即死攻撃を防ぎやすくなる
MSG_MAG_INF_28	味方全員のＨＰを回復する
MSG_MAG_INF_29	味方１人の戦闘不能状態を治しＨＰを全回復する
MSG_MAG_INF_30	敵全体に神聖な光でダメージを与える
MSG_MAG_INF_31	味方１人のすべての魔法ダメージを１／２に減らす
MSG_MAG_INF_32	敵１体の魔法防御を消し去る
MSG_MAG_INF_33	敵１体に炎でダメージを与える
MSG_MAG_INF_34	敵全体を眠り状態にする
MSG_MAG_INF_35	敵１体を見やすくして回避率を下げる
MSG_MAG_INF_36	敵１体に雷でダメージを与える
MSG_MAG_INF_37	敵１体に冷気でダメージを与える
MSG_MAG_INF_38	敵全体を暗闇状態にする
MSG_MAG_INF_39	味方１人の攻撃力を上げる
MSG_MAG_INF_40	敵全体を遅くして攻撃回数を減らす
MSG_MAG_INF_41	敵全体に炎でダメージを与える
MSG_MAG_INF_42	敵１体をマヒ状態にする
MSG_MAG_INF_43	敵全体に雷でダメージを与える
MSG_MAG_INF_44	敵全体を見やすくして回避率を下げる
MSG_MAG_INF_45	敵１体を眠り状態にする
MSG_MAG_INF_46	味方１人を早くして攻撃回数を２倍にする
MSG_MAG_INF_47	敵全体の心を乱し混乱状態にする
MSG_MAG_INF_48	敵全体に冷気でダメージを与える
MSG_MAG_INF_49	敵全体に炎でダメージを与える
MSG_MAG_INF_50	敵全体を毒の霧で即死させる
MSG_MAG_INF_51	１つ前の階に戻ることができる
MSG_MAG_INF_52	敵１体を遅くして攻撃回数を減らす
MSG_MAG_INF_53	敵全体に雷でダメージを与える
MSG_MAG_INF_54	敵１体を即死させる
MSG_MAG_INF_55	敵全体を地割れに飲み込ませる
MSG_MAG_INF_56	敵１体をマヒ状態にする
MSG_MAG_INF_57	敵全体に冷気でダメージを与える
MSG_MAG_INF_58	敵１体を石化状態にする
MSG_MAG_INF_59	自分の攻撃力と命中率を上げる
MSG_MAG_INF_60	敵１体を暗闇状態にする
MSG_MAG_INF_61	敵全体に光と高熱でダメージを与える
MSG_MAG_INF_62	敵全体の時を止めてマヒ状態にする
MSG_MAG_INF_63	敵全体を異次元に送り込む
MSG_MAG_INF_64	敵１体を即死させる
MSG_ITEM_NAME_01	<IC_DRAG>ポーション
MSG_ITEM_NAME_02	<IC_BAG>毒消し
MSG_ITEM_NAME_03	<IC_BAG>金の針
MSG_ITEM_NAME_04	<IC_TENTO>寝袋
MSG_ITEM_NAME_05	<IC_TENTO>テント
MSG_ITEM_NAME_06	<IC_TENTO>コテージ
MSG_ITEM_NAME_07	<IC_DRAG>ハイポーション
MSG_ITEM_NAME_08	<IC_DRAG>エクスポーション
MSG_ITEM_NAME_09	<IC_DRAG>エーテル
MSG_ITEM_NAME_11	<IC_DRAG>エーテルドライ
MSG_ITEM_NAME_12	<IC_DRAG>エリクサー
MSG_ITEM_NAME_14	<IC_BAG>フェニックスの尾
MSG_ITEM_NAME_15	<IC_BAG>万能薬
MSG_ITEM_NAME_16	<IC_BAG>目薬
MSG_ITEM_NAME_17	<IC_BAG>やまびこ草
MSG_ITEM_NAME_39	<IC_BAG>力の薬
MSG_ITEM_NAME_40	<IC_BAG>巨人の薬
MSG_ITEM_NAME_42	<IC_BAG>プロテスドリンク
MSG_ITEM_NAME_43	<IC_BAG>スピードドリンク
MSG_ITEM_INF_01	ＨＰを５０回復する
MSG_ITEM_INF_02	毒状態を治す
MSG_ITEM_INF_03	石化状態を治す
MSG_ITEM_INF_04	全員のＨＰを少し回復する\nフィールドで使うことができる
MSG_ITEM_INF_05	全員のＨＰとＭＰを少し回復する\nフィールドで使うことができる
MSG_ITEM_INF_06	全員のＨＰとＭＰを完全に回復する\nフィールドで使うことができる
MSG_ITEM_INF_07	ＨＰを１５０回復する
MSG_ITEM_INF_08	ＨＰを完全に回復する
MSG_ITEM_INF_09	ＭＰを魔法ＬＶごとに１回復する
MSG_ITEM_INF_11	ＭＰを魔法ＬＶごとに５回復する
MSG_ITEM_INF_12	ＨＰとＭＰを完全に回復する
MSG_ITEM_INF_14	戦闘不能状態を治す
MSG_ITEM_INF_15	戦闘不能と石化以外の状態を治す
MSG_ITEM_INF_16	暗闇状態を治す
MSG_ITEM_INF_17	沈黙状態を治す
MSG_ITEM_INF_39	戦闘中、一時的に「攻撃力」が上がる
MSG_ITEM_INF_40	戦闘中、一時的に「最大ＨＰ」が上がる
MSG_ITEM_INF_42	戦闘中、一時的に「防御力」が上がる
MSG_ITEM_INF_43	戦闘中、一時的に「素早さ」が上がる
MSG_WEAPON_NAME_01	<IC_NIF>ナイフ
MSG_WEAPON_NAME_02	<IC_WND>杖
MSG_WEAPON_NAME_03	<IC_WND>いやしの杖
MSG_WEAPON_NAME_04	<IC_NIF>ダガー
MSG_WEAPON_NAME_05	<IC_HMR>ハンマー
MSG_WEAPON_NAME_06	<IC_SRD>レイピア
MSG_WEAPON_NAME_07	<IC_KTN>シミター
MSG_WEAPON_NAME_08	<IC_NIF>ミスリルナイフ
MSG_WEAPON_NAME_09	<IC_NCK>ヌンチャク
MSG_WEAPON_NAME_10	<IC_WND>力の杖
MSG_WEAPON_NAME_11	<IC_HMR>ミスリルハンマー
MSG_WEAPON_NAME_12	<IC_WND>魔術の杖
MSG_WEAPON_NAME_13	<IC_SRD>サーベル
MSG_WEAPON_NAME_14	<IC_WND>しゃくじょう
MSG_WEAPON_NAME_15	<IC_KTN>フォールチョン
MSG_WEAPON_NAME_16	<IC_SRD>ブロードソード
MSG_WEAPON_NAME_17	<IC_WND>魔道士の杖
MSG_WEAPON_NAME_18	<IC_NCK>鉄ヌンチャク
MSG_WEAPON_NAME_19	<IC_AX>バトルアクス
MSG_WEAPON_NAME_20	<IC_SRD>ルーンブレード
MSG_WEAPON_NAME_21	<IC_SRD>ウェアバスター
MSG_WEAPON_NAME_22	<IC_HMR>トールハンマー
MSG_WEAPON_NAME_23	<IC_SRD>ウィルムキラー
MSG_WEAPON_NAME_24	<IC_SRD>さんごの剣
MSG_WEAPON_NAME_25	<IC_SRD>ロングソード
MSG_WEAPON_NAME_26	<IC_SRD>グレートソード
MSG_WEAPON_NAME_27	<IC_AX>グレートアクス
MSG_WEAPON_NAME_28	<IC_SRD>レイズサーベル
MSG_WEAPON_NAME_29	<IC_CLW>猫の爪
MSG_WEAPON_NAME_30	<IC_SRD>ミスリルソード
MSG_WEAPON_NAME_31	<IC_SRD>シャープソード
MSG_WEAPON_NAME_32	<IC_AX>ミスリルアクス
MSG_WEAPON_NAME_33	<IC_SRD>フレイムソード
MSG_WEAPON_NAME_34	<IC_AX>ライトアクス
MSG_WEAPON_NAME_35	<IC_SRD>アイスブランド
MSG_WEAPON_NAME_36	<IC_SRD>ディフェンダー
MSG_WEAPON_NAME_37	<IC_SRD>サンブレード
MSG_WEAPON_NAME_38	<IC_KTN>佐助の刀
MSG_WEAPON_NAME_39	<IC_SRD>エクスカリバー
MSG_WEAPON_NAME_40	<IC_KTN>正宗
MSG_WEAPON_INF_01	小型のナイフ
MSG_WEAPON_INF_02	木製の杖
MSG_WEAPON_INF_03	使うと「ヒール」の効果がある杖
MSG_WEAPON_INF_04	大型のナイフ
MSG_WEAPON_INF_05	戦闘用のハンマー
MSG_WEAPON_INF_06	細身の剣
MSG_WEAPON_INF_07	弧を描いた刀
MSG_WEAPON_INF_08	ミスリル銀のナイフ
MSG_WEAPON_INF_09	木製のヌンチャク
MSG_WEAPON_INF_10	攻撃力の高い杖
MSG_WEAPON_INF_11	ミスリル銀のハンマー
MSG_WEAPON_INF_12	使うと「ファイラ」の効果がある杖
MSG_WEAPON_INF_13	刃の長い刺すための剣
MSG_WEAPON_INF_14	先端に鉄の輪がついた杖
MSG_WEAPON_INF_15	切先に向かって幅の広くなる剣
MSG_WEAPON_INF_16	幅の広い両刃の剣
MSG_WEAPON_INF_17	使うと「コンフュ」の効果がある杖
MSG_WEAPON_INF_18	鉄製のヌンチャク
MSG_WEAPON_INF_19	戦闘用の斧
MSG_WEAPON_INF_20	魔法種に有効な剣
MSG_WEAPON_INF_21	獣種に有効な剣
MSG_WEAPON_INF_22	使うと「サンダラ」の効果があるハンマー
MSG_WEAPON_INF_23	ドラゴン種に有効な剣
MSG_WEAPON_INF_24	水生種に有効な剣
MSG_WEAPON_INF_25	大型の両刃のソード
MSG_WEAPON_INF_26	巨人種に有効なソード
MSG_WEAPON_INF_27	大型の戦闘用の斧
MSG_WEAPON_INF_28	使うと「クラウダ」の効果があるサーベル
MSG_WEAPON_INF_29	切れ味最高のナイフ
MSG_WEAPON_INF_30	ミスリル銀のソード
MSG_WEAPON_INF_31	切れ味の良い円月刀
MSG_WEAPON_INF_32	ミスリル銀の斧
MSG_WEAPON_INF_33	炎の力が宿るソード
MSG_WEAPON_INF_34	アンデッド種に有効な斧\n使うと「アディア」の効果
MSG_WEAPON_INF_35	冷気の力が宿る剣
MSG_WEAPON_INF_36	使うと「ブリンク」の効果がある剣
MSG_WEAPON_INF_37	アンデッド種に有効な剣
MSG_WEAPON_INF_38	小型の忍者用刀
MSG_WEAPON_INF_39	伝説の金属を加工した最高級のソード\nすべての属性の力が宿り全種族に有効
MSG_WEAPON_INF_40	伝説の最強の刀
MSG_ARMOR_NAME_01	<IC_CLTH>服
MSG_ARMOR_NAME_02	<IC_ARMOR>皮の鎧
MSG_ARMOR_NAME_03	<IC_RING>銅の腕輪
MSG_ARMOR_NAME_04	<IC_ARMOR>くさりかたびら
MSG_ARMOR_NAME_05	<IC_RING>銀の腕輪
MSG_ARMOR_NAME_06	<IC_ARMOR>ミスリルメイル
MSG_ARMOR_NAME_07	<IC_ARMOR>鉄の鎧
MSG_ARMOR_NAME_08	<IC_CLTH>白のローブ
MSG_ARMOR_NAME_09	<IC_CLTH>黒のローブ
MSG_ARMOR_NAME_10	<IC_RING>ルビーの腕輪
MSG_ARMOR_NAME_11	<IC_ARMOR>ナイトの鎧
MSG_ARMOR_NAME_12	<IC_ARMOR>フレイムメイル
MSG_ARMOR_NAME_13	<IC_ARMOR>アイスアーマー
MSG_ARMOR_NAME_14	<IC_RING>ダイヤの腕輪
MSG_ARMOR_NAME_15	<IC_ARMOR>ダイヤアーマー
MSG_ARMOR_NAME_16	<IC_ARMOR>ドラゴンメイル
MSG_ARMOR_NAME_17	<IC_SHIELD>皮の盾
MSG_ARMOR_NAME_18	<IC_SHIELD>バックラー
MSG_ARMOR_NAME_19	<IC_SHIELD>鉄の盾
MSG_ARMOR_NAME_20	<IC_SHIELD>守りのマント
MSG_ARMOR_NAME_21	<IC_SHIELD>ミスリルの盾
MSG_ARMOR_NAME_22	<IC_SHIELD>炎の盾
MSG_ARMOR_NAME_23	<IC_SHIELD>アイスシールド
MSG_ARMOR_NAME_24	<IC_SHIELD>ダイヤシールド
MSG_ARMOR_NAME_25	<IC_SHIELD>イージスの盾
MSG_ARMOR_NAME_26	<IC_GLOV>皮の手袋
MSG_ARMOR_NAME_27	<IC_GLOV>青銅の小手
MSG_ARMOR_NAME_28	<IC_GLOV>鋼の小手
MSG_ARMOR_NAME_29	<IC_GLOV>ミスリルの小手
MSG_ARMOR_NAME_30	<IC_GLOV>ガントレット
MSG_ARMOR_NAME_31	<IC_GLOV>巨人の小手
MSG_ARMOR_NAME_32	<IC_GLOV>ダイヤの小手
MSG_ARMOR_NAME_33	<IC_GLOV>守りの指輪
MSG_ARMOR_NAME_34	<IC_HEAD>皮の帽子
MSG_ARMOR_NAME_35	<IC_HEAD>リボン
MSG_ARMOR_NAME_36	<IC_HEAD>兜
MSG_ARMOR_NAME_37	<IC_HEAD>大兜
MSG_ARMOR_NAME_38	<IC_HEAD>ミスリルの兜
MSG_ARMOR_NAME_39	<IC_HEAD>いやしの兜
MSG_ARMOR_NAME_40	<IC_HEAD>ダイヤの兜
MSG_ARMOR_INF_01	布製の服
MSG_ARMOR_INF_02	皮製の鎧
MSG_ARMOR_INF_03	銅を加工した腕輪
MSG_ARMOR_INF_04	鎖を編み上げた鎧
MSG_ARMOR_INF_05	銀を加工した腕輪
MSG_ARMOR_INF_06	ミスリル銀を加工したメイル
MSG_ARMOR_INF_07	薄い鉄板を加工した鎧
MSG_ARMOR_INF_08	炎と即死を防ぎやすくなるローブ\n使うと「インビア」の効果
MSG_ARMOR_INF_09	冷気と時空を防ぎやすくなるローブ\n使うと「ブリザラ」の効果
MSG_ARMOR_INF_10	ルビーが飾られている腕輪
MSG_ARMOR_INF_11	鋼鉄の板を加工した鎧
MSG_ARMOR_INF_12	炎の力をまとうメイル\n冷気を防ぎやすくなる
MSG_ARMOR_INF_13	冷気の力をまとうアーマー\n炎を防ぎやすくなる
MSG_ARMOR_INF_14	ダイヤモンドが飾られている腕輪
MSG_ARMOR_INF_15	ダイヤモンドを加工したアーマー\n雷を防ぎやすくなる
MSG_ARMOR_INF_16	ドラゴンのうろこで作られたメイル\n炎と冷気と雷を防ぎやすくなる
MSG_ARMOR_INF_17	皮製の盾
MSG_ARMOR_INF_18	小型の盾
MSG_ARMOR_INF_19	鉄製の盾
MSG_ARMOR_INF_20	鎧の上から着るマント
MSG_ARMOR_INF_21	ミスリル銀で作られた盾
MSG_ARMOR_INF_22	炎の力が宿る盾\n冷気を防ぎやすくなる
MSG_ARMOR_INF_23	冷気の力が宿る盾\n炎を防ぎやすくなる
MSG_ARMOR_INF_24	ダイヤモンドでできた盾\n雷を防ぎやすくなる
MSG_ARMOR_INF_25	石化と毒を防ぎやすくなる盾
MSG_ARMOR_INF_26	皮製の手袋
MSG_ARMOR_INF_27	青銅でできた小手
MSG_ARMOR_INF_28	鋼鉄でできた小手
MSG_ARMOR_INF_29	ミスリル銀でできた小手
MSG_ARMOR_INF_30	使うと「サンダラ」の効果がある小手
MSG_ARMOR_INF_31	使うと「セーバー」の効果がある小手
MSG_ARMOR_INF_32	ダイヤモンドでできた小手
MSG_ARMOR_INF_33	即死を防ぎやすくなる指輪
MSG_ARMOR_INF_34	皮製の帽子
MSG_ARMOR_INF_35	すべての属性攻撃と状態異常を防ぎやすくなるリボン
MSG_ARMOR_INF_36	小型の兜
MSG_ARMOR_INF_37	頭全体を覆う兜
MSG_ARMOR_INF_38	ミスリル銀でできた兜
MSG_ARMOR_INF_39	使うと「ヒール」の効果がある兜
MSG_ARMOR_INF_40	ダイヤモンドでできた兜
MSG_KEY_NAME_01	<IC_IOBJ>リュート
MSG_KEY_NAME_02	<IC_IOBJ>クラウン
MSG_KEY_NAME_03	<IC_IOBJ>水晶の目
MSG_KEY_NAME_04	<IC_IOBJ>目覚めの薬
MSG_KEY_NAME_05	<IC_IOBJ>神秘の鍵
MSG_KEY_NAME_06	<IC_IOBJ>ニトロの火薬
MSG_KEY_NAME_07	<IC_IOBJ>アダマンタイト
MSG_KEY_NAME_08	<IC_IOBJ>ロゼッタ石
MSG_KEY_NAME_09	<IC_IOBJ>スタールビー
MSG_KEY_NAME_10	<IC_IOBJ>土の杖
MSG_KEY_NAME_11	<IC_IOBJ>浮遊石
MSG_KEY_NAME_12	<IC_IOBJ>チャイム
MSG_KEY_NAME_13	<IC_IOBJ>ネズミのしっぽ
MSG_KEY_NAME_14	<IC_IOBJ>ワープキューブ
MSG_KEY_NAME_15	<IC_IOBJ>妖精の瓶
MSG_KEY_NAME_16	<IC_IOBJ>空気の水
MSG_KEY_NAME_17	<IC_IOBJ>カヌー
MSG_KEY_INF_01	美しい音色を奏でる楽器
MSG_KEY_INF_02	神秘的な色をした王冠
MSG_KEY_INF_03	透き通るような水晶の玉
MSG_KEY_INF_04	深い眠りから目を覚ます薬
MSG_KEY_INF_05	扉にかけられた封印を解く鍵
MSG_KEY_INF_06	強力な爆発力を持つ火薬
MSG_KEY_INF_07	最高の強度を誇る伝説の金属
MSG_KEY_INF_08	古代文字が記された石版
MSG_KEY_INF_09	巨大な赤い宝石
MSG_KEY_INF_10	大地と緑の精霊が宿る杖
MSG_KEY_INF_11	空へ舞い上がる神秘の石
MSG_KEY_INF_12	天空人に伝わる澄んだ音色の鐘
MSG_KEY_INF_13	勇気と力の証
MSG_KEY_INF_14	カラフルな物質で作られた立方体
MSG_KEY_INF_15	妖精が入った瓶
MSG_KEY_INF_16	空気が無限に湧き出る神秘の水
MSG_KEY_INF_17	湖や川を渡ることができる小さい船
MSG_MON_NAME_01	ゴブリン
MSG_MON_NAME_02	ゴブリンガード
MSG_MON_NAME_03	ウルフ
MSG_MON_NAME_04	ウォーグウルフ
MSG_MON_NAME_05	ウェアウルフ
MSG_MON_NAME_06	ウィンターウルフ
MSG_MON_NAME_07	リザード
MSG_MON_NAME_08	ファイアリザード
MSG_MON_NAME_09	バシリスク
MSG_MON_NAME_10	ヒルギガース
MSG_MON_NAME_11	アイスギガース
MSG_MON_NAME_12	ファイアギガース
MSG_MON_NAME_13	サハギン
MSG_MON_NAME_14	サハギンチーフ
MSG_MON_NAME_15	サハギンプリンス
MSG_MON_NAME_16	海賊
MSG_MON_NAME_17	パイレーツ
MSG_MON_NAME_18	シャーク
MSG_MON_NAME_19	ホワイトシャーク
MSG_MON_NAME_20	ビッグアイ
MSG_MON_NAME_21	ディープアイ
MSG_MON_NAME_22	スケルトン
MSG_MON_NAME_23	ブラッディボーン
MSG_MON_NAME_24	ギガースウォーム
MSG_MON_NAME_25	クロウラー
MSG_MON_NAME_26	ハイエナドン
MSG_MON_NAME_27	ヘルハウンド
MSG_MON_NAME_28	オーガ
MSG_MON_NAME_29	オーガチーフ
MSG_MON_NAME_30	オーガメイジ
MSG_MON_NAME_31	コブラ
MSG_MON_NAME_32	アナコンダ
MSG_MON_NAME_33	シースネイク
MSG_MON_NAME_34	サソリ
MSG_MON_NAME_35	海サソリ
MSG_MON_NAME_36	ミノタウロス
MSG_MON_NAME_37	ミノタウロゾンビ
MSG_MON_NAME_38	トロル
MSG_MON_NAME_39	シートロル
MSG_MON_NAME_40	シャドウ
MSG_MON_NAME_41	レイス
MSG_MON_NAME_42	スペクター
MSG_MON_NAME_43	ゴースト
MSG_MON_NAME_44	ゾンビ
MSG_MON_NAME_45	グール
MSG_MON_NAME_46	ガスト
MSG_MON_NAME_47	ワイト
MSG_MON_NAME_48	パープルウォーム
MSG_MON_NAME_49	サンドウォーム
MSG_MON_NAME_50	ラーバウォーム
MSG_MON_NAME_51	イビルアイ
MSG_MON_NAME_52	デスアイ
MSG_MON_NAME_53	メデューサ
MSG_MON_NAME_54	アースメデューサ
MSG_MON_NAME_55	ウェアタイガー
MSG_MON_NAME_56	ラクシャーサ
MSG_MON_NAME_57	アンクヘッグ
MSG_MON_NAME_58	レモラーズ
MSG_MON_NAME_59	キティタイガー
MSG_MON_NAME_60	サーベルタイガー
MSG_MON_NAME_61	バンパイア
MSG_MON_NAME_62	バンパイアロード
MSG_MON_NAME_63	ガーゴイル
MSG_MON_NAME_64	ホーンドデビル
MSG_MON_NAME_65	アースエレメント
MSG_MON_NAME_66	ファイアー
MSG_MON_NAME_67	ホワイトドラゴン
MSG_MON_NAME_68	レッドドラゴン
MSG_MON_NAME_69	ドラゴンゾンビ
MSG_MON_NAME_70	グリーンスライム
MSG_MON_NAME_71	グレイウーズ
MSG_MON_NAME_72	オーカーゼリー
MSG_MON_NAME_73	ブラックプリン
MSG_MON_NAME_74	ブラックウィドウ
MSG_MON_NAME_75	タランチュラ
MSG_MON_NAME_76	マンティコア
MSG_MON_NAME_77	スフィンクス
MSG_MON_NAME_78	バレッテ
MSG_MON_NAME_79	デザートバレッテ
MSG_MON_NAME_80	マミー
MSG_MON_NAME_81	キングマミー
MSG_MON_NAME_82	コカトリス
MSG_MON_NAME_83	ピロリスク
MSG_MON_NAME_84	ワイバーン
MSG_MON_NAME_85	ウィルム
MSG_MON_NAME_86	アロザウルス
MSG_MON_NAME_87	チラノザウルス
MSG_MON_NAME_88	ピラニア
MSG_MON_NAME_89	レッドピラニア
MSG_MON_NAME_90	クロコダイル
MSG_MON_NAME_91	ホワイトダイル
MSG_MON_NAME_92	オチュー
MSG_MON_NAME_93	ネオチュー
MSG_MON_NAME_94	ヒドラ
MSG_MON_NAME_95	ファイアヒドラ
MSG_MON_NAME_96	ガーディアン
MSG_MON_NAME_97	ソルジャー
MSG_MON_NAME_98	ウォーター
MSG_MON_NAME_99	エアエレメンタル
MSG_MON_NAME_100	ウォーターナーガ
MSG_MON_NAME_101	スピリットナーガ
MSG_MON_NAME_102	キメラ
MSG_MON_NAME_103	ゴーキメラ
MSG_MON_NAME_104	ピスコディーモン
MSG_MON_NAME_105	マインドフレイア
MSG_MON_NAME_106	ガーランド
MSG_MON_NAME_107	グリーンドラゴン
MSG_MON_NAME_108	ブルードラゴン
MSG_MON_NAME_109	クレイゴーレム
MSG_MON_NAME_110	ストーンゴーレム
MSG_MON_NAME_111	アイアンゴーレム
MSG_MON_NAME_112	ブラックナイト
MSG_MON_NAME_113	デスナイト
MSG_MON_NAME_114	アストス
MSG_MON_NAME_115	ダークウィザード
MSG_MON_NAME_116	ダークファイター
MSG_MON_NAME_117	クレイジーホース
MSG_MON_NAME_118	ナイトメア
MSG_MON_NAME_119	デスマシーン
MSG_MON_NAME_120	リッチ
MSG_MON_NAME_121	マリリス
MSG_MON_NAME_122	クラーケン
MSG_MON_NAME_123	ティアマット
MSG_MON_NAME_124	カオス
MSG_MON_ATK_01	吹雪
MSG_MON_ATK_02	炎
MSG_MON_ATK_03	にらみ
MSG_MON_ATK_04	にらみ
MSG_MON_ATK_05	フラッシュ
MSG_MON_ATK_07	地震
MSG_MON_ATK_08	にらみ
