MSG_JOB_NAME_01	Guerrier
MSG_MAGIC_NAME_62	<IC_BMGC>Stop
MSG_MAGIC_NAME_63	<IC_BMGC>Vacuum
MSG_MAGIC_NAME_64	<IC_BMGC>Agonie
MSG_MAG_INF_01	Rend quelques PV à un allié.
MSG_MAG_INF_02	Blesse tous les morts-vivants.
MSG_MAG_INF_03	Augmente la défense d'un allié.
MSG_MAG_INF_04	Augmente l'esquive du lanceur.
MSG_MAG_INF_05	Soigne Aveugle.
MSG_MAG_INF_06	Inflige Mutisme aux ennemis.
MSG_MAG_INF_07	Réduit de moitié les dégâts de foudre infligés à l'équipe.
MSG_MAG_INF_08	Augmente l'esquive d'un allié.
MSG_MAG_INF_09	Rend des PV à un allié.
MSG_MAG_INF_10	Frappe tous les morts-vivants.
MSG_MAG_INF_11	Réduit de moitié les dégâts de feu infligés à l'équipe.
MSG_MAG_INF_12	Rend quelques PV à toute l'équipe.
MSG_MAG_INF_13	Soigne Poison.
MSG_MAG_INF_14	Fait fuir les ennemis.
MSG_MAG_INF_15	Réduit de moitié les dégâts de glace infligés à l'équipe.
MSG_MAG_INF_16	Soigne Mutisme.
MSG_MAG_INF_17	Rend beaucoup de PV à un allié.
MSG_MAG_INF_18	Ressuscite un allié KO.
MSG_MAG_INF_19	Accable tous les morts-vivants.
MSG_MAG_INF_20	Rend des PV à toute l'équipe.
MSG_MAG_INF_21	Soigne Fossile.
MSG_MAG_INF_22	Transporte l'équipe hors des donjons.
MSG_MAG_INF_23	Augmente la défense de l'équipe.
MSG_MAG_INF_24	Augmente l'esquive de l'équipe.
MSG_MAG_INF_25	Restaure tous les PV d'un allié et soigne certaines de ses altérations d'état.
MSG_MAG_INF_26	Terrasse tous les morts-vivants.
MSG_MAG_INF_27	Peut protéger l'équipe contre la mort subite.
MSG_MAG_INF_28	Rend beaucoup de PV à toute l'équipe.
MSG_MAG_INF_29	Ressuscite un allié avec tous ses PV.
MSG_MAG_INF_30	Frappe les ennemis d'une lumière sacrée.
MSG_MAG_INF_31	Réduit de moitié les dégâts magique infligés à un allié.
MSG_MAG_INF_32	Dissipe les protections magiques d'un ennemi.
MSG_MAG_INF_33	Brûle un ennemi.
MSG_MAG_INF_34	Endort tous les ennemis.
MSG_MAG_INF_35	Réduit l'esquive d'un ennemi.
MSG_MAG_INF_36	Foudroie un ennemi.
MSG_MAG_INF_37	Gèle un ennemi.
MSG_MAG_INF_38	Aveugle tous les ennemis.
MSG_MAG_INF_39	Augmente l'attaque d'un allié.
MSG_MAG_INF_40	Limite le nombre des attaques ennemies.
MSG_MAG_INF_41	Brûle tous les ennemis.
MSG_MAG_INF_42	Paralyse un ennemi.
MSG_MAG_INF_43	Foudroie tous les ennemis.
MSG_MAG_INF_44	Réduit l'esquive de tous les ennemis.
MSG_MAG_INF_45	Endort profondément un ennemi.
MSG_MAG_INF_46	Double le nombre d'attaques d'un allié.
MSG_MAG_INF_47	Inflige Folie aux ennemis.
MSG_MAG_INF_48	Gèle tous les ennemis.
MSG_MAG_INF_49	Brûle vivement tous les ennemis.
MSG_MAG_INF_50	Tue les ennemis sur le coup.
MSG_MAG_INF_51	Renvoie l'équipe à l'étage précédent.
MSG_MAG_INF_52	Limite le nombre d'attaques d'un ennemi.
MSG_MAG_INF_53	Foudroie violemment tous les ennemis.
MSG_MAG_INF_54	Tue instantanément un ennemi.
MSG_MAG_INF_55	Engouffre les ennemis dans un séisme.
MSG_MAG_INF_56	Paralyse un ennemi.
MSG_MAG_INF_57	Gèle durement tous les ennemis.
MSG_MAG_INF_58	Pétrifie un ennemi.
MSG_MAG_INF_59	Augmente l'attaque et la précision du lanceur.
MSG_MAG_INF_60	Aveugle un ennemi.
MSG_MAG_INF_61	Produit une explosion dévastatrice.
MSG_MAG_INF_62	Arrête le temps et fige les ennemis.
MSG_MAG_INF_63	Bannit les ennemis de ce monde.
MSG_MAG_INF_64	Exécute instantanément un ennemi.
MSG_ITEM_NAME_01	<IC_DRAG>Potion
MSG_ITEM_NAME_02	<IC_BAG>Antidote
MSG_ITEM_NAME_03	<IC_BAG>Défigeur
MSG_ITEM_NAME_04	<IC_TENTO>Duvet
MSG_ITEM_NAME_05	<IC_TENTO>Tente
MSG_ITEM_NAME_06	<IC_TENTO>Pavillon
MSG_ITEM_NAME_07	<IC_DRAG>Potion +
MSG_ITEM_NAME_08	<IC_DRAG>Potion X
MSG_ITEM_NAME_09	<IC_DRAG>Éther
MSG_ITEM_NAME_11	<IC_DRAG>Éther X
MSG_ITEM_NAME_12	<IC_DRAG>Élixir
MSG_ITEM_NAME_14	<IC_BAG>Queue de phénix
MSG_ITEM_NAME_15	<IC_BAG>Remède
MSG_ITEM_NAME_16	<IC_BAG>Collyre
MSG_ITEM_NAME_17	<IC_BAG>Bocca
MSG_ITEM_NAME_39	<IC_BAG>Fortifiant
MSG_ITEM_NAME_40	<IC_BAG>Stimulant
MSG_ITEM_NAME_42	<IC_BAG>Reconstituant
MSG_ITEM_NAME_43	<IC_BAG>Revigorant
MSG_ITEM_INF_01	Rend 50 PV.
MSG_ITEM_INF_02	Soigne Poison.
MSG_ITEM_INF_03	Soigne Fossile.
MSG_ITEM_INF_04	Rend des PV à toute l'équipe.\nUtilisable uniquement à l'air libre.
MSG_ITEM_INF_05	Rend des PV et PM à toute l'équipe.\nUtilisable uniquement à l'air libre.
MSG_ITEM_INF_06	Rétablit tous les PV et PM de l'équipe.\nUtilisable uniquement à l'air libre.
MSG_ITEM_INF_07	Rend 150 PV.
MSG_ITEM_INF_08	Rétablit tous les PV.
MSG_ITEM_INF_09	Rend 1 PM à chaque niveau de magie.
MSG_ITEM_INF_11	Rend 5 PM à chaque niveau de magie.
MSG_ITEM_INF_12	Rétablit tous les PV et PM.
MSG_ITEM_INF_14	Ressuscite un allié KO.
MSG_ITEM_INF_15	Soigne toutes les altérations d'état, sauf Fossile et KO.
MSG_ITEM_INF_16	Soigne Aveugle.
MSG_ITEM_INF_17	Soigne Mutisme.
MSG_ITEM_INF_39	Augmente temporairement l'attaque.
MSG_ITEM_INF_40	Augmente temporairement les PV max.
MSG_ITEM_INF_42	Augmente temporairement la défense.
MSG_ITEM_INF_43	Augmente temporairement l'agilité.
MSG_WEAPON_NAME_01	<IC_NIF>Couteau
MSG_WEAPON_NAME_02	<IC_WND>Bâton
MSG_WEAPON_NAME_03	<IC_WND>Caducée
MSG_WEAPON_NAME_04	<IC_NIF>Dague
MSG_WEAPON_NAME_05	<IC_HMR>Marteau
MSG_WEAPON_NAME_06	<IC_SRD>Sabre
MSG_WEAPON_NAME_07	<IC_KTN>Cimeterre
MSG_WEAPON_NAME_08	<IC_NIF>Dague de mithril
MSG_WEAPON_NAME_09	<IC_NCK>Nunchaku
MSG_WEAPON_NAME_10	<IC_WND>Gourdin
MSG_WEAPON_NAME_11	<IC_HMR>Masse de mithril
MSG_WEAPON_NAME_12	<IC_WND>Pyrosceptre
MSG_WEAPON_NAME_13	<IC_SRD>Rapière
MSG_WEAPON_NAME_14	<IC_WND>Plommée
MSG_WEAPON_NAME_15	<IC_KTN>Glaive
MSG_WEAPON_NAME_16	<IC_SRD>Claymore
MSG_WEAPON_NAME_17	<IC_WND>Schizosceptre
MSG_WEAPON_NAME_18	<IC_NCK>Tonfa
MSG_WEAPON_NAME_19	<IC_AX>Hache de mêlée
MSG_WEAPON_NAME_20	<IC_SRD>Épée runique
MSG_WEAPON_NAME_21	<IC_SRD>Garogarou
MSG_WEAPON_NAME_22	<IC_HMR>Mjollnir
MSG_WEAPON_NAME_23	<IC_SRD>Dragocide
MSG_WEAPON_NAME_24	<IC_SRD>Lame de corail
MSG_WEAPON_NAME_25	<IC_SRD>Épée longue
MSG_WEAPON_NAME_26	<IC_SRD>Gigacide
MSG_WEAPON_NAME_27	<IC_AX>Hache large
MSG_WEAPON_NAME_28	<IC_SRD>Sabre toxique
MSG_WEAPON_NAME_29	<IC_CLW>Double griffe
MSG_WEAPON_NAME_30	<IC_SRD>Épée de mithril
MSG_WEAPON_NAME_31	<IC_SRD>Yatagan
MSG_WEAPON_NAME_32	<IC_AX>Hache de mithril
MSG_WEAPON_NAME_33	<IC_SRD>Pyrolame
MSG_WEAPON_NAME_34	<IC_AX>Hache céleste
MSG_WEAPON_NAME_35	<IC_SRD>Cryolame
MSG_WEAPON_NAME_36	<IC_SRD>Défenderesse
MSG_WEAPON_NAME_37	<IC_SRD>Sabre solaire
MSG_WEAPON_NAME_38	<IC_KTN>Lame de Sasuke
MSG_WEAPON_NAME_39	<IC_SRD>Excalibur
MSG_WEAPON_NAME_40	<IC_KTN>Masamune
MSG_WEAPON_INF_01	Un petit couteau.
MSG_WEAPON_INF_02	Un bâton en bois.
MSG_WEAPON_INF_03	Un bâton qui lance Grâce quand on l'utilise.
MSG_WEAPON_INF_04	Une dague aiguisée.
MSG_WEAPON_INF_05	Un marteau de combat.
MSG_WEAPON_INF_06	Un sabre doté d'une lame très fine.
MSG_WEAPON_INF_07	Une épée à la lame courbée.
MSG_WEAPON_INF_08	Une dague forgée dans le mithril.
MSG_WEAPON_INF_09	Un nunchaku en bois.
MSG_WEAPON_INF_10	Un bâton très puissant.
MSG_WEAPON_INF_11	Une masse forgée dans le mithril.
MSG_WEAPON_INF_12	Un sceptre qui lance Brasier + quand on l'utilise.
MSG_WEAPON_INF_13	Une épée longue et perçante.
MSG_WEAPON_INF_14	Une masse renforcée de métal.
MSG_WEAPON_INF_15	Une épée à la pointe élargie.
MSG_WEAPON_INF_16	Une épée large à double tranchant.
MSG_WEAPON_INF_17	Un sceptre qui lance Démence quand on l'utilise.
MSG_WEAPON_INF_18	Une arme double, dérivée du nunchaku.
MSG_WEAPON_INF_19	Une hache pour le combat rapproché.
MSG_WEAPON_INF_20	Une épée efficace contre les créatures magiques.
MSG_WEAPON_INF_21	Une épée efficace contre les bêtes.
MSG_WEAPON_INF_22	Un marteau qui lance Foudre + quand on l'utilise.
MSG_WEAPON_INF_23	Une épée efficace contre les dragons.
MSG_WEAPON_INF_24	Une lame efficace contre les bêtes aquatiques.
MSG_WEAPON_INF_25	Une épée de chevalier.
MSG_WEAPON_INF_26	Une épée efficace contre les géants.
MSG_WEAPON_INF_27	Une grosse hache de combat.
MSG_WEAPON_INF_28	Un sabre qui lance Supplice quand on l'utilise.
MSG_WEAPON_INF_29	Une arme dotée de lames acérées.
MSG_WEAPON_INF_30	Une épée forgée dans le mithril.
MSG_WEAPON_INF_31	Une épée courbée et très affûtée.
MSG_WEAPON_INF_32	Une hache forgée dans le mithril.
MSG_WEAPON_INF_33	Une épée parcourue de flammes.
MSG_WEAPON_INF_34	Une hache efficace contre les morts-vivants. Elle lance Lumen + quand on l'utilise.
MSG_WEAPON_INF_35	Une épée couverte de glace.
MSG_WEAPON_INF_36	Une épée qui lance Leurre quand on l'utilise.
MSG_WEAPON_INF_37	Une épée efficace contre les morts-vivants.
MSG_WEAPON_INF_38	Un petit katana de ninja.
MSG_WEAPON_INF_39	Une épée de renommée légendaire qui est investie du pouvoir de tous les éléments. Elle est efficace contre tous les types de monstres.
MSG_WEAPON_INF_40	Un katana d'une puissance prodigieuse.
MSG_ARMOR_NAME_01	<IC_CLTH>Vêtements
MSG_ARMOR_NAME_02	<IC_ARMOR>Armure de cuir
MSG_ARMOR_NAME_03	<IC_RING>Brassard de cuivre
MSG_ARMOR_NAME_04	<IC_ARMOR>Cotte de mailles
MSG_ARMOR_NAME_05	<IC_RING>Brassard d'argent
MSG_ARMOR_NAME_06	<IC_ARMOR>Cotte de mithril
MSG_ARMOR_NAME_07	<IC_ARMOR>Armure de fer
MSG_ARMOR_NAME_08	<IC_CLTH>Robe blanche
MSG_ARMOR_NAME_09	<IC_CLTH>Robe noire
MSG_ARMOR_NAME_10	<IC_RING>Brassard de rubis
MSG_ARMOR_NAME_11	<IC_ARMOR>Armure d'acier
MSG_ARMOR_NAME_12	<IC_ARMOR>Cotte de feu
MSG_ARMOR_NAME_13	<IC_ARMOR>Cotte de glace
MSG_ARMOR_NAME_14	<IC_RING>Brassard de diamant
MSG_ARMOR_NAME_15	<IC_ARMOR>Armure de diamant
MSG_ARMOR_NAME_16	<IC_ARMOR>Cotte de dragon
MSG_ARMOR_NAME_17	<IC_SHIELD>Pavois de cuir
MSG_ARMOR_NAME_18	<IC_SHIELD>Targe
MSG_ARMOR_NAME_19	<IC_SHIELD>Bouclier de fer
MSG_ARMOR_NAME_20	<IC_SHIELD>Cape de cuir
MSG_ARMOR_NAME_21	<IC_SHIELD>Bouclier de mithril
MSG_ARMOR_NAME_22	<IC_SHIELD>Bouclier igné
MSG_ARMOR_NAME_23	<IC_SHIELD>Bouclier gelé
MSG_ARMOR_NAME_24	<IC_SHIELD>Pavois de diamant
MSG_ARMOR_NAME_25	<IC_SHIELD>Bouclier d'Aégis
MSG_ARMOR_NAME_26	<IC_GLOV>Gants de cuir
MSG_ARMOR_NAME_27	<IC_GLOV>Gants de bronze
MSG_ARMOR_NAME_28	<IC_GLOV>Gants d'acier
MSG_ARMOR_NAME_29	<IC_GLOV>Gants de mithril
MSG_ARMOR_NAME_30	<IC_GLOV>Gants foudroyants
MSG_ARMOR_NAME_31	<IC_GLOV>Gants de gigas
MSG_ARMOR_NAME_32	<IC_GLOV>Gants de diamant
MSG_ARMOR_NAME_33	<IC_GLOV>Bague de titane
MSG_ARMOR_NAME_34	<IC_HEAD>Casque
MSG_ARMOR_NAME_35	<IC_HEAD>Ruban
MSG_ARMOR_NAME_36	<IC_HEAD>Morion
MSG_ARMOR_NAME_37	<IC_HEAD>Heaume
MSG_ARMOR_NAME_38	<IC_HEAD>Armet de mithril
MSG_ARMOR_NAME_39	<IC_HEAD>Armet guérisseur
MSG_ARMOR_NAME_40	<IC_HEAD>Armet de diamant
MSG_ARMOR_INF_01	Des vêtements ordinaires.
MSG_ARMOR_INF_02	Une armure en cuir cousue à la main.
MSG_ARMOR_INF_03	Un brassard forgé dans le cuivre.
MSG_ARMOR_INF_04	Une cotte de mailles de chevalier.
MSG_ARMOR_INF_05	Un brassard forgé dans l'argent.
MSG_ARMOR_INF_06	Une cotte forgée dans le mithril.
MSG_ARMOR_INF_07	Une armure faite de plaques de fer.
MSG_ARMOR_INF_08	Une robe qui protège contre le feu et la mort subite. Elle lance Invisible + quand on l'utilise.
MSG_ARMOR_INF_09	Une robe qui protège contre la glace et les anomalies temporelles. Elle lance Glacier + quand on l'utilise.
MSG_ARMOR_INF_10	Un brassard orné de rubis.
MSG_ARMOR_INF_11	Une superbe armure d'acier.
MSG_ARMOR_INF_12	Une cotte forgée dans le feu qui protège contre la glace.
MSG_ARMOR_INF_13	Une cotte forgée dans la glace qui protège contre le feu.
MSG_ARMOR_INF_14	Un brassard orné de diamants.
MSG_ARMOR_INF_15	Une armure faite de diamants qui protège contre la foudre.
MSG_ARMOR_INF_16	Une cotte faite d'écailles de dragon qui protège contre le feu, la glace et la foudre.
MSG_ARMOR_INF_17	Un bouclier recouvert d'un cuir épais.
MSG_ARMOR_INF_18	Un petit bouclier de combat.
MSG_ARMOR_INF_19	Un bouclier métallique.
MSG_ARMOR_INF_20	Une cape qui se porte sur l'armure.
MSG_ARMOR_INF_21	Un grand bouclier de mithril.
MSG_ARMOR_INF_22	Un bouclier forgé dans le feu qui protège contre la glace.
MSG_ARMOR_INF_23	Un bouclier forgé dans la glace qui protège contre le feu.
MSG_ARMOR_INF_24	Un bouclier orné de diamants qui protège contre la foudre.
MSG_ARMOR_INF_25	Un bouclier qui protège contre Fossile et Poison.
MSG_ARMOR_INF_26	Des gants en cuir cousus à la main.
MSG_ARMOR_INF_27	Des gants faits de plaques de bronze.
MSG_ARMOR_INF_28	Des gants faits de plaques d'acier.
MSG_ARMOR_INF_29	Des gants faits de plaques de mithril.
MSG_ARMOR_INF_30	Des gants qui lancent Foudre + quand on les utilise.
MSG_ARMOR_INF_31	Des gants qui lancent Fureur quand on les utilise.
MSG_ARMOR_INF_32	Des gants ornés de diamants.
MSG_ARMOR_INF_33	Une bague qui protège contre la mort subite.
MSG_ARMOR_INF_34	Un casque recouvert de cuir.
MSG_ARMOR_INF_35	Un ruban qui protège contre les attaques élémentaires et les altérations d'état.
MSG_ARMOR_INF_36	Un casque de fer.
MSG_ARMOR_INF_37	Un heaume qui recouvre toute la tête.
MSG_ARMOR_INF_38	Un armet de mithril martelé.
MSG_ARMOR_INF_39	Un armet qui lance Grâce quand on l'utilise.
MSG_ARMOR_INF_40	Un armet orné de diamants.
MSG_KEY_NAME_01	<IC_IOBJ>Luth
MSG_KEY_NAME_02	<IC_IOBJ>Couronne
MSG_KEY_NAME_03	<IC_IOBJ>Œil de cristal
MSG_KEY_NAME_04	<IC_IOBJ>Sel médicinal
MSG_KEY_NAME_05	<IC_IOBJ>Clé mystique
MSG_KEY_NAME_06	<IC_IOBJ>Dynamite
MSG_KEY_NAME_07	<IC_IOBJ>Adamantine
MSG_KEY_NAME_08	<IC_IOBJ>Pierre rosetta
MSG_KEY_NAME_09	<IC_IOBJ>Rubis étoilé
MSG_KEY_NAME_10	<IC_IOBJ>Bâton tellurique
MSG_KEY_NAME_11	<IC_IOBJ>Aérolithe
MSG_KEY_NAME_12	<IC_IOBJ>Carillon
MSG_KEY_NAME_13	<IC_IOBJ>Queue de rat
MSG_KEY_NAME_14	<IC_IOBJ>Roc stellaire
MSG_KEY_NAME_15	<IC_IOBJ>Fiole enchantée
MSG_KEY_NAME_16	<IC_IOBJ>Oxygel
MSG_KEY_NAME_17	<IC_IOBJ>Canoë
MSG_KEY_INF_01	Un instrument d'une extrême pureté.
MSG_KEY_INF_02	Une couronne qui brille d'un éclat mystérieux.
MSG_KEY_INF_03	Un orbe de cristal translucide.
MSG_KEY_INF_04	Un sel capable de vaincre même le sommeil le plus profond.
MSG_KEY_INF_05	Une clé permettant d'ouvrir les portes scellées par la magie.
MSG_KEY_INF_06	Un explosif très puissant.
MSG_KEY_INF_07	Un minerai légendaire connu pour sa résistance exceptionnelle.
MSG_KEY_INF_08	Une pierre comportant des inscriptions très anciennes.
MSG_KEY_INF_09	Un gros joyau rouge.
MSG_KEY_INF_10	Un bâton habité par les puissances de la terre.
MSG_KEY_INF_11	Une pierre mystérieuse qui flotte dans les airs.
MSG_KEY_INF_12	Un petit carillon originaire de Lufénia.
MSG_KEY_INF_13	Le symbole d'un courage extraordinaire.
MSG_KEY_INF_14	Une pierre taillée dans une substance multicolore.
MSG_KEY_INF_15	Une petite fiole contenant une fée.
MSG_KEY_INF_16	Un liquide étrange qui produit continuellement de l'oxygène.
MSG_KEY_INF_17	Une embarcation permettant de franchir lacs et rivières.
MSG_MON_NAME_01	Gobelin
MSG_MON_NAME_02	Garde gobelin
MSG_MON_NAME_03	Loup
MSG_MON_NAME_04	Loup sauvage
MSG_MON_NAME_05	Loup-garou
MSG_MON_NAME_06	Loup des neiges
MSG_MON_NAME_07	Kaïmahn
MSG_MON_NAME_08	Kaïmahn de feu
MSG_MON_NAME_09	Basilisk
MSG_MON_NAME_10	Gigas
MSG_MON_NAME_11	Cryogigas
MSG_MON_NAME_12	Pyrogigas
MSG_MON_NAME_13	Sahuagin
MSG_MON_NAME_14	Chef sahuagin
MSG_MON_NAME_15	Prince sahuagin
MSG_MON_NAME_16	Pirate
MSG_MON_NAME_17	Corsaire
MSG_MON_NAME_18	Requin
MSG_MON_NAME_19	Requin blanc
MSG_MON_NAME_20	Oculos
MSG_MON_NAME_21	Oculus
MSG_MON_NAME_22	Squelette
MSG_MON_NAME_23	Squelettos
MSG_MON_NAME_24	Ascaride
MSG_MON_NAME_25	Helminthe
MSG_MON_NAME_26	Hyène
MSG_MON_NAME_27	Charognard
MSG_MON_NAME_28	Ogre
MSG_MON_NAME_29	Chef ogre
MSG_MON_NAME_30	Ogre mage
MSG_MON_NAME_31	Cobra
MSG_MON_NAME_32	Anaconda
MSG_MON_NAME_33	Couleuvre
MSG_MON_NAME_34	Scorpion
MSG_MON_NAME_35	Scorpène
MSG_MON_NAME_36	Minotaure
MSG_MON_NAME_37	Nécrotaure
MSG_MON_NAME_38	Troll
MSG_MON_NAME_39	Troll des mers
MSG_MON_NAME_40	Ombre
MSG_MON_NAME_41	Spectre
MSG_MON_NAME_42	Esprit
MSG_MON_NAME_43	Fantôme
MSG_MON_NAME_44	Zombie
MSG_MON_NAME_45	Goule
MSG_MON_NAME_46	Revenant
MSG_MON_NAME_47	Démon
MSG_MON_NAME_48	Ver
MSG_MON_NAME_49	Ver des sables
MSG_MON_NAME_50	Ver de lave
MSG_MON_NAME_51	Œil maudit
MSG_MON_NAME_52	Œil mortel
MSG_MON_NAME_53	Méduse
MSG_MON_NAME_54	Terra-méduse
MSG_MON_NAME_55	Tigre-garou
MSG_MON_NAME_56	Rakshasa
MSG_MON_NAME_57	Mille-pattes
MSG_MON_NAME_58	Mille-pinces
MSG_MON_NAME_59	Jaguar
MSG_MON_NAME_60	Jaguar blanc
MSG_MON_NAME_61	Vampire
MSG_MON_NAME_62	Baron vampire
MSG_MON_NAME_63	Gargouille
MSG_MON_NAME_64	Diablotin
MSG_MON_NAME_65	Terracyte
MSG_MON_NAME_66	Pyrocyte
MSG_MON_NAME_67	Dragon blanc
MSG_MON_NAME_68	Dragon ocre
MSG_MON_NAME_69	Dragon zombie
MSG_MON_NAME_70	Aspic vert
MSG_MON_NAME_71	Aspic gris
MSG_MON_NAME_72	Aspic rouge
MSG_MON_NAME_73	Aspic noir
MSG_MON_NAME_74	Veuve noire
MSG_MON_NAME_75	Tarentule
MSG_MON_NAME_76	Manticore
MSG_MON_NAME_77	Sphinx
MSG_MON_NAME_78	Tortoise
MSG_MON_NAME_79	Pétratortoise
MSG_MON_NAME_80	Momie
MSG_MON_NAME_81	Roi momie
MSG_MON_NAME_82	Gallus
MSG_MON_NAME_83	Pyrolisk
MSG_MON_NAME_84	Guivre
MSG_MON_NAME_85	Tarasque
MSG_MON_NAME_86	Allosaure
MSG_MON_NAME_87	Tyrannosaure
MSG_MON_NAME_88	Piranha
MSG_MON_NAME_89	Piranha rouge
MSG_MON_NAME_90	Crocodile
MSG_MON_NAME_91	Croc blanc
MSG_MON_NAME_92	Ochu
MSG_MON_NAME_93	Néochu
MSG_MON_NAME_94	Hydre
MSG_MON_NAME_95	Hydre de feu
MSG_MON_NAME_96	Gardien
MSG_MON_NAME_97	Soldat
MSG_MON_NAME_98	Tourbillon
MSG_MON_NAME_99	Aérocyte
MSG_MON_NAME_100	Aquanaga
MSG_MON_NAME_101	Spiritonaga
MSG_MON_NAME_102	Chimaira
MSG_MON_NAME_103	Rhyochimaira
MSG_MON_NAME_104	Envoûteur
MSG_MON_NAME_105	Ensorceleur
MSG_MON_NAME_106	Garland
MSG_MON_NAME_107	Dragon vert
MSG_MON_NAME_108	Dragon bleu
MSG_MON_NAME_109	Golem d'argile
MSG_MON_NAME_110	Golem de pierre
MSG_MON_NAME_111	Golem de fer
MSG_MON_NAME_112	Soldat noir
MSG_MON_NAME_113	Soldat occulte
MSG_MON_NAME_114	Astos
MSG_MON_NAME_115	Sorcier obscur
MSG_MON_NAME_116	Guerrier obscur
MSG_MON_NAME_117	Licorne
MSG_MON_NAME_118	Licorne fauve
