MSG_JOB_NAME_01	Воин
MSG_MAG_INF_60	Погружает одного врага в непроглядную тьму.
MSG_MAG_INF_61	Атакует всех врагов волной света и жара.
MSG_MAG_INF_62	Останавливает время и парализует всех врагов.
MSG_MAG_INF_63	Выталкивает всех врагов в другое измерение.
MSG_MAG_INF_64	Мгновенно убивает одного врага.
MSG_ITEM_NAME_01	<IC_DRAG>Зелье
MSG_ITEM_NAME_02	<IC_BAG>Противоядие
MSG_ITEM_NAME_03	<IC_BAG>Золотая игла
MSG_ITEM_NAME_04	<IC_TENTO>Спальный мешок
MSG_ITEM_NAME_05	<IC_TENTO>Палатка
MSG_ITEM_NAME_06	<IC_TENTO>Дом
MSG_ITEM_NAME_07	<IC_DRAG>Ультразелье
MSG_ITEM_NAME_08	<IC_DRAG>Зелье Х
MSG_ITEM_NAME_09	<IC_DRAG>Эфир
MSG_ITEM_NAME_11	<IC_DRAG>Сухой эфир
MSG_ITEM_NAME_12	<IC_DRAG>Эликсир
MSG_ITEM_NAME_14	<IC_BAG>Пух феникса
MSG_ITEM_NAME_15	<IC_BAG>Панацея
MSG_ITEM_NAME_16	<IC_BAG>Капли для глаз
MSG_ITEM_NAME_17	<IC_BAG>Эхо-трава
MSG_ITEM_NAME_39	<IC_BAG>Тоник силы
MSG_ITEM_NAME_40	<IC_BAG>Тоник великана
MSG_ITEM_NAME_42	<IC_BAG>Напиток защиты
MSG_ITEM_NAME_43	<IC_BAG>Напиток скорости
MSG_ITEM_INF_01	Восстанавливает 50 ОЗ.
MSG_ITEM_INF_02	Исцеляет отравление.
MSG_ITEM_INF_03	Исцеляет окаменение.
MSG_ITEM_INF_04	Частично восстанавливает ОЗ отряда.\nИспользуется только в дороге.
MSG_ITEM_INF_05	Частично восстанавливает ОЗ и ОМ отряда.\nИспользуется только в дороге.
MSG_ITEM_INF_06	Полностью восстанавливает ОЗ и ОМ отряда.\nИспользуется только в дороге.
MSG_ITEM_INF_07	Восстанавливает 150 ОЗ.
MSG_ITEM_INF_08	Полностью восстанавливает ОЗ.
MSG_ITEM_INF_09	Восстанавливает 1 ОМ за каждый уровень магии.
MSG_ITEM_INF_11	Восстанавливает 5 ОМ за каждый уровень магии.
MSG_ITEM_INF_12	Полностью восстанавливает ОЗ и ОМ.
MSG_ITEM_INF_14	Приводит в чувство одного павшего союзника.
MSG_ITEM_INF_15	Исцеляет негативные эффекты, кроме окаменения и потери сознания.
MSG_ITEM_INF_16	Разгоняет тьму.
MSG_ITEM_INF_17	Исцеляет немоту.
MSG_ITEM_INF_39	Временно увеличивает атаку.
MSG_ITEM_INF_40	Временно увеличивает максимальное количество ОЗ.
MSG_ITEM_INF_42	Временно увеличивает защиту.
MSG_ITEM_INF_43	Временно увеличивает ловкость.
MSG_WEAPON_NAME_01	<IC_NIF>Нож
MSG_WEAPON_NAME_02	<IC_WND>Посох
MSG_WEAPON_NAME_03	<IC_WND>Посох исцеления
MSG_WEAPON_NAME_04	<IC_NIF>Кинжал
MSG_WEAPON_NAME_05	<IC_HMR>Молот
MSG_WEAPON_NAME_06	<IC_SRD>Рапира
MSG_WEAPON_NAME_07	<IC_KTN>Скимитар
MSG_WEAPON_NAME_08	<IC_NIF>Мифриловый нож
MSG_WEAPON_NAME_09	<IC_NCK>Нунчаки
MSG_WEAPON_NAME_10	<IC_WND>Посох силы
MSG_WEAPON_NAME_11	<IC_HMR>Мифриловый молот
MSG_WEAPON_NAME_12	<IC_WND>Посох мага
MSG_WEAPON_NAME_13	<IC_SRD>Сабля
MSG_WEAPON_NAME_14	<IC_WND>Патерисса
MSG_WEAPON_NAME_15	<IC_KTN>Фальшион
MSG_WEAPON_NAME_16	<IC_SRD>Палаш
MSG_WEAPON_NAME_17	<IC_WND>Посох волшебника
MSG_WEAPON_NAME_18	<IC_NCK>Железные нунчаки
MSG_WEAPON_NAME_19	<IC_AX>Боевой топор
MSG_WEAPON_NAME_20	<IC_SRD>Рунный клинок
MSG_WEAPON_NAME_21	<IC_SRD>Волкобой
MSG_WEAPON_NAME_22	<IC_HMR>Молот Тора
MSG_WEAPON_NAME_23	<IC_SRD>Убийца змеев
MSG_WEAPON_NAME_24	<IC_SRD>Коралловый меч
MSG_WEAPON_NAME_25	<IC_SRD>Полуторный меч
MSG_WEAPON_NAME_26	<IC_SRD>Двуручный меч
MSG_WEAPON_NAME_27	<IC_AX>Большой топор
MSG_WEAPON_NAME_28	<IC_SRD>Ядовитый меч
MSG_WEAPON_NAME_29	<IC_CLW>Кошачьи когти
MSG_WEAPON_NAME_30	<IC_SRD>Мифриловый меч
MSG_WEAPON_NAME_31	<IC_SRD>Разящий меч
MSG_WEAPON_NAME_32	<IC_AX>Мифриловый топор
MSG_WEAPON_NAME_33	<IC_SRD>Пламенный меч
MSG_WEAPON_NAME_34	<IC_AX>Топор Света
MSG_WEAPON_NAME_35	<IC_SRD>Ледяной меч
MSG_WEAPON_NAME_36	<IC_SRD>Заступник
MSG_WEAPON_NAME_37	<IC_SRD>Солнечный клинок
MSG_WEAPON_NAME_38	<IC_KTN>Клинок Саске
MSG_WEAPON_NAME_39	<IC_SRD>Экскалибур
MSG_WEAPON_NAME_40	<IC_KTN>Масамунэ
MSG_WEAPON_INF_01	Маленький нож.
MSG_WEAPON_INF_02	Деревянный посох.
MSG_WEAPON_INF_03	Посох, позволяющий использовать заклинание Лечение.
MSG_WEAPON_INF_04	Большой нож.
MSG_WEAPON_INF_05	Молот, выкованный для битвы.
MSG_WEAPON_INF_06	Меч с тонким клинком.
MSG_WEAPON_INF_07	Меч с изогнутым клинком.
MSG_WEAPON_INF_08	Нож, выкованный из мифрила.
MSG_WEAPON_INF_09	Деревянные нунчаки.
MSG_WEAPON_INF_10	Посох с внушительной силой атаки.
MSG_WEAPON_INF_11	Молот, выкованный из мифрила.
MSG_WEAPON_INF_12	Посох, позволяющий использовать заклинание Пламя.
MSG_WEAPON_INF_13	Длинный меч для нанесения колющих ударов.
MSG_WEAPON_INF_14	Посох, увенчанный железным кольцом.
MSG_WEAPON_INF_15	Меч с расширяющимся к концу клинком.
MSG_WEAPON_INF_16	Меч с широким обоюдоострым клинком.
MSG_WEAPON_INF_17	Посох, позволяющий использовать заклинание Замешательство.
MSG_WEAPON_INF_18	Железные нунчаки.
MSG_WEAPON_INF_19	Топор, выкованный для битвы.
MSG_WEAPON_INF_20	Меч, который пригодится в бою против магов.
MSG_WEAPON_INF_21	Меч, который пригодится в бою против чудовищ.
MSG_WEAPON_INF_22	Молот, позволяющий использовать заклинание Молния.
MSG_WEAPON_INF_23	Меч, который пригодится в бою против драконов.
MSG_WEAPON_INF_24	Меч, который пригодится в бою против водных врагов.
MSG_WEAPON_INF_25	Большой меч с обоюдоострым клинком.
MSG_WEAPON_INF_26	Меч, который пригодится в бою против великанов.
MSG_WEAPON_INF_27	Большой топор, выкованный для битвы.
MSG_WEAPON_INF_28	Сабля, позволяющая использовать заклинание Кара.
MSG_WEAPON_INF_29	Оружие с острыми как бритва клинками.
MSG_WEAPON_INF_30	Меч, выкованный из мифрила.
MSG_WEAPON_INF_31	Остро заточенный серповидный клинок.
MSG_WEAPON_INF_32	Топор, выкованный из мифрила.
MSG_WEAPON_INF_33	Меч, наделенный силой огня.
MSG_WEAPON_INF_34	Топор, который пригодится в бою против нежити; позволяет использовать заклинание Диа 1.
MSG_WEAPON_INF_35	Меч, наделенный силой льда.
MSG_WEAPON_INF_36	Меч, позволяющий использовать заклинание Мерцание.
MSG_WEAPON_INF_37	Меч, который пригодится в бою против нежити.
MSG_WEAPON_INF_38	Небольшая катана ниндзя.
MSG_WEAPON_INF_39	Меч, изготовленный из легендарного металла. Хорош против любых противников.
MSG_WEAPON_INF_40	Легендарная катана, равных которой нет.
MSG_ARMOR_NAME_01	<IC_CLTH>Одежда
MSG_ARMOR_NAME_02	<IC_ARMOR>Кожаные доспехи
MSG_ARMOR_NAME_03	<IC_RING>Медный браслет
MSG_ARMOR_NAME_04	<IC_ARMOR>Кольчуга
MSG_ARMOR_NAME_05	<IC_RING>Серебряный браслет
MSG_ARMOR_NAME_06	<IC_ARMOR>Мифриловая кольчуга
MSG_ARMOR_NAME_07	<IC_ARMOR>Железные доспехи
MSG_ARMOR_NAME_08	<IC_CLTH>Белое одеяние
MSG_ARMOR_NAME_09	<IC_CLTH>Черное одеяние
MSG_ARMOR_NAME_10	<IC_RING>Рубиновый браслет
MSG_ARMOR_NAME_11	<IC_ARMOR>Рыцарские доспехи
MSG_ARMOR_NAME_12	<IC_ARMOR>Пламенная кольчуга
MSG_ARMOR_NAME_13	<IC_ARMOR>Ледяные доспехи
MSG_ARMOR_NAME_14	<IC_RING>Алмазный браслет
MSG_ARMOR_NAME_15	<IC_ARMOR>Алмазные доспехи
MSG_ARMOR_NAME_16	<IC_ARMOR>Драконья кольчуга
MSG_ARMOR_NAME_17	<IC_SHIELD>Кожаный щит
MSG_ARMOR_NAME_18	<IC_SHIELD>Баклер
MSG_ARMOR_NAME_19	<IC_SHIELD>Железный щит
MSG_ARMOR_NAME_20	<IC_SHIELD>Защитный плащ
MSG_ARMOR_NAME_21	<IC_SHIELD>Мифриловый щит
MSG_ARMOR_NAME_22	<IC_SHIELD>Пламенный щит
MSG_ARMOR_NAME_23	<IC_SHIELD>Ледяной щит
MSG_ARMOR_NAME_24	<IC_SHIELD>Алмазный щит
MSG_ARMOR_NAME_25	<IC_SHIELD>Эгида
MSG_ARMOR_NAME_26	<IC_GLOV>Кожаные перчатки
MSG_ARMOR_NAME_27	<IC_GLOV>Бронзовые перчатки
MSG_ARMOR_NAME_28	<IC_GLOV>Стальные перчатки
MSG_ARMOR_NAME_29	<IC_GLOV>Мифриловые перчатки
MSG_ARMOR_NAME_30	<IC_GLOV>Рукавицы
MSG_ARMOR_NAME_31	<IC_GLOV>Перчатки великана
MSG_ARMOR_NAME_32	<IC_GLOV>Алмазные перчатки
MSG_ARMOR_NAME_33	<IC_GLOV>Кольцо защиты
MSG_ARMOR_NAME_34	<IC_HEAD>Кожаная шапка
MSG_ARMOR_NAME_35	<IC_HEAD>Ленточка
MSG_ARMOR_NAME_36	<IC_HEAD>Шлем
MSG_ARMOR_NAME_37	<IC_HEAD>Большой шлем
MSG_ARMOR_NAME_38	<IC_HEAD>Мифриловый шлем
MSG_ARMOR_NAME_39	<IC_HEAD>Шлем исцеления
MSG_ARMOR_NAME_40	<IC_HEAD>Алмазный шлем
MSG_ARMOR_INF_01	Обычная одежда.
MSG_ARMOR_INF_02	Доспехи из дубленой кожи.
MSG_ARMOR_INF_03	Браслет из меди.
MSG_ARMOR_INF_04	Сплетенная из звеньев кольчуга.
MSG_ARMOR_INF_05	Браслет из кованого серебра.
MSG_ARMOR_INF_06	Кольчуга, выкованная из мифрила.
MSG_ARMOR_INF_07	Доспехи из тонкого кованого железа.
MSG_ARMOR_INF_08	Одеяние, которое защищает от огня и мгновенной смерти; позволяет использовать заклинание Невидимость 1.
MSG_ARMOR_INF_09	Одеяние, которое защищает от льда и перебоев во времени; позволяет использовать заклинание Буран.
MSG_ARMOR_INF_10	Браслет, инкрустированный рубинами.
MSG_ARMOR_INF_11	Доспехи, выкованные из стальных пластин.
MSG_ARMOR_INF_12	Кольчуга, наделенная силой огня; защищает от льда.
MSG_ARMOR_INF_13	Доспехи, наделенные силой льда; защищают от огня.
MSG_ARMOR_INF_14	Браслет, украшенный алмазами.
MSG_ARMOR_INF_15	Доспехи, выкованные из алмаза; защищают от молнии.
MSG_ARMOR_INF_16	Кольчуга из драконьей чешуи; защищает от огня и льда.
MSG_ARMOR_INF_17	Щит, изготовленный из дубленой кожи.
MSG_ARMOR_INF_18	Небольшой щит.
MSG_ARMOR_INF_19	Щит, выкованный из железа.
MSG_ARMOR_INF_20	Плащ, который носят поверх доспехов.
MSG_ARMOR_INF_21	Щит, изготовленный из мифрила.
MSG_ARMOR_INF_22	Щит, наделенный силой огня; защищает от льда.
MSG_ARMOR_INF_23	Щит, наделенный силой льда; защищает от огня.
MSG_ARMOR_INF_24	Щит, изготовленный из алмаза; защищает от молнии.
MSG_ARMOR_INF_25	Щит, защищающий от окаменения и отравления.
MSG_ARMOR_INF_26	Сшитые из кожи перчатки.
MSG_ARMOR_INF_27	Перчатки, изготовленные из бронзы.
MSG_ARMOR_INF_28	Перчатки, изготовленные из стали.
MSG_ARMOR_INF_29	Перчатки, изготовленные из мифрила.
MSG_ARMOR_INF_30	Перчатки, позволяющие использовать заклинание Молния.
MSG_ARMOR_INF_31	Перчатки, позволяющие использовать заклинание Сабля.
MSG_ARMOR_INF_32	Перчатки, изготовленные из алмаза.
MSG_ARMOR_INF_33	Кольцо, защищающее от мгновенной смерти.
MSG_ARMOR_INF_34	Сшитая из кожи шапка.
MSG_ARMOR_INF_35	Ленточка-талисман, защищающая от стихийных атак и эффектов статуса.
MSG_ARMOR_INF_36	Небольшой шлем.
MSG_ARMOR_INF_37	Шлем, покрывающий всю голову.
MSG_ARMOR_INF_38	Шлем, выкованный из мифрила.
MSG_ARMOR_INF_39	Шлем, позволяющий использовать заклинание Лечение.
MSG_ARMOR_INF_40	Шлем, изготовленный из алмаза.
MSG_KEY_NAME_01	<IC_IOBJ>Лютня
MSG_KEY_NAME_02	<IC_IOBJ>Корона
MSG_KEY_NAME_03	<IC_IOBJ>Хрустальное око
MSG_KEY_NAME_04	<IC_IOBJ>Тоник бодрости
MSG_KEY_NAME_05	<IC_IOBJ>Ключ тайн
MSG_KEY_NAME_06	<IC_IOBJ>Нитропорох
MSG_KEY_NAME_07	<IC_IOBJ>Адамантит
MSG_KEY_NAME_08	<IC_IOBJ>Розеттский камень
MSG_KEY_NAME_09	<IC_IOBJ>Звездный рубин
MSG_KEY_NAME_10	<IC_IOBJ>Посох земли
MSG_KEY_NAME_11	<IC_IOBJ>Левикамень
MSG_KEY_NAME_12	<IC_IOBJ>Колокольчик
MSG_KEY_NAME_13	<IC_IOBJ>Крысиный хвост
MSG_KEY_NAME_14	<IC_IOBJ>Куб излома
MSG_KEY_NAME_15	<IC_IOBJ>Фея в бутылке
MSG_KEY_NAME_16	<IC_IOBJ>Оксиаль
MSG_KEY_NAME_17	<IC_IOBJ>Каноэ
MSG_KEY_INF_01	Элегантный музыкальный инструмент.
MSG_KEY_INF_02	Корона, мерцающая загадочным блеском.
MSG_KEY_INF_03	Прозрачный хрустальный шар.
MSG_KEY_INF_04	Сыворотка, способная вывести из самого глубокого сна.
MSG_KEY_INF_05	Ключ, открывающий запечатанные магией двери.
MSG_KEY_INF_06	Порох, обладающий огромной взрывной силой.
MSG_KEY_INF_07	Легендарный металл, известный своей прочностью.
MSG_KEY_INF_08	Табличка с древними письменами.
MSG_KEY_INF_09	Гигантский красный самоцвет.
MSG_KEY_INF_10	Посох, наделенный силой земли и природы.
MSG_KEY_INF_11	Загадочный камень, который парит в воздухе.
MSG_KEY_INF_12	Сладкозвучный луфенианский колокольчик.
MSG_KEY_INF_13	Символ доблести и силы.
MSG_KEY_INF_14	Куб из разноцветной субстанции.
MSG_KEY_INF_15	Бутылка с феей внутри.
MSG_KEY_INF_16	Странная жидкость, выделяющая воздух.
MSG_KEY_INF_17	Небольшая лодка для переправы через озера и реки.
MSG_MON_NAME_01	Гоблин
MSG_MON_NAME_02	Гоблин-страж
MSG_MON_NAME_03	Волк
MSG_MON_NAME_04	Варг
MSG_MON_NAME_05	Волк-оборотень
MSG_MON_NAME_06	Зимний волк
MSG_MON_NAME_07	Ящер
MSG_MON_NAME_08	Огненный ящер
MSG_MON_NAME_09	Василиск
MSG_MON_NAME_10	Великан холмов
MSG_MON_NAME_11	Ледяной великан
MSG_MON_NAME_12	Огненный великан
MSG_MON_NAME_13	Сахаджин
MSG_MON_NAME_14	Сахаджин-вождь
MSG_MON_NAME_15	Сахаджин-принц
MSG_MON_NAME_16	Пират
MSG_MON_NAME_17	Буканьер
MSG_MON_NAME_18	Акула
MSG_MON_NAME_19	Белая акула
MSG_MON_NAME_20	Большеглаз
MSG_MON_NAME_21	Глубокоглаз
MSG_MON_NAME_22	Скелет
MSG_MON_NAME_23	Кровавые кости
MSG_MON_NAME_24	Гигантский червь
MSG_MON_NAME_25	Ползун
MSG_MON_NAME_26	Гиенодон
MSG_MON_NAME_27	Адская гончая
MSG_MON_NAME_28	Огр
MSG_MON_NAME_29	Огр-вождь
MSG_MON_NAME_30	Огр-маг
MSG_MON_NAME_31	Кобра
MSG_MON_NAME_32	Анаконда
MSG_MON_NAME_33	Морской змей
MSG_MON_NAME_34	Скорпион
MSG_MON_NAME_35	Морской скорпион
MSG_MON_NAME_36	Минотавр
MSG_MON_NAME_37	Минотавр-зомби
MSG_MON_NAME_38	Тролль
MSG_MON_NAME_39	Морской тролль
MSG_MON_NAME_40	Тень
MSG_MON_NAME_41	Дух
MSG_MON_NAME_42	Привидение
MSG_MON_NAME_43	Призрак
MSG_MON_NAME_44	Зомби
MSG_MON_NAME_45	Гуль
MSG_MON_NAME_46	Вурдалак
MSG_MON_NAME_47	Упырь
MSG_MON_NAME_48	Пурпурный червь
MSG_MON_NAME_49	Песчаный червь
MSG_MON_NAME_50	Лавовый червь
MSG_MON_NAME_51	Злобоглаз
MSG_MON_NAME_52	Смертоглаз
MSG_MON_NAME_53	Медуза
MSG_MON_NAME_54	Земляная медуза
MSG_MON_NAME_55	Тигр-оборотень
MSG_MON_NAME_56	Ракшаса
MSG_MON_NAME_57	Анкхег
MSG_MON_NAME_58	Ремораз
MSG_MON_NAME_59	Малый тигр
MSG_MON_NAME_60	Саблезуб
MSG_MON_NAME_61	Вампир
MSG_MON_NAME_62	Лорд-вампир
MSG_MON_NAME_63	Гаргулья
MSG_MON_NAME_64	Рогатый демон
MSG_MON_NAME_65	Элементаль земли
MSG_MON_NAME_66	Элементаль огня
MSG_MON_NAME_67	Белый дракон
MSG_MON_NAME_68	Красный дракон
MSG_MON_NAME_69	Дракон-зомби
MSG_MON_NAME_70	Зеленая слизь
MSG_MON_NAME_71	Серая жижа
MSG_MON_NAME_72	Охристая медуза
MSG_MON_NAME_73	Черный флан
MSG_MON_NAME_74	Черная вдова
MSG_MON_NAME_75	Тарантул
MSG_MON_NAME_76	Мантикора
MSG_MON_NAME_77	Сфинкс
MSG_MON_NAME_78	Баретта
MSG_MON_NAME_79	Пустынная баретта
MSG_MON_NAME_80	Мумия
MSG_MON_NAME_81	Король мумий
MSG_MON_NAME_82	Кокатрис
MSG_MON_NAME_83	Пиролиск
MSG_MON_NAME_84	Виверна
MSG_MON_NAME_85	Змей
MSG_MON_NAME_86	Аллозавр
MSG_MON_NAME_87	Тираннозавр
MSG_MON_NAME_88	Пиранья
MSG_MON_NAME_89	Красная пиранья
MSG_MON_NAME_90	Крокодил
MSG_MON_NAME_91	Белый крокодил
MSG_MON_NAME_92	Оку
MSG_MON_NAME_93	Неоку
MSG_MON_NAME_94	Гидра
MSG_MON_NAME_95	Огненная гидра
MSG_MON_NAME_96	Страж
MSG_MON_NAME_97	Солдат
MSG_MON_NAME_98	Элементаль воды
MSG_MON_NAME_99	Элементаль воздуха
MSG_MON_NAME_100	Водяная нага
MSG_MON_NAME_101	Духовная нага
MSG_MON_NAME_102	Химера
MSG_MON_NAME_103	Горгимера
MSG_MON_NAME_104	Рыбодемон
MSG_MON_NAME_105	Свежеватель разума
MSG_MON_NAME_106	Гарланд
MSG_MON_NAME_107	Зеленый дракон
MSG_MON_NAME_108	Синий дракон
MSG_MON_NAME_109	Глиняный голем
MSG_MON_NAME_110	Каменный голем
