MSG_JOB_NAME_01	Guerrero
MSG_MAG_INF_03	Aumenta la Defensa de un aliado.
MSG_MAG_INF_04	Aumenta la Evasión propia.
MSG_MAG_INF_05	Cura el estado Ceguera.
MSG_MAG_INF_06	Causa Mudez a todos los enemigos.
MSG_MAG_INF_07	Reduce a la mitad los daños de Rayo que reciban todos los aliados.
MSG_MAG_INF_08	Aumenta la Evasión de un aliado.
MSG_MAG_INF_09	Devuelve VIT a un aliado.
MSG_MAG_INF_10	Causa daños a los muertos vivientes.
MSG_MAG_INF_11	Reduce a la mitad los daños de Fuego que reciban todos los aliados.
MSG_MAG_INF_12	Devuelve VIT a todos los aliados.
MSG_MAG_INF_13	Cura el estado Veneno.
MSG_MAG_INF_14	Hace que los enemigos escapen asustados.
MSG_MAG_INF_15	Reduce a la mitad los daños de Frío que reciban todos los aliados.
MSG_MAG_INF_16	Cura el estado Mudez.
MSG_MAG_INF_17	Devuelve mucha VIT a un aliado.
MSG_MAG_INF_18	Revive a un aliado.
MSG_MAG_INF_19	Causa daños a los muertos vivientes.
MSG_MAG_INF_20	Devuelve VIT a todo el grupo.
MSG_MAG_INF_21	Cura el estado Piedra.
MSG_MAG_INF_22	Saca al grupo de las mazmorras.
MSG_MAG_INF_23	Aumenta la Defensa del grupo.
MSG_MAG_INF_24	Aumenta la Evasión del grupo.
MSG_MAG_INF_25	Restablece la VIT de un aliado.
MSG_MAG_INF_26	Causa daños a los muertos vivientes.
MSG_MAG_INF_27	Protege a todos los aliados contra la muerte instantánea.
MSG_MAG_INF_28	Devuelve mucha VIT a todo el grupo.
MSG_MAG_INF_29	Revive a un aliado y restablece su VIT.
MSG_MAG_INF_30	Daña a todos los enemigos con luz sagrada.
MSG_MAG_INF_31	Reduce a la mitad el daño mágico recibido.
MSG_MAG_INF_32	Suprime la Defensa mágica de un rival.
MSG_MAG_INF_33	Causa daños de Fuego a un enemigo.
MSG_MAG_INF_34	Adormece a todos los enemigos.
MSG_MAG_INF_35	Reduce la Evasión de un enemigo.
MSG_MAG_INF_36	Causa daños de Rayo a un enemigo.
MSG_MAG_INF_37	Causa daños de Frío a un enemigo.
MSG_MAG_INF_38	Causa Ceguera a todos los enemigos.
MSG_MAG_INF_39	Aumenta el Ataque de un aliado.
MSG_MAG_INF_40	Reduce la frecuencia de ataques enemigos.
MSG_MAG_INF_41	Causa daños de Fuego a todos los enemigos.
MSG_MAG_INF_42	Paraliza a un enemigo.
MSG_MAG_INF_43	Causa daños de Rayo a todos los enemigos.
MSG_MAG_INF_44	Reduce la Evasión de todos los enemigos.
MSG_MAG_INF_45	Adormece a un enemigo.
MSG_MAG_INF_46	Duplica la frecuencia de ataque.
MSG_MAG_INF_47	Nubla el sentido de todos los enemigos.
MSG_MAG_INF_48	Causa daños de Frío a todos los enemigos.
MSG_MAG_INF_49	Causa daños de Fuego a todos los enemigos.
MSG_MAG_INF_50	Libera una niebla nociva que fulmina a los enemigos.
MSG_MAG_INF_51	Transporta al grupo al nivel anterior.
MSG_MAG_INF_52	Reduce la frecuencia de ataque del enemigo.
MSG_MAG_INF_53	Causa daños de Rayo a todos los enemigos.
MSG_MAG_INF_54	Fulmina en el acto a un enemigo.
MSG_MAG_INF_55	Causa un terremoto que se traga a los enemigos.
MSG_MAG_INF_56	Paraliza a un enemigo.
MSG_MAG_INF_57	Causa daños de Frío a todos los enemigos.
MSG_MAG_INF_58	Petrifica a un enemigo.
MSG_MAG_INF_59	Aumenta el Ataque y la Puntería propias.
MSG_MAG_INF_60	Causa Ceguera a un enemigo.
MSG_MAG_INF_61	Ataca a todos los enemigos con luz y calor.
MSG_MAG_INF_62	Detiene el tiempo y paraliza a los enemigos.
MSG_MAG_INF_63	Expulsa a todos los enemigos a otra dimensión.
MSG_MAG_INF_64	Fulmina en el acto a un enemigo.
MSG_ITEM_NAME_01	<IC_DRAG>Poción
MSG_ITEM_NAME_02	<IC_BAG>Antídoto
MSG_ITEM_NAME_03	<IC_BAG>Aguja de oro
MSG_ITEM_NAME_04	<IC_TENTO>Saco de dormir
MSG_ITEM_NAME_05	<IC_TENTO>Tienda de lona
MSG_ITEM_NAME_06	<IC_TENTO>Cabaña
MSG_ITEM_NAME_07	<IC_DRAG>Ultrapoción
MSG_ITEM_NAME_08	<IC_DRAG>Poción X
MSG_ITEM_NAME_09	<IC_DRAG>Éter
MSG_ITEM_NAME_11	<IC_DRAG>Éter triple
MSG_ITEM_NAME_12	<IC_DRAG>Elixir
MSG_ITEM_NAME_14	<IC_BAG>Cola de fénix
MSG_ITEM_NAME_15	<IC_BAG>Panacea
MSG_ITEM_NAME_16	<IC_BAG>Colirio
MSG_ITEM_NAME_17	<IC_BAG>Hierba del eco
MSG_ITEM_NAME_39	<IC_BAG>Pócima de vigor
MSG_ITEM_NAME_40	<IC_BAG>Tónica de gigas
MSG_ITEM_NAME_42	<IC_BAG>Agua ferruginosa
MSG_ITEM_NAME_43	<IC_BAG>Batido veloz
MSG_ITEM_INF_01	Devuelve 50 puntos de VIT.
MSG_ITEM_INF_02	Cura el estado Veneno.
MSG_ITEM_INF_03	Cura el estado Piedra.
MSG_ITEM_INF_04	Devuelve algo de VIT al grupo.\nSolo puede usarse al aire libre.
MSG_ITEM_INF_05	Devuelve algo de VIT y PM al grupo.\nSolo puede usarse al aire libre.
MSG_ITEM_INF_06	Restablece la VIT y los PM del grupo.\nSolo puede usarse al aire libre.
MSG_ITEM_INF_07	Devuelve 150 puntos de VIT.
MSG_ITEM_INF_08	Restablece la VIT al tope.
MSG_ITEM_INF_09	Devuelve tantos PM como niveles tengan los conjuros.
MSG_ITEM_INF_11	Devuelve cinco veces más PM por cada nivel que tengan los conjuros.
MSG_ITEM_INF_12	Restablece la VIT y los PM al tope.
MSG_ITEM_INF_14	Reanima a un aliado caído.
MSG_ITEM_INF_15	Cura todos los estados con excepción de KO y Piedra.
MSG_ITEM_INF_16	Cura la Ceguera.
MSG_ITEM_INF_17	Cura la Mudez.
MSG_ITEM_INF_39	Aumenta temporalmente el Ataque.
MSG_ITEM_INF_40	Aumenta temporalmente la VIT máxima.
MSG_ITEM_INF_42	Aumenta temporalmente la Defensa.
MSG_ITEM_INF_43	Aumenta temporalmente la Rapidez.
MSG_WEAPON_NAME_01	<IC_NIF>Cuchillo
MSG_WEAPON_NAME_02	<IC_WND>Vara
MSG_WEAPON_NAME_03	<IC_WND>Vara sanadora
MSG_WEAPON_NAME_04	<IC_NIF>Daga
MSG_WEAPON_NAME_05	<IC_HMR>Martillo
MSG_WEAPON_NAME_06	<IC_SRD>Estoque
MSG_WEAPON_NAME_07	<IC_KTN>Cimitarra
MSG_WEAPON_NAME_08	<IC_NIF>Cuchillo de mitrilo
MSG_WEAPON_NAME_09	<IC_NCK>Nunchaku
MSG_WEAPON_NAME_10	<IC_WND>Vara de poder
MSG_WEAPON_NAME_11	<IC_HMR>Martillo de mitrilo
MSG_WEAPON_NAME_12	<IC_WND>Vara de mago
MSG_WEAPON_NAME_13	<IC_SRD>Sable
MSG_WEAPON_NAME_14	<IC_WND>Báculo
MSG_WEAPON_NAME_15	<IC_KTN>Bracamarte
MSG_WEAPON_NAME_16	<IC_SRD>Turbión
MSG_WEAPON_NAME_17	<IC_WND>Vara de druida
MSG_WEAPON_NAME_18	<IC_NCK>Nunchaku férreo
MSG_WEAPON_NAME_19	<IC_AX>Hacha de guerra
MSG_WEAPON_NAME_20	<IC_SRD>Hoja rúnica
MSG_WEAPON_NAME_21	<IC_SRD>Matalicántropos
MSG_WEAPON_NAME_22	<IC_HMR>Mjolnir
MSG_WEAPON_NAME_23	<IC_SRD>Mataguivernos
MSG_WEAPON_NAME_24	<IC_SRD>Sable coralino
MSG_WEAPON_NAME_25	<IC_SRD>Espada larga
MSG_WEAPON_NAME_26	<IC_SRD>Espadón
MSG_WEAPON_NAME_27	<IC_AX>Gran hacha
MSG_WEAPON_NAME_28	<IC_SRD>Hoja venenosa
MSG_WEAPON_NAME_29	<IC_CLW>Garra de gato
MSG_WEAPON_NAME_30	<IC_SRD>Espada de mitrilo
MSG_WEAPON_NAME_31	<IC_SRD>Espada vorpal
MSG_WEAPON_NAME_32	<IC_AX>Hacha de mitrilo
MSG_WEAPON_NAME_33	<IC_SRD>Espada ígnea
MSG_WEAPON_NAME_34	<IC_AX>Hacha ligera
MSG_WEAPON_NAME_35	<IC_SRD>Sable gélido
MSG_WEAPON_NAME_36	<IC_SRD>Defensora
MSG_WEAPON_NAME_37	<IC_SRD>Acero solar
MSG_WEAPON_NAME_38	<IC_KTN>Acero de Sasuke
MSG_WEAPON_NAME_39	<IC_SRD>Excálibur
MSG_WEAPON_NAME_40	<IC_KTN>Masamune
MSG_WEAPON_INF_01	Cuchillo pequeño.
MSG_WEAPON_INF_02	Vara de madera.
MSG_WEAPON_INF_03	Vara que proporciona Sanación.
MSG_WEAPON_INF_04	Enorme cuchillo.
MSG_WEAPON_INF_05	Martillo para la batalla.
MSG_WEAPON_INF_06	Espada de hoja delgada.
MSG_WEAPON_INF_07	Espada de hoja curva.
MSG_WEAPON_INF_08	Cuchillo de metal precioso.
MSG_WEAPON_INF_09	Nunchaku de madera.
MSG_WEAPON_INF_10	Vara con poder ofensivo.
MSG_WEAPON_INF_11	Martillo forjado con metal precioso.
MSG_WEAPON_INF_12	Vara con las propiedades de Piro+.
MSG_WEAPON_INF_13	Largo sable hecho para perforar.
MSG_WEAPON_INF_14	Vara con un anillo férreo en la punta.
MSG_WEAPON_INF_15	Espada que se va ensanchando hacia la punta.
MSG_WEAPON_INF_16	Espada de hoja ancha y de doble filo.
MSG_WEAPON_INF_17	Vara que provoca Confu.
MSG_WEAPON_INF_18	Nunchaku de hierro.
MSG_WEAPON_INF_19	Hacha para la batalla.
MSG_WEAPON_INF_20	Espada eficaz contra hechizos.
MSG_WEAPON_INF_21	Espada eficaz contra bestias.
MSG_WEAPON_INF_22	Martillo que lanza Electro+.
MSG_WEAPON_INF_23	Espada eficaz contra dragones.
MSG_WEAPON_INF_24	Espada eficaz contra enemigos de agua.
MSG_WEAPON_INF_25	Espada larga de doble filo.
MSG_WEAPON_INF_26	Espada eficaz contra gigantes.
MSG_WEAPON_INF_27	Enorme hacha de combate.
MSG_WEAPON_INF_28	Sable que provoca Morbis.
MSG_WEAPON_INF_29	Arma de hoja muy afilada.
MSG_WEAPON_INF_30	Espada forjada con metal precioso.
MSG_WEAPON_INF_31	Hoja curva muy afilada.
MSG_WEAPON_INF_32	Hacha forjada con metal precioso.
MSG_WEAPON_INF_33	Espada que alberga el poder del Fuego.
MSG_WEAPON_INF_34	Hacha que lanza Día+, eficaz contra redivivos.
MSG_WEAPON_INF_35	Espada que alberga el poder del Frío.
MSG_WEAPON_INF_36	Espada que produce reflejos.
MSG_WEAPON_INF_37	Espada eficaz contra muertos vivientes.
MSG_WEAPON_INF_38	Katana pequeña usada por ninjas.
MSG_WEAPON_INF_39	Espada forjada con un metal legendario que alberga poder elemental y es eficaz contra cualquier rival.
MSG_WEAPON_INF_40	Legendaria e inigualable katana.
MSG_ARMOR_NAME_01	<IC_CLTH>Ropa
MSG_ARMOR_NAME_02	<IC_ARMOR>Coraza de cuero
MSG_ARMOR_NAME_03	<IC_RING>Placa de cobre
MSG_ARMOR_NAME_04	<IC_ARMOR>Cota de malla
MSG_ARMOR_NAME_05	<IC_RING>Aro de plata
MSG_ARMOR_NAME_06	<IC_ARMOR>Malla de mitrilo
MSG_ARMOR_NAME_07	<IC_ARMOR>Coraza de hierro
MSG_ARMOR_NAME_08	<IC_CLTH>Túnica blanca
MSG_ARMOR_NAME_09	<IC_CLTH>Túnica negra
MSG_ARMOR_NAME_10	<IC_RING>Aro de rubí
MSG_ARMOR_NAME_11	<IC_ARMOR>Arnés de guerra
MSG_ARMOR_NAME_12	<IC_ARMOR>Armadura ígnea
MSG_ARMOR_NAME_13	<IC_ARMOR>Armadura gélida
MSG_ARMOR_NAME_14	<IC_RING>Aro de diamante
MSG_ARMOR_NAME_15	<IC_ARMOR>Coraza diamantina
MSG_ARMOR_NAME_16	<IC_ARMOR>Malla dragontina
MSG_ARMOR_NAME_17	<IC_SHIELD>Escudo de piel
MSG_ARMOR_NAME_18	<IC_SHIELD>Rodela
MSG_ARMOR_NAME_19	<IC_SHIELD>Escudo férreo
MSG_ARMOR_NAME_20	<IC_SHIELD>Capa protectora
MSG_ARMOR_NAME_21	<IC_SHIELD>Pelta de mitrilo
MSG_ARMOR_NAME_22	<IC_SHIELD>Escudo ígneo
MSG_ARMOR_NAME_23	<IC_SHIELD>Escudo gélido
MSG_ARMOR_NAME_24	<IC_SHIELD>Pelta diamantina
MSG_ARMOR_NAME_25	<IC_SHIELD>Escudo Aegis
MSG_ARMOR_NAME_26	<IC_GLOV>Guantes de piel
MSG_ARMOR_NAME_27	<IC_GLOV>Guantes de bronce
MSG_ARMOR_NAME_28	<IC_GLOV>Guantes de acero
MSG_ARMOR_NAME_29	<IC_GLOV>Guantes de mitrilo
MSG_ARMOR_NAME_30	<IC_GLOV>Guanteletes
MSG_ARMOR_NAME_31	<IC_GLOV>Guantes gigantes
MSG_ARMOR_NAME_32	<IC_GLOV>Guantes diamantinos
MSG_ARMOR_NAME_33	<IC_GLOV>Anillo protector
MSG_ARMOR_NAME_34	<IC_HEAD>Gorra de cuero
MSG_ARMOR_NAME_35	<IC_HEAD>Cinta
MSG_ARMOR_NAME_36	<IC_HEAD>Yelmo
MSG_ARMOR_NAME_37	<IC_HEAD>Gran yelmo
MSG_ARMOR_NAME_38	<IC_HEAD>Yelmo de mitrilo
MSG_ARMOR_NAME_39	<IC_HEAD>Yelmo sanador
MSG_ARMOR_NAME_40	<IC_HEAD>Yelmo diamantino
MSG_ARMOR_INF_01	Ropa común y corriente.
MSG_ARMOR_INF_02	Armadura de cuero reforzado.
MSG_ARMOR_INF_03	Manilla forjada con cobre.
MSG_ARMOR_INF_04	Coraza de cadenas entretejidas.
MSG_ARMOR_INF_05	Manilla forjada con plata.
MSG_ARMOR_INF_06	Armadura forjada con mitrilo.
MSG_ARMOR_INF_07	Armadura de cuero reforzado.
MSG_ARMOR_INF_08	Túnica que permite lanzar Invis+ y protege contra Fuego y la muerte instantánea.
MSG_ARMOR_INF_09	Túnica que permite lanzar Hielo+ y protege contra Frío y Tiempo.
MSG_ARMOR_INF_10	Manilla adornada con rubíes.
MSG_ARMOR_INF_11	Armadura forjada con láminas de acero.
MSG_ARMOR_INF_12	Coraza impregnada del poder del Fuego que protege contra Frío.
MSG_ARMOR_INF_13	Armadura impregnada del poder del Frío que protege contra Fuego.
MSG_ARMOR_INF_14	Manilla adornada con diamantes.
MSG_ARMOR_INF_15	Armadura forjada con diamantes que protege contra el Rayo.
MSG_ARMOR_INF_16	Coraza hecha de escamas de dragón que protege contra Fuego, Frío y Rayo.
MSG_ARMOR_INF_17	Escudo de cuero reforzado.
MSG_ARMOR_INF_18	Escudo pequeño.
MSG_ARMOR_INF_19	Escudo forjado con hierro.
MSG_ARMOR_INF_20	Capa grande para usar sobre la armadura.
MSG_ARMOR_INF_21	Escudo forjado con mitrilo.
MSG_ARMOR_INF_22	Escudo que alberga el poder del Fuego y protege contra Frío.
MSG_ARMOR_INF_23	Escudo que alberga el poder del Frío y protege contra Fuego.
MSG_ARMOR_INF_24	Escudo de diamante que protege contra Rayo.
MSG_ARMOR_INF_25	Escudo que protege de los estados Piedra y Veneno.
MSG_ARMOR_INF_26	Par de guantes de cuero.
MSG_ARMOR_INF_27	Par de guantes de bronce.
MSG_ARMOR_INF_28	Par de guantes de acero.
MSG_ARMOR_INF_29	Par de guantes de mitrilo.
MSG_ARMOR_INF_30	Par de guantes que lanzan Electro+.
MSG_ARMOR_INF_31	Par de guantes que lanzan Refuerzo.
MSG_ARMOR_INF_32	Par de guantes de diamante.
MSG_ARMOR_INF_33	Anillo que protege de la muerte instantánea.
MSG_ARMOR_INF_34	Gorra de cuero.
MSG_ARMOR_INF_35	Complemento que protege de ataques elementales y estados alterados.
MSG_ARMOR_INF_36	Yelmo pequeño.
MSG_ARMOR_INF_37	Yelmo que cubre toda la cabeza.
MSG_ARMOR_INF_38	Yelmo forjado con mitrilo.
MSG_ARMOR_INF_39	Yelmo que proporciona Sanación.
MSG_ARMOR_INF_40	Yelmo de diamante.
MSG_KEY_NAME_01	<IC_IOBJ>Laúd
MSG_KEY_NAME_02	<IC_IOBJ>Corona
MSG_KEY_NAME_03	<IC_IOBJ>Ojo de cristal
MSG_KEY_NAME_04	<IC_IOBJ>Brebaje tónico
MSG_KEY_NAME_05	<IC_IOBJ>Llave mística
MSG_KEY_NAME_06	<IC_IOBJ>Nitropolvo
MSG_KEY_NAME_07	<IC_IOBJ>Adamantita
MSG_KEY_NAME_08	<IC_IOBJ>Piedra Roseta
MSG_KEY_NAME_09	<IC_IOBJ>Rubí estrella
MSG_KEY_NAME_10	<IC_IOBJ>Vara terrestre
MSG_KEY_NAME_11	<IC_IOBJ>Levicita
MSG_KEY_NAME_12	<IC_IOBJ>Campana
MSG_KEY_NAME_13	<IC_IOBJ>Cola de rata
MSG_KEY_NAME_14	<IC_IOBJ>Telecubo
MSG_KEY_NAME_15	<IC_IOBJ>Hada embotellada
MSG_KEY_NAME_16	<IC_IOBJ>Oxilíquido
MSG_KEY_NAME_17	<IC_IOBJ>Canoa
MSG_KEY_INF_01	Instrumento sonoro de gran belleza.
MSG_KEY_INF_02	Corona que brilla misteriosamente.
MSG_KEY_INF_03	Transparente esfera de cristal.
MSG_KEY_INF_04	Suero que combate el sueño más profundo.
MSG_KEY_INF_05	Llave que abre las puertas cerradas con hechizos.
MSG_KEY_INF_06	Polvo de alto poder explosivo.
MSG_KEY_INF_07	Metal legendario conocido por su resistencia.
MSG_KEY_INF_08	Placa con escrituras antiguas.
MSG_KEY_INF_09	Enorme piedra preciosa roja.
MSG_KEY_INF_10	Vara donde mora el poder de la naturaleza.
MSG_KEY_INF_11	Roca misteriosa que flota en el aire.
MSG_KEY_INF_12	Dulce campana de origen lufenio.
MSG_KEY_INF_13	Prueba de valor y fortaleza.
MSG_KEY_INF_14	Cubo de una sustancia multicolor.
MSG_KEY_INF_15	Botella con un hada dentro.
MSG_KEY_INF_16	Líquido extraño que genera aire.
MSG_KEY_INF_17	Pequeño bote para navegar lagos y ríos.
MSG_MON_NAME_01	Duende
MSG_MON_NAME_02	Duende guardia
MSG_MON_NAME_03	Lobo
MSG_MON_NAME_04	Huargo
MSG_MON_NAME_05	Hombre lobo
MSG_MON_NAME_06	Lobo invernal
MSG_MON_NAME_07	Lagarto
MSG_MON_NAME_08	Lagarto ígneo
MSG_MON_NAME_09	Basilisco
MSG_MON_NAME_10	Gigas
MSG_MON_NAME_11	Gigas de hielo
MSG_MON_NAME_12	Gigas de fuego
MSG_MON_NAME_13	Gurami
MSG_MON_NAME_14	Jefe gurami
MSG_MON_NAME_15	Príncipe gurami
MSG_MON_NAME_16	Pirata
MSG_MON_NAME_17	Bucanero
MSG_MON_NAME_18	Tiburón
MSG_MON_NAME_19	Tiburón blanco
MSG_MON_NAME_20	Ojos grandes
MSG_MON_NAME_21	Mirada profunda
MSG_MON_NAME_22	Esqueleto
MSG_MON_NAME_23	Esqueleto rojo
MSG_MON_NAME_24	Gusano gigas
MSG_MON_NAME_25	Oruga
MSG_MON_NAME_26	Hienadón
MSG_MON_NAME_27	Can infernal
MSG_MON_NAME_28	Ogro
MSG_MON_NAME_29	Ogro jefe
MSG_MON_NAME_30	Ogro mago
MSG_MON_NAME_31	Cobra
MSG_MON_NAME_32	Anaconda
MSG_MON_NAME_33	Víbora de mar
MSG_MON_NAME_34	Scorpio
MSG_MON_NAME_35	Scorpio de mar
MSG_MON_NAME_36	Minotauro
MSG_MON_NAME_37	Minotauro zombi
MSG_MON_NAME_38	Troll
MSG_MON_NAME_39	Troll de mar
MSG_MON_NAME_40	Sombra
MSG_MON_NAME_41	Caronte
MSG_MON_NAME_42	Espectro
MSG_MON_NAME_43	Fantasma
MSG_MON_NAME_44	Zombi
MSG_MON_NAME_45	Necrófago
MSG_MON_NAME_46	Espanto
MSG_MON_NAME_47	Etemmu
MSG_MON_NAME_48	Gusano morado
MSG_MON_NAME_49	Gusano de arena
MSG_MON_NAME_50	Gusano de lava
MSG_MON_NAME_51	Ojo maldito
MSG_MON_NAME_52	Ojo letal
MSG_MON_NAME_53	Medusa
MSG_MON_NAME_54	Medusa gaia
MSG_MON_NAME_55	Hombre tigre
MSG_MON_NAME_56	Rakshasa
MSG_MON_NAME_57	Ankek
MSG_MON_NAME_58	Remoraz
MSG_MON_NAME_59	Tigre menor
MSG_MON_NAME_60	Gran tigre
MSG_MON_NAME_61	Vampiro
MSG_MON_NAME_62	Señor vampiro
MSG_MON_NAME_63	Gárgola
MSG_MON_NAME_64	Cuerno maldito
MSG_MON_NAME_65	Elemental de tierra
MSG_MON_NAME_66	Elemental de fuego
MSG_MON_NAME_67	Dragón blanco
MSG_MON_NAME_68	Dragón rojo
MSG_MON_NAME_69	Dragón zombi
MSG_MON_NAME_70	Mucus verde
MSG_MON_NAME_71	Lodo gris
MSG_MON_NAME_72	Jalea ocre
MSG_MON_NAME_73	Flan oscuro
MSG_MON_NAME_74	Viuda negra
MSG_MON_NAME_75	Tarántula
MSG_MON_NAME_76	Mantícora
MSG_MON_NAME_77	Esfinge
MSG_MON_NAME_78	Boroto
MSG_MON_NAME_79	Boroto de arena
MSG_MON_NAME_80	Momia
MSG_MON_NAME_81	Gran momia
MSG_MON_NAME_82	Cocatriz
MSG_MON_NAME_83	Pirolisco
MSG_MON_NAME_84	Drago
MSG_MON_NAME_85	Dracus
MSG_MON_NAME_86	Alosaurio
MSG_MON_NAME_87	Tiranosaurio
MSG_MON_NAME_88	Piraña
MSG_MON_NAME_89	Piraña roja
MSG_MON_NAME_90	Cocodrilo
MSG_MON_NAME_91	Cocodrilo albo
MSG_MON_NAME_92	Ochú
MSG_MON_NAME_93	Neochú
MSG_MON_NAME_94	Hidra
MSG_MON_NAME_95	Hidra ígnea
MSG_MON_NAME_96	Guardián
MSG_MON_NAME_97	Soldado
MSG_MON_NAME_98	Elemental de agua
MSG_MON_NAME_99	Elemental de aire
MSG_MON_NAME_100	Naga acuoso
MSG_MON_NAME_101	Espíritu de naga
MSG_MON_NAME_102	Quimera
MSG_MON_NAME_103	Ryos
MSG_MON_NAME_104	Psicodemonio
MSG_MON_NAME_105	Rompementes
MSG_MON_NAME_106	Garland
MSG_MON_NAME_107	Dragón verde
MSG_MON_NAME_108	Dragón azul
MSG_MON_NAME_109	Gólem de arcilla
MSG_MON_NAME_110	Gólem pétreo
MSG_MON_NAME_111	Gólem férreo
MSG_MON_NAME_112	Caballero negro
MSG_MON_NAME_113	Caballero letal
MSG_MON_NAME_114	Astos
MSG_MON_NAME_115	Druida oscuro
MSG_MON_NAME_116	Luchador oscuro
MSG_MON_NAME_117	Caballo loco
MSG_MON_NAME_118	Pesadilla
