SPEAKER_01	???
MSG_KON_INN_08	Zum Henker mit diesen Viechern. Wer weiß aus welchem Loch diese Biester überhaupt gekrochen sind ...?<P>\nNun ja, die Monster werden in Rassen unterteilt. Jede Rasse hat Schwächen und Stärken. Es ist also sinnvoll, wenn ihr im Kampf versucht, die Schwächen eines Monsters auszubaldowern.<P>\nMonster, die sich in Wassernähe aufhalten, mögen zum Beispiel keine Elektrizität. Ebenso gibt es Waffen, die gegen bestimmte Monsterrassen besonders effektiv sind.
MSG_KON_CAS_01	Ich flehe Euch an, bringt mir meine Tochter wieder. Bitte rettet Prinzessin Sela!
MSG_KON_CAS_02	Oh, wie kann ich Euch nur jemals danken? Der König und ich stehen tief in Eurer Schuld.
MSG_KON_CAS_03	Ich will meine Schwester wiederhaben ...
MSG_KON_CAS_04	Juhu, ihr habt mir meine Schwester zurückgebracht! Gehen wir spielen?
MSG_KON_CAS_05	Seine Majestät ist verzweifelt auf der Suche nach den legendären Kämpfern des Lichtes.<P>\nHaltet ein! Sind das etwa die Kristalle, die in Euren Händen leuchten?!
MSG_KON_CAS_06	Ich bin Ritter der Königlichen Leibgarde! Ich trage viel Verantwortung.<P>\nZu viel, würde ich meinen ...
MSG_KON_CAS_07	Alle sind zutiefst bestürzt über die tragischen Geschehnisse und machen sich Sorgen um Prinzessin Sela.
MSG_KON_CAS_08	Kämpfer des Lichtes! Nie zweifelte ich an Eurem Erfolg!
MSG_KON_CAS_09	Der König ist in tiefer Trauer ... Bitte rettet die Prinzessin!
MSG_KON_CAS_10	Ihr seid die ... Kämpfer des Lichtes? Die aus Meister Lukans Prophezeiung?
MSG_KON_CAS_11	Garland war einst der stärkste Ritter unseres Königreiches.<P>\nDoch er gierte nach Macht und verlor sich selbst aus den Augen.
MSG_KON_CAS_12	Seit Generationen wird die Laute in der königlichen Familie weitergereicht.<P>\nIhr magischer Klang soll die Tür des Bösen zerstören können.
MSG_KON_CAS_13	Unsere weisen Vorfahren versteckten vor vierhundert Jahren kostbare Gegenstände in diesen Schatzkammern und versiegelten ihre Türen.<P>Es sollen die Elfen gewesen sein, die sich des Schlüssels annahmen ...
MSG_KON_CAS_14	Die Türen zu den Schatzkammern sind versiegelt und können nur mit dem Zauberschlüssel geöffnet werden.
MSG_KON_CAS_16	Der Zeitpunkt ist gekommen. Öffnet mit Eurem Schlüssel die Türen zu den Schatzkammern!<P>\nDie vielen Gegenstände werden Euch von Nutzen sein.
MSG_KON_CAS_17	Wie lange schon habe ich auf euch gewartet, Kämpfer des Lichtes.<P>\nGarland ist vor lauter Machtgier vom Wahnsinn befallen.<P>\nIch fürchte um das Leben meiner geliebten Tochter. Ich bitte euch als Vater. Befreit sie aus Garlands Händen, bevor es zu spät ist.
MSG_KON_CAS_18	In Gedanken ist Sela stets bei euch.
MSG_KON_CAS_20	Ich wünschte, Ihr könntet länger hier verweil...<P>\nAber nein, Ihr müsst aufbrechen ... Der Glanz der Kristalle muss wiederhergestellt werden.
MSG_KON_CAS_23	Unsere Späher sichteten Garland im Chaos-Tempel, nördlich von Cornelia.
MSG_KON_CAS_25	Die Tänzerin aus der Stadt hat ein gutes Gespür für wichtige Informationen.<P>\nSie wird Euch zur Seite stehen, solltet Ihr Anhaltspunkte benötigen.
MSG_KON_CAS_26	Schwarzpulver erhalten!
MSG_EKKEN_01	Seine Majestät ist verzweifelt auf der Suche nach den legendären Kämpfern des Lichtes. Haltet ein!<P>\nSind das Kristalle in Euren Händen?! Bitte folgt mir zum König!
MSG_EKKEN_02	Reisende, ist es wahr, dass ihr die Kristalle euer eigen nennt?
MSG_EKKEN_03	Die Prophezeiung Lukans ...<P>\n»Vier Kämpfer mit vier Kristallen werden erscheinen, wenn die Welt von dichter Dunkelheit überschattet ist.«
MSG_EKKEN_04	Majestät, ich würde nichts überstürzen! Wir haben keine Gewissheit, ob es sich tatsächlich um die vier Kämpfer aus der Prophezeiung handelt.
MSG_EKKEN_05	Doch wie könnte ich diesen Wink des Schicksals ignorieren? Just in diesem Augenblick stehen vier Kämpfer vor meinen Augen. Ihre Kristalle sind mir Beweis genug. <P>\nKämpfer des Lichtes, ich flehe euch an. Meine Tochter, Prinzessin Sela, ist entführt worden ...
MSG_EKKEN_06	Garland, einst Ordensritter unseres Königreiches, entführte Ihre Majestät und streckt seine gierigen Hände nach dem Thron aus. Er hält sich im nördlichen Chaos-Tempel versteckt.<P>\nUnsere Bemühungen, Prinzessin Sela zu befreien, scheiterten kläglich.<P>\nKeiner unserer Ritter kann sich mit Garland messen.
MSG_EKKEN_07	Mir kam zu Ohren, dass euch eure Reise in den Norden führt ...<P>\nDie Brücke zum nördlichen Kontinent ist seit langem eingefallen.<P>\nSollte es euch gelingen, Sela zurückzubringen, werde ich den Bau einer neuen Brücke anordnen.<P>\nMögen euch eure Kristalle schützen.
MSG_HELPSERA_04	Nie habe ich an eurem Mut und an eurer Tatkraft gezweifelt. Ich und mein gesamtes Königreich sind euch zu Dank verpflichtet. Nun besteht kein Zweifel mehr, dass ihr die Kämpfer des Lichtes aus Lukans Prophezeiung seid.<P>\n»Vier Kämpfer mit vier Kristallen werden erscheinen, wenn die Welt von dichter Dunkelheit überschattet ist. Sie werden das Licht der Kristalle wieder entfachen, um die Welt vor dem Unheil zu retten.«<P>\nAuf dem nördlichen Kontinent gibt es einen Kristall, dessen Glanz erloschen ist, so sagt man. Stellt den Glanz des Kristalls wieder her. Es ist die einzige Möglichkeit, das Böse auf ewig zu verbannen!
MSG_HELPSERA_05	Wie versprochen ist der Bau der neuen Brücke bereits angeordnet. Geht nun und erfüllt diese Welt wieder mit Licht, meine tapferen Kämpfer.
MSG_LUTE_01	Bitte geht noch nicht!
MSG_LUTE_02	Diese Laute ist seit Generationen im Besitz der königlichen Familie. <P>\nGarland hat sie bei meiner Entführung entwendet ... Sie soll Euch gehören.
MSG_LUTE_03	Laute erhalten!
MSG_CHS_01	Iiih ... iiih ...
MSG_CHS_02	Das durch die böse Kraft der vier Chaosse eingedämmte Leuchten der Kristalle wurde von jemanden kanalisiert und über diesen Dunkelkristall in die Vergangenheit geschickt.<P>\nWir alle mussten zusehen, wie das gutmütige Leuchten in ein hässliches boshaftes Licht verzerrt wurde, sobald es in die Nähe dieses Dunkelkristalls kam.<P>\nDie Wurzel alles Bösen wird vermutlich hinter diesem Kristall zu finden sein.
MSG_CHS_03	Der Dunkelkristall, vollgesogen mit Boshaftigkeit und Hass, funkelt matt im schummrigen Licht. Die Luft ist erdrückend und etwas scheint hier nicht zu stimmen ...
MSG_CHS_04	Die Tür ist verschlossen.
MSG_CHS_06	Was sehen meine Augen da? Ist das Leuchten in euren Händen nicht das Licht, nach dem wir auch vergeblich gesucht haben?<P>\nVereint eure Kristalle, und sie werden hell erstrahlen, um das Tor der Zeit zu öffnen.<P>\nDie Reise wird euch 2000 Jahre in die Vergangenheit führen.
MSG_CHS_08	Hüllt den Dunkelkristall in den hellen Schein eurer vier Kristalle! Das Tor in die Vergangenheit wird sich öffnen und ihr gelangt in eine Zeit, in der der Chaos-Tempel noch nicht zu einer Ruine verfallen war.
MSG_CHS_10	Wir sind Himmelmenschen.<P>\nUnsere Mission war es, die Quelle des Unheils zu ergründen, um die Welt vor dem Untergang zu retten.<P>\nWir fanden hierher ... Schon vor vierhundert Jahren ...
MSG_CHS_12	Die Chaosse haben uns in Fledermäuse verwandelt. Selbst die Sprache hatten sie uns genommen, doch nun, dank dem Segen eurer Kristalle, haben wir zumindest unsere Stimme wiedergefunden.
MSG_CHS_14	Die Tür ist mit einem Zauber versiegelt. Nur ein Zauberschlüssel kann sie öffnen.
MSG_FUSION_01	Feuer, Erde, Wasser, Wind und Dunkelheit. Alle existierenden Elemente sind wieder vereint.<P>\nDer Strom der Zeit verzerrt sich. Die Schranken unzähliger Dimensionen schwinden ...<P>\nKommt nach vorn, edle Reisende, und tretet ein in eine längst vergangene Zeit. Tretet ein in die Welt von vor 2000 Jahren ...
MSG_HELPSERA_01	Endlich ist meine Zeit gekommen. Wenn dem König etwas an dem Leben der Prinzessin liegt, wird er mir Cornelia mit all seinen Reichtümern überlassen müssen!
MSG_HELPSERA_02	Wer seid ihr?! Was wollt ihr hier?<P>\nAh, ich verstehe ... Ihr seid Handlanger des Königs ... Ich hoffe, ihr wisst, mit wem ihr euch anzulegen gedenkt.<P>\nAber genug der langweiligen Worte. Mein Schwert soll an meiner statt sprechen!
MSG_HELPSERA_03	Was ist nur passiert? Seid Ihr meine treuen Retter?<P>\nIch bin Sela, Prinzessin von Cornelia. Bitte begleitet mich zum Schloss.<P>\nMein Vater wird Euch danken und sich erkenntlich zeigen.
MSG_LAST_01	Erinnert ihr euch an mich? An den größten Ritter aller Zeiten? Ich bin es, Garland!
MSG_LAST_02	In einer fernen Zukunft ist es euch gelungen, mich zu überrumpeln. Doch 2000 Jahre sollen noch ins Land ziehen, bis es so weit ist.
MSG_LAST_03	Unser letzter Kampf ging zu euren Gunsten aus und ich sah mein Leben verwirkt.<P>\nDoch vier mysteriöse Kräfte retteten mich, und ich unternahm eine Zeitreise.
MSG_LAST_04	Und als ich ankam an diesem Ort, den nun auch ihr betreten habt, schickte ich die vier Chaosse in die Zukunft.
MSG_LAST_05	Ich bediente mich der vier mysteriösen Kräfte, die mir schon einmal halfen und holte mein sterbendes Ich zurück in die Vergangenheit.
MSG_LAST_06	2000 Jahre später werde ich all meine Erinnerungen verloren haben.
MSG_LAST_07	Doch der Strudel der Zeit, die nie endenden Zeitspirale, wird es mir ermöglichen, mich in der Zukunft wieder vor dem Untergang zu bewahren.<P>\nIhr werdet in dieser Vergangenheit für immer sterben. Und ich für immer leben.<P>\nIn dem von mir geschaffenen Zeitstrom der Unendlichkeit!
MSG_BRIDGE_01	Männer! Befehl seiner Majestät, des Königs. Die Prophezeiung Lukans hat sich erfüllt. Sputet euch!
MSG_BRIDGE_02	Was hat eigentlich der Bau der Brücke mit der Prophezeiung zu tun?
MSG_BRIDGE_03	Sie sind hier in Cornelia ... Die vier Kämpfer des Lichtes! Und ihr Weg führt sie nach Norden.
MSG_PRL_01	Und so beginnt die Reise der vier Gefährten,\ndie als Kämpfer des Lichtes aufbrechen,\num das Unheil abzuwenden.\n\nVon der Schwere ihrer Bürde beinahe erdrückt,\nnicht einmal wissend, welche Bedeutung\ntatsächlich hinter ihren Kristallen steckt,\nschreiten sie dennoch zielstrebig und\nunerschrocken voran.\n\nEin helles und strahlendes Licht soll vor langer Zeit\nvon den Kristallen ausgegangen sein.\n\nMöge dieses Licht wieder erscheinen\nund das Dunkel vertreiben, das diese Welt umhüllt ...
MSG_SHIP_01	WAS?! Ihr wollt euch mit Käpt’n Vik anlegen, ihr elenden Landratten?! Macht sie fertig, Männer!
MSG_SHIP_02	Aye, aye, Käpt’n! Die verarbeiten wir zu Haifischfutter!
MSG_SHIP_03	Bei meinem Glasauge, ich hab genug von der Freibeuterei.<P>\nStändig gibt’s nur Ärger. Ab heute werd ich zu ’nem ehrlichen Bürger.<P>\nGlaubt mir! Nehmt mein Schiff und macht damit, was ihr wollt.
MSG_SHIP_04	Schiff erhalten!
MSG_PBK_01	Hilfe! Wir werden tyrannisiert!
MSG_PBK_02	Der Seegang von Aldhyn ist rau und gefährlich. Gebt acht, dass ihr nicht von Ungeheuern und Monstern heimgesucht werdet.
MSG_PBK_03	Dieses verdammte Piratenpack! Sie nehmen uns unser Hab und Gut und verwüsten die ganze Stadt.
MSG_PBK_04	Einen Hafen gibt es im Norden meines Wissens nicht. Und ich weiß, dass Schiffe nur in Häfen anlegen können.
MSG_PBK_05	Glaubt mir, ich werde zu einem rechtschaffenen Bürger. Ich werde einer ehrlichen Arbeit nachgehen und\nirgendwann eine Familie gründen ...<P>\nGroßes Piraten-Ehrenw... äh, ich wollte sagen, ich verspreche es ...
MSG_PBK_06	Dank euch müssen wir uns nicht mehr vor den Piraten fürchten.<P>\nWir stehen tief in eurer Schuld.
MSG_PBK_07	Jenseits des Meeres wohnen die Elfen. Aber der Elfenprinz soll schon seit langer Zeit in einen tiefen Schlaf verfallen sein.
MSG_PBK_08	Ich komme aus dem Westen. Aus der Stadt Melmond. Nur mit Mühe konnte ich hierher fliehen ...<P>\nMelmond ist in einem grauenvollen Zustand! Die Erde modert vor sich hin und Monster plündern unsere Häuser. Womit haben wir das nur verdient?
MSG_PBK_09	Wer hat euch erlaubt, mich anzusprechen?! Verschwindet, wenn ihr wisst, was gut für euch ist!
MSG_ELF_CAS_01	Unser Prinz ist von Astos verflucht worden und in einen tiefen Schlaf gefallen.<P>\nWir bitten Euch innigst, Seiner Majestät zu helfen.
MSG_ELF_CAS_02	In einer Höhle westlich von hier soll ein böser Dämon hausen.<P>\nDas Faulen der Erde ist offenbar ihm zuzuschreiben.
MSG_ELF_CAS_04	Der Schlüssel befindet sich in der Obhut der Elfen. So lange, bis wir ihn eines Tages den Kämpfern des Lichtes anvertrauen können ...
MSG_ELF_CAS_05	Es soll eine Hexe geben, die einem jeden Trank zusammenbraut.<P>\nWie war noch ihr Name? Matoya?
MSG_ELF_CAS_06	Ist das der Wecktrunk, der unseren Elfenprinzen aus seinem tiefen Schlaf erwachen lässt?!
MSG_ELF_CAS_07	Der König der Dunkelelfen, Astos, fiel einst mit seinen Mannen über dieses Schloss her.<P>\nEr legte einen bösen Fluch über unseren Prinzen und stahl des Schlosses Schatz.
MSG_ELF_CAS_08	Unser Prinz ist erwacht. Habt tausend Dank!
MSG_ELF_CAS_09	Das Meer von Aldhyn ... Im Westen, wo das Meer endet und in Land übergeht, dort leben in einer Höhle die Zwerge. Oft etwas mürrisch, aber sie sind ein liebenswerter Haufen.
MSG_ELF_CAS_10	Diese königliche Schatzkammer ist mit dem Zauberschlüssel versiegelt.
MSG_ELF_CAS_11	Fünf lange Jahre ist es nun her, dass Astos dieses Schloss überfiel und unseren Prinzen verfluchte.<P>\nSämtliche Tränke habe ich Seiner Majestät bereits verabreicht. Doch ich bin mit meiner Elfenweisheit am Ende ...
MSG_ELF_CAS_12	Ich kann meinen Dank nicht oft genug aussprechen. Wir stehen tief in Eurer Schuld.<P>\nNun wird endlich wieder Frieden und Harmonie in unser Reich einkehren.
MSG_ELF_CAS_13	Zzz ... zzz ...
MSG_ELF_CAS_14	Meine tapferen Krieger! Ihr habt den bösen Fluch gebannt und mich aus einem bösen Albtraum gerettet.<P>\nHabt Dank!
MSG_AWAKEELF_01	Der Wecktrunk!<P>\nDieses wundersame Gesöff wird den bösen Fluch aufheben und den Prinzen aus dem Schlaf holen.
MSG_AWAKEELF_02	Majestät ...? Majestät!
MSG_AWAKEELF_03	Mir ist ... als ... sei ich aus einem langen Albtraum wieder erwacht. Oder träume ich gar noch ...?
MSG_AWAKEELF_04	Wer ...? Kämpfer des Lichtes?! Dies kann unmöglich ein Traum sein!<P>\nWie es in der Legende geschrieben steht, sollt ihr nun den Zauberschlüssel erhalten, der so lange Zeit in der Obhut der Elfen war.
MSG_AWAKEELF_05	Zauberschlüssel erhalten!
MSG_ELF_CTY_01	O bitte, helft unserem Prinzen. Was sollen wir ohne ihn nur tun?
MSG_ELF_CTY_02	Der Prinz ist wieder erwacht! Dank Eurer Heldentat!
MSG_ELF_CTY_03	Wenn unser Prinz seine Augenlider nicht bald öffnet, wird es keinen Elfenkönig geben, und die bösen Mächte des Dunkelelfen werden das Elfenreich überschatten.
MSG_ELF_CTY_04	Ich hörte einst von einem fliegenden Schiff, das die Lüfte beherrschen soll. Es soll irgendwo vergraben sein.
MSG_ELF_CTY_05	Der König der Dunkelelfen, Astos ... Niemand weiß, wo er sich aufhält.
MSG_ELF_CTY_07	Ich reiste einst alleine gen Westen. Dort verlief ich mich und stieß auf eine alte Schlossruine ...<P>\nInnerhalb der verwahrlosten Gemäuer war niemand anzutreffen. Ich hatte solche Angst und bin fortgerannt.
MSG_ELF_CTY_08	Es ist Euer Verdienst, dass Astos nicht mehr ist! Nun kehrt endlich Frieden in das Elfenreich ein.
MSG_ELF_CTY_09	Oh, mein Prinz. Ihr wart zum Elfenkönig auserkoren. Wie konnte es nur so weit kommen?!
MSG_ELF_CTY_11	Waffen und Rüstungen aus Mithril sind schlagkräftig und sehr robust. Benutzt sie und Ihr werdet sehen, dass ich recht gehabt habe.
MSG_ELF_CTY_12	Ich bin ein Prophet. Zu gegebener Zeit werde ich meine Prophezeiungen aussprechen.<P>\nDoch bis dahin müsst Ihr Euch in Geduld üben, meine jungen Kämpfer der Kristalle.
MSG_ELF_CTY_13	Am Fuße eines halbmondförmigen Flusses, unter einem Meer aus Sand ... Dort haltet den Stein der Lüfte bereit.<P>\nDenn der Levitanith wird die Segel dessen hissen, was unter dem Sand verborgen liegt.
MSG_ELF_CTY_15	Über einem halbmondförmigen Fluss, nördlich eines hitzigen Berges ...<P>\nDort schläft der Stein der Lüfte, der Levitanith.
MSG_ELF_CTY_16	Hier ruht Link.
MSG_ELF_CTY_17	Ein Grabstein ...
MSG_WST_CAS_01	Astos, der König der Dunkelelfen, hat mich betrogen und mich all meiner Reichtümer beraubt. Seht doch ...<P>\nIch bin nur noch ein Schatten meiner selbst. Mein prunkenes Schloss zu einer Ruine verwahrlost ...<P>\nDoch ihr seht aus wie tapfere Krieger.<P>\nErfüllt mir meinen letzten Wunsch und bringt mir aus der südlichen Sumpfgrotte meine Krone wieder ...
MSG_WST_CAS_02	Iiih ... iiih ...
MSG_WST_CAS_03	Die Tür ist mit einem Zauber versiegelt. Nur ein Zauberschlüssel kann sie öffnen.
MSG_ASTOS_01	Hahahaha ...<P>\nIhr törichten Narren! Eure Torheit übertrifft meine Erwartungen bei weitem!<P>\nDenn ich bin Astos! König der Dunkelelfen!
MSG_ASTOS_02	Mit der Kraft der Krone, die ihr mir gebracht habt, und der Kraft des Kristallauges werde ich nun über alle Elfen herrschen! Ich werde sie alle unterjochen!
MSG_ASTOS_03	Ihr wollt mir die Krone nicht geben?! Dann hol ich sie mir eben!
MSG_ASTOS_04	Kristallauge erhalten!
MSG_PND_01	Iiih ... iiih ...
MSG_PND_02	Die Tür ist mit einem Zauber versiegelt. Nur ein Zauberschlüssel kann sie öffnen.
MSG_GET_CROWN_01	Krone erhalten!
MSG_AWAKEPOT_01	Oooh! Ist das mein Kristallauge?! Es gehört mir! Gebt es zurück!<P>\nHier, nehmt dies. Es ist ein besonders kostbarer Trunk. Aber gebt mir mein Kristallauge wieder!
MSG_AWAKEPOT_02	Oooh, ich kann wieder sehen. Endlich kann ich wieder sehen!
MSG_AWAKEPOT_03	Wecktrunk erhalten!
MSG_MATOYA_01	Au! Aua!
MSG_MATOYA_02	Meine Augen ... Ich kann nichts sehen!
MSG_MATOYA_03	Ohne mein Kristallauge bin ich doch völlig blind ...
MSG_MATOYA_04	Es muss mir gestohlen worden sein, beim Satanskraut! Aber von wem bloß?
MSG_MAT_02	Was ist? Verschwindet. Ich kann euch nicht mehr gebrauchen. Und besonders hübsch seid ihr übrigens auch nicht.
MSG_MAT_03	Snie-l Dnu Nehcerbba tkcürD! Und seht, was dahintersteckt.<P>\nEin Zauber der Erkenntnis, der den Horizont erweitert!
MSG_MAT_04	Tkcürdeg Etrak Eid Tetlah! Und seht, was dahintersteckt.<P>\nEin Zauber der Erkenntnis, der den Horizont erweitert!
MSG_DWF_CAV_01	Hmpf! Ich will verflucht sein, wenn ich aus dem legendären Metall Adamantite nicht ein ebenso legendäres Schwert schmieden kann!
MSG_DWF_CAV_02	Ich sehe Tapferkeit und Aufrichtigkeit in euren Augen leuchten. Das Schwert soll euch gehören ...
MSG_DWF_CAV_03	Stimmt es, dass sogar Erblindete mit dem Kristallauge ihr Augenlicht wiedererlangen?<P>\nHm, muss wohl stimmen. Schließlich soll der Dunkelelf Astos der Hexe Matoya ihr Kristallauge gestohlen haben.
