id,character_id,job_id,asset_type,asset_name,size_type,field_character_asset_id
95,8,11,1,bc_ff1_p011,1,11
96,8,12,1,bc_ff1_p012,1,12
97,9,1,1,bc_ff1_p001,2,1
98,9,2,1,bc_ff1_p002,2,2
99,9,3,1,bc_ff1_p003,2,3
100,9,4,1,bc_ff1_p004,2,4
101,9,7,1,bc_ff1_p007,1,5
102,9,8,1,bc_ff1_p008,1,6
103,9,9,1,bc_ff1_p009,1,7
104,9,10,1,bc_ff1_p010,1,8
105,9,5,1,bc_ff1_p005,2,9
106,9,6,1,bc_ff1_p006,3,10
107,9,11,1,bc_ff1_p011,1,11
108,9,12,1,bc_ff1_p012,1,12
109,10,1,1,bc_ff1_p001,2,1
110,10,2,1,bc_ff1_p002,2,2
111,10,3,1,bc_ff1_p003,2,3
112,10,4,1,bc_ff1_p004,2,4
113,10,7,1,bc_ff1_p007,1,5
114,10,8,1,bc_ff1_p008,1,6
115,10,9,1,bc_ff1_p009,1,7
116,10,10,1,bc_ff1_p010,1,8
117,10,5,1,bc_ff1_p005,2,9
118,10,6,1,bc_ff1_p006,3,10
119,10,11,1,bc_ff1_p011,1,11
120,10,12,1,bc_ff1_p012,1,12
121,11,1,1,bc_ff1_p001,2,1
122,11,2,1,bc_ff1_p002,2,2
123,11,3,1,bc_ff1_p003,2,3
124,11,4,1,bc_ff1_p004,2,4
125,11,7,1,bc_ff1_p007,1,5
126,11,8,1,bc_ff1_p008,1,6
127,11,9,1,bc_ff1_p009,1,7
128,11,10,1,bc_ff1_p010,1,8
129,11,5,1,bc_ff1_p005,2,9
130,11,6,1,bc_ff1_p006,3,10
131,11,11,1,bc_ff1_p011,1,11
132,11,12,1,bc_ff1_p012,1,12
133,12,1,1,bc_ff1_p001,2,1
134,12,2,1,bc_ff1_p002,2,2
135,12,3,1,bc_ff1_p003,2,3
136,12,4,1,bc_ff1_p004,2,4
137,12,7,1,bc_ff1_p007,1,5
138,12,8,1,bc_ff1_p008,1,6
139,12,9,1,bc_ff1_p009,1,7
140,12,10,1,bc_ff1_p010,1,8
141,12,5,1,bc_ff1_p005,2,9
142,12,6,1,bc_ff1_p006,3,10
143,12,11,1,bc_ff1_p011,1,11
144,12,12,1,bc_ff1_p012,1,12
