id,asset_name,shadow_type,shadow_name
100,mo_ff1_n048_c00,1,None
101,mo_ff1_n050_c00,1,None
102,mo_ff1_n049_c00,1,None
103,mo_ff1_v005_c00,0,None
104,mo_ff1_b001_c00,1,None
106,mo_ff1_b003_c00,0,None
107,mo_ff1_b003_c01,0,None
108,mo_ff1_b003_c02,0,None
109,mo_ff1_b003_c03,0,None
110,mo_ff1_b003_c04,0,None
111,mo_ff1_b003_c05,0,None
112,mo_ff1_b003_c06,0,None
113,mo_ff1_b003_c07,0,None
114,mo_ff1_b003_c08,0,None
115,mo_ff1_b004_c00,0,None
116,mo_ff1_b005_c00,0,None
117,mo_ff1_b006_c00,0,None
118,mo_ff1_b007_c00,0,None
119,mo_ff1_b008_c00,0,None
120,mo_ff1_b009_c00,0,None
121,mo_ff1_b010_c00,0,None
122,mo_ff1_b011_c00,0,None
123,mo_ff1_b012_c00,0,None
124,mo_ff1_b013_c00,0,None
125,mo_ff1_b014_c00,0,None
126,mo_ff1_b015_c00,0,None
127,mo_ff1_b016_c00,0,None
128,mo_ff1_b017_c00,0,None
129,mo_ff1_b017_c01,0,None
130,mo_ff1_b017_c02,0,None
131,mo_ff1_b017_c03,0,None
132,mo_ff1_b017_c04,0,None
133,mo_ff1_b017_c05,0,None
134,mo_ff1_b017_c06,0,None
135,mo_ff1_b017_c07,0,None
136,mo_ff1_b018_c00,0,None
137,mo_ff1_b018_c01,0,None
138,mo_ff1_b018_c02,0,None
139,mo_ff1_b018_c03,0,None
140,mo_ff1_b018_c04,0,None
141,mo_ff1_b018_c05,0,None
142,mo_ff1_b018_c06,0,None
143,mo_ff1_b018_c07,0,None
144,mo_ff1_b019_c00,0,None
146,mo_ff1_b021_c00,0,None
147,mo_ff1_b022_c00,0,None
148,mo_ff1_b022_c01,0,None
149,mo_ff1_b022_c02,0,None
150,mo_ff1_b022_c03,0,None
151,mo_ff1_b023_c00,0,None
152,mo_ff1_e101_c00,0,None
153,mo_ff1_e101_c00,0,None
154,mo_ff1_e003_c00,0,None
155,mo_ff1_e101_c00,0,None
156,mo_ff1_e101_c00,0,None
157,mo_ff1_e101_c00,0,None
158,mo_ff1_e101_c00,0,None
159,mo_ff1_e101_c00,0,None
160,mo_ff1_e101_c00,0,None
161,mo_ff1_e009_c00,0,None
162,ef_ff1_e_001,0,None
163,mo_ff1_b030_c00,0,None
164,mo_ff1_b031_c00,0,None
165,mo_ff1_b032_c00,0,None
166,mo_ff1_b033_c00,0,None
167,mo_ff1_b034_c00,0,None
168,mo_ff1_b035_c00,0,None
169,ef_ff1_e_001,0,None
170,ef_ff1_e_002,0,None
171,ef_ff1_e_003,0,None
172,ef_ff1_e_004,0,None
173,mo_ff1_e102_c00,0,None
174,mo_ff1_e111_c00,0,None
175,ef_ff1_e_006,0,None
176,ef_ff1_e_007,0,None
177,ef_ff1_e_008,0,None
178,ef_ff1_e_009,0,None
179,ef_ff1_e_010,0,None
180,ef_ff1_e_011,0,None
181,ef_ff1_e_012,0,None
182,ef_ff1_e_013,0,None
183,ef_ff1_e_014,0,None
184,ef_ff1_e_015,0,None
185,ef_ff1_e_016,0,None
186,ef_ff1_e_017,0,None
187,mo_ff4_n013_c01,0,None
188,ef_ff1_m_001,0,None
189,ef_ff1_m_002,0,None
190,ef_ff1_m_003,0,None
191,ef_ff1_m_004,0,None
192,ef_ff1_m_005,0,None
193,ef_ff1_m_006,0,None
194,mo_ff1_b036_c00,0,None
195,ef_ff1_m_007,0,None
196,mo_ff1_b037_c00,0,None
197,ef_ff1_e_018,0,None
198,mo_ff1_e112_c00,0,None
199,mo_ff1_v001_c00,0,None
200,ef_ff1_m_008,0,None
201,mo_ff1_p001_c00,1,None
202,mo_ff1_p002_c00,1,None
203,mo_ff1_p003_c00,1,None
204,mo_ff1_p004_c00,1,None
205,ef_ff1_m_009,0,None
206,ef_ff0_e_000,0,None
207,mo_ff1_e113_c00,0,None
