id,script_name
701,sc_sty_20041_1
702,sc_sty_20061_7
703,sc_sty_20091_2
704,sc_sty_20111_2
705,sc_sty_20131_3
706,sc_sty_20151_2
750,sc_chu_0001
751,sc_chu_0002
752,sc_chu_0003
753,sc_chu_0004
754,sc_chu_0005
755,sc_chu_0006
800,sc_itm_16
801,sc_itm_17
802,sc_itm_18
850,sc_tp_42
851,sc_dtp_47
