id,mes_id_name,mes_id_battle,mes_id_description,icon_id,type_id,type_value
64,MSG_WEAPON_NAME_04,None,MSG_WEAPON_INF_04,0,2,3
65,MSG_WEAPON_NAME_08,None,MSG_WEAPON_INF_08,0,2,4
67,MSG_WEAPON_NAME_29,None,MSG_WEAPON_INF_29,0,2,6
71,MSG_WEAPON_NAME_06,None,MSG_WEAPON_INF_06,0,2,10
72,MSG_WEAPON_NAME_13,None,MSG_WEAPON_INF_13,0,2,11
73,MSG_WEAPON_NAME_16,None,MSG_WEAPON_INF_16,0,2,12
74,MSG_WEAPON_NAME_21,None,MSG_WEAPON_INF_21,0,2,13
75,MSG_WEAPON_NAME_20,None,MSG_WEAPON_INF_20,0,2,14
76,MSG_WEAPON_NAME_23,None,MSG_WEAPON_INF_23,0,2,15
77,MSG_WEAPON_NAME_24,None,MSG_WEAPON_INF_24,0,2,16
78,MSG_WEAPON_NAME_25,None,MSG_WEAPON_INF_25,0,2,17
79,MSG_WEAPON_NAME_26,None,MSG_WEAPON_INF_26,0,2,18
80,MSG_WEAPON_NAME_28,None,MSG_WEAPON_INF_28,0,2,19
81,MSG_WEAPON_NAME_30,None,MSG_WEAPON_INF_30,0,2,20
82,MSG_WEAPON_NAME_31,None,MSG_WEAPON_INF_31,0,2,21
83,MSG_WEAPON_NAME_33,None,MSG_WEAPON_INF_33,0,2,22
86,MSG_WEAPON_NAME_35,None,MSG_WEAPON_INF_35,0,2,25
87,MSG_WEAPON_NAME_36,None,MSG_WEAPON_INF_36,0,2,26
89,MSG_WEAPON_NAME_37,None,MSG_WEAPON_INF_37,0,2,28
92,MSG_WEAPON_NAME_39,None,MSG_WEAPON_INF_39,0,2,31
96,MSG_WEAPON_NAME_07,None,MSG_WEAPON_INF_07,0,2,35
97,MSG_WEAPON_NAME_15,None,MSG_WEAPON_INF_15,0,2,36
100,MSG_WEAPON_NAME_38,None,MSG_WEAPON_INF_38,0,2,39
103,MSG_WEAPON_NAME_40,None,MSG_WEAPON_INF_40,0,2,42
104,MSG_WEAPON_NAME_09,None,MSG_WEAPON_INF_09,0,2,43
105,MSG_WEAPON_NAME_18,None,MSG_WEAPON_INF_18,0,2,44
106,MSG_WEAPON_NAME_19,None,MSG_WEAPON_INF_19,0,2,45
107,MSG_WEAPON_NAME_27,None,MSG_WEAPON_INF_27,0,2,46
109,MSG_WEAPON_NAME_32,None,MSG_WEAPON_INF_32,0,2,48
110,MSG_WEAPON_NAME_34,None,MSG_WEAPON_INF_34,0,2,49
114,MSG_WEAPON_NAME_05,None,MSG_WEAPON_INF_05,0,2,53
115,MSG_WEAPON_NAME_11,None,MSG_WEAPON_INF_11,0,2,54
116,MSG_WEAPON_NAME_22,None,MSG_WEAPON_INF_22,0,2,55
118,MSG_WEAPON_NAME_02,None,MSG_WEAPON_INF_02,0,2,57
119,MSG_WEAPON_NAME_03,None,MSG_WEAPON_INF_03,0,2,58
120,MSG_WEAPON_NAME_10,None,MSG_WEAPON_INF_10,0,2,59
121,MSG_WEAPON_NAME_12,None,MSG_WEAPON_INF_12,0,2,60
122,MSG_WEAPON_NAME_14,None,MSG_WEAPON_INF_14,0,2,61
123,MSG_WEAPON_NAME_17,None,MSG_WEAPON_INF_17,0,2,62
130,MSG_SYSTEM_070,None,None,0,3,1
131,MSG_SYSTEM_070,None,None,0,3,2
132,MSG_SYSTEM_070,None,None,0,3,3
133,MSG_SYSTEM_070,None,None,0,3,4
134,MSG_ARMOR_NAME_01,None,MSG_ARMOR_INF_01,0,3,5
136,MSG_ARMOR_NAME_08,None,MSG_ARMOR_INF_08,0,3,7
137,MSG_ARMOR_NAME_09,None,MSG_ARMOR_INF_09,0,3,8
145,MSG_ARMOR_NAME_02,None,MSG_ARMOR_INF_02,0,3,16
146,MSG_ARMOR_NAME_04,None,MSG_ARMOR_INF_04,0,3,17
147,MSG_ARMOR_NAME_06,None,MSG_ARMOR_INF_06,0,3,18
148,MSG_ARMOR_NAME_07,None,MSG_ARMOR_INF_07,0,3,19
149,MSG_ARMOR_NAME_13,None,MSG_ARMOR_INF_13,0,3,20
150,MSG_ARMOR_NAME_12,None,MSG_ARMOR_INF_12,0,3,21
151,MSG_ARMOR_NAME_11,None,MSG_ARMOR_INF_11,0,3,22
153,MSG_ARMOR_NAME_15,None,MSG_ARMOR_INF_15,0,3,24
154,MSG_ARMOR_NAME_16,None,MSG_ARMOR_INF_16,0,3,25
156,MSG_ARMOR_NAME_03,None,MSG_ARMOR_INF_03,0,3,27
157,MSG_ARMOR_NAME_05,None,MSG_ARMOR_INF_05,0,3,28
158,MSG_ARMOR_NAME_10,None,MSG_ARMOR_INF_10,0,3,29
160,MSG_ARMOR_NAME_14,None,MSG_ARMOR_INF_14,0,3,31
161,MSG_ARMOR_NAME_17,None,MSG_ARMOR_INF_17,0,3,32
162,MSG_ARMOR_NAME_18,None,MSG_ARMOR_INF_18,0,3,33
163,MSG_ARMOR_NAME_19,None,MSG_ARMOR_INF_19,0,3,34
164,MSG_ARMOR_NAME_21,None,MSG_ARMOR_INF_21,0,3,35
165,MSG_ARMOR_NAME_23,None,MSG_ARMOR_INF_23,0,3,36
166,MSG_ARMOR_NAME_22,None,MSG_ARMOR_INF_22,0,3,37
168,MSG_ARMOR_NAME_24,None,MSG_ARMOR_INF_24,0,3,39
170,MSG_ARMOR_NAME_25,None,MSG_ARMOR_INF_25,0,3,41
173,MSG_ARMOR_NAME_20,None,MSG_ARMOR_INF_20,0,3,44
175,MSG_ARMOR_NAME_34,None,MSG_ARMOR_INF_34,0,3,46
183,MSG_ARMOR_NAME_35,None,MSG_ARMOR_INF_35,0,3,54
184,MSG_ARMOR_NAME_36,None,MSG_ARMOR_INF_36,0,3,55
185,MSG_ARMOR_NAME_37,None,MSG_ARMOR_INF_37,0,3,56
186,MSG_ARMOR_NAME_39,None,MSG_ARMOR_INF_39,0,3,57
187,MSG_ARMOR_NAME_38,None,MSG_ARMOR_INF_38,0,3,58
188,MSG_ARMOR_NAME_40,None,MSG_ARMOR_INF_40,0,3,59
191,MSG_ARMOR_NAME_26,None,MSG_ARMOR_INF_26,0,3,62
192,MSG_ARMOR_NAME_27,None,MSG_ARMOR_INF_27,0,3,63
193,MSG_ARMOR_NAME_28,None,MSG_ARMOR_INF_28,0,3,64
194,MSG_ARMOR_NAME_30,None,MSG_ARMOR_INF_30,0,3,65
195,MSG_ARMOR_NAME_31,None,MSG_ARMOR_INF_31,0,3,66
197,MSG_ARMOR_NAME_29,None,MSG_ARMOR_INF_29,0,3,68
198,MSG_ARMOR_NAME_32,None,MSG_ARMOR_INF_32,0,3,69
202,MSG_ARMOR_NAME_33,None,MSG_ARMOR_INF_33,0,3,73
209,MSG_SYSTEM_029,None,None,0,4,1
210,MSG_SYSTEM_030,None,None,0,4,2
211,MSG_SYSTEM_032,None,None,0,4,3
212,MSG_SYSTEM_002,None,None,0,4,4
213,MSG_MAGIC_NAME_01,None,MSG_MAG_INF_01,0,4,5
214,MSG_MAGIC_NAME_03,None,MSG_MAG_INF_03,0,4,6
215,MSG_MAGIC_NAME_02,None,MSG_MAG_INF_02,0,4,7
216,MSG_MAGIC_NAME_04,None,MSG_MAG_INF_04,0,4,8
217,MSG_MAGIC_NAME_33,None,MSG_MAG_INF_33,0,4,9
218,MSG_MAGIC_NAME_35,None,MSG_MAG_INF_35,0,4,10
219,MSG_MAGIC_NAME_34,None,MSG_MAG_INF_34,0,4,11
220,MSG_MAGIC_NAME_36,None,MSG_MAG_INF_36,0,4,12
221,MSG_MAGIC_NAME_08,None,MSG_MAG_INF_08,0,4,13
222,MSG_MAGIC_NAME_06,None,MSG_MAG_INF_06,0,4,14
223,MSG_MAGIC_NAME_05,None,MSG_MAG_INF_05,0,4,15
224,MSG_MAGIC_NAME_07,None,MSG_MAG_INF_07,0,4,16
225,MSG_MAGIC_NAME_37,None,MSG_MAG_INF_37,0,4,17
226,MSG_MAGIC_NAME_39,None,MSG_MAG_INF_39,0,4,18
227,MSG_MAGIC_NAME_38,None,MSG_MAG_INF_38,0,4,19
228,MSG_MAGIC_NAME_40,None,MSG_MAG_INF_40,0,4,20
229,MSG_MAGIC_NAME_09,None,MSG_MAG_INF_09,0,4,21
230,MSG_MAGIC_NAME_11,None,MSG_MAG_INF_11,0,4,22
231,MSG_MAGIC_NAME_10,None,MSG_MAG_INF_10,0,4,23
232,MSG_MAGIC_NAME_12,None,MSG_MAG_INF_12,0,4,24
233,MSG_MAGIC_NAME_41,None,MSG_MAG_INF_41,0,4,25
234,MSG_MAGIC_NAME_43,None,MSG_MAG_INF_43,0,4,26
235,MSG_MAGIC_NAME_42,None,MSG_MAG_INF_42,0,4,27
236,MSG_MAGIC_NAME_44,None,MSG_MAG_INF_44,0,4,28
237,MSG_MAGIC_NAME_13,None,MSG_MAG_INF_13,0,4,29
238,MSG_MAGIC_NAME_15,None,MSG_MAG_INF_15,0,4,30
239,MSG_MAGIC_NAME_14,None,MSG_MAG_INF_14,0,4,31
240,MSG_MAGIC_NAME_16,None,MSG_MAG_INF_16,0,4,32
241,MSG_MAGIC_NAME_45,None,MSG_MAG_INF_45,0,4,33
242,MSG_MAGIC_NAME_47,None,MSG_MAG_INF_47,0,4,34
243,MSG_MAGIC_NAME_46,None,MSG_MAG_INF_46,0,4,35
244,MSG_MAGIC_NAME_48,None,MSG_MAG_INF_48,0,4,36
245,MSG_MAGIC_NAME_17,None,MSG_MAG_INF_17,0,4,37
246,MSG_MAGIC_NAME_19,None,MSG_MAG_INF_19,0,4,38
247,MSG_MAGIC_NAME_18,None,MSG_MAG_INF_18,0,4,39
248,MSG_MAGIC_NAME_20,None,MSG_MAG_INF_20,0,4,40
249,MSG_MAGIC_NAME_49,None,MSG_MAG_INF_49,0,4,41
250,MSG_MAGIC_NAME_51,None,MSG_MAG_INF_51,0,4,42
251,MSG_MAGIC_NAME_50,None,MSG_MAG_INF_50,0,4,43
252,MSG_MAGIC_NAME_52,None,MSG_MAG_INF_52,0,4,44
253,MSG_MAGIC_NAME_21,None,MSG_MAG_INF_21,0,4,45
254,MSG_MAGIC_NAME_23,None,MSG_MAG_INF_23,0,4,46
255,MSG_MAGIC_NAME_22,None,MSG_MAG_INF_22,0,4,47
256,MSG_MAGIC_NAME_24,None,MSG_MAG_INF_24,0,4,48
257,MSG_MAGIC_NAME_53,None,MSG_MAG_INF_53,0,4,49
258,MSG_MAGIC_NAME_55,None,MSG_MAG_INF_55,0,4,50
259,MSG_MAGIC_NAME_54,None,MSG_MAG_INF_54,0,4,51
260,MSG_MAGIC_NAME_56,None,MSG_MAG_INF_56,0,4,52
261,MSG_MAGIC_NAME_25,None,MSG_MAG_INF_25,0,4,53
262,MSG_MAGIC_NAME_27,None,MSG_MAG_INF_27,0,4,54
263,MSG_MAGIC_NAME_26,None,MSG_MAG_INF_26,0,4,55
264,MSG_MAGIC_NAME_28,None,MSG_MAG_INF_28,0,4,56
265,MSG_MAGIC_NAME_57,None,MSG_MAG_INF_57,0,4,57
266,MSG_MAGIC_NAME_59,None,MSG_MAG_INF_59,0,4,58
267,MSG_MAGIC_NAME_58,None,MSG_MAG_INF_58,0,4,59
268,MSG_MAGIC_NAME_60,None,MSG_MAG_INF_60,0,4,60
269,MSG_MAGIC_NAME_29,None,MSG_MAG_INF_29,0,4,61
270,MSG_MAGIC_NAME_31,None,MSG_MAG_INF_31,0,4,62
271,MSG_MAGIC_NAME_30,None,MSG_MAG_INF_30,0,4,63
272,MSG_MAGIC_NAME_32,None,MSG_MAG_INF_32,0,4,64
273,MSG_MAGIC_NAME_61,None,MSG_MAG_INF_61,0,4,65
274,MSG_MAGIC_NAME_63,None,MSG_MAG_INF_63,0,4,66
275,MSG_MAGIC_NAME_62,None,MSG_MAG_INF_62,0,4,67
276,MSG_MAGIC_NAME_64,None,MSG_MAG_INF_64,0,4,68
277,MSG_MON_ATK_01,None,None,0,4,69
278,MSG_MON_ATK_02,None,None,0,4,70
279,MSG_MON_ATK_03,None,None,0,4,71
280,MSG_MON_ATK_04,None,None,0,4,72
281,MSG_MON_ATK_05,None,None,0,4,73
282,MSG_MON_ATK_02,None,None,0,4,74
283,MSG_MON_ATK_07,None,None,0,4,75
284,MSG_MON_ATK_08,None,None,0,4,76
285,MSG_MON_ATK_09,None,None,0,4,77
286,MSG_MON_ATK_10,None,None,0,4,78
287,MSG_MON_ATK_01,None,None,0,4,79
288,MSG_MON_ATK_02,None,None,0,4,80
289,MSG_MON_ATK_02,None,None,0,4,81
290,MSG_MON_ATK_02,None,None,0,4,82
291,MSG_MON_ATK_15,None,None,0,4,83
292,MSG_MON_ATK_16,None,None,0,4,84
293,MSG_MON_ATK_17,None,None,0,4,85
294,MSG_MON_ATK_18,None,None,0,4,86
295,MSG_MON_ATK_19,None,None,0,4,87
296,MSG_MON_ATK_20,None,None,0,4,88
297,MSG_MON_ATK_21,None,None,0,4,89
298,MSG_MON_ATK_22,None,None,0,4,90
299,MSG_MON_ATK_23,None,None,0,4,91
300,MSG_MON_ATK_24,None,None,0,4,92
301,MSG_MON_ATK_25,None,None,0,4,93
302,MSG_MON_ATK_26,None,None,0,4,94
303,MSG_SYSTEM_032,None,None,0,4,95
305,MSG_SYSTEM_029,None,None,0,4,97
306,MSG_SYSTEM_029,None,None,0,4,98
307,MSG_SYSTEM_029,None,None,0,4,99
310,MSG_MAGIC_NAME_25,None,MSG_MAG_INF_25,0,4,100
