id,type,value,condition_value,achievment_id,platform_type
86,3,500,0,CgkI8_3CiKIfEAIQOw,4
87,4,12,0,CgkI8_3CiKIfEAIQPA,4
88,4,64,0,CgkI8_3CiKIfEAIQPQ,4
89,4,128,0,CgkI8_3CiKIfEAIQPg,4
90,2,10000,0,CgkI8_3CiKIfEAIQPw,4
91,2,50000,0,CgkI8_3CiKIfEAIQQA,4
92,2,100000,0,CgkI8_3CiKIfEAIQQQ,4
93,8,25,0,CgkI8_3CiKIfEAIQQg,4
94,8,125,0,CgkI8_3CiKIfEAIQQw,4
95,8,249,0,CgkI8_3CiKIfEAIQRA,4
96,5,1,0,CgkI8_3CiKIfEAIQRQ,4
97,9,0,0,com.square_enix.ff1PR_achievement01,5
98,1,1,7,com.square_enix.ff1PR_achievement02,5
99,1,1,21,com.square_enix.ff1PR_achievement03,5
100,1,1,23,com.square_enix.ff1PR_achievement04,5
101,1,1,34,com.square_enix.ff1PR_achievement05,5
102,1,1,35,com.square_enix.ff1PR_achievement06,5
103,1,1,46,com.square_enix.ff1PR_achievement07,5
104,1,1,42,com.square_enix.ff1PR_achievement08,5
105,1,1,48,com.square_enix.ff1PR_achievement09,5
106,7,1,0,com.square_enix.ff1PR_achievement10,5
107,6,50,0,com.square_enix.ff1PR_achievement11,5
108,3,100,0,com.square_enix.ff1PR_achievement12,5
109,3,300,0,com.square_enix.ff1PR_achievement13,5
110,3,500,0,com.square_enix.ff1PR_achievement14,5
111,4,12,0,com.square_enix.ff1PR_achievement15,5
112,4,64,0,com.square_enix.ff1PR_achievement16,5
113,4,128,0,com.square_enix.ff1PR_achievement17,5
114,2,10000,0,com.square_enix.ff1PR_achievement18,5
115,2,50000,0,com.square_enix.ff1PR_achievement19,5
116,2,100000,0,com.square_enix.ff1PR_achievement20,5
117,8,25,0,com.square_enix.ff1PR_achievement21,5
118,8,125,0,com.square_enix.ff1PR_achievement22,5
119,8,249,0,com.square_enix.ff1PR_achievement23,5
120,5,1,0,com.square_enix.ff1PR_achievement24,5
