id,sort_id,ability_lv,ability_group_id,type_id,attribute_id,attribute_group_id,system_id,use_value,standard_value,adding_hit_rate,valid_hit_rate,weak_hit_rate,attack_count,accuracy_rate,Impact_status,use_job_group_id,condition_group_id,renge_id,menu_renge_id,battle_renge_id,content_flag_group_id,invalid_reflection,invalid_boss,resistance_attribute,battle_effect_asset_id,menu_se_asset_id,reaction_type,menu_function_group_id,battle_function_group_id,buy,sell,sales_not_possible,ability_wait,process_prog,data_a,data_b,data_c
46,46,6,1,1,0,0,2,1,0,0,0,0,0,10,0,46,4,2,2,2,0,0,0,0,13,0,0,0,40,13000,0,0,0,None,0,0,0
47,47,6,1,1,0,0,4,1,0,0,0,0,0,10,0,50,4,2,2,2,0,0,0,0,0,233,0,64,0,13000,0,0,0,None,0,0,0
48,48,6,1,1,0,0,2,1,0,0,0,0,0,10,0,46,4,2,2,2,0,0,0,0,23,0,0,0,67,13000,0,0,0,None,0,0,0
49,49,6,1,2,3,0,3,1,60,24,0,40,0,10,0,49,4,4,4,4,0,0,0,0,35,0,0,0,10,13000,0,0,0,None,0,0,0
50,50,6,1,2,4,0,3,1,0,40,0,40,0,10,0,29,4,4,4,4,0,0,0,0,51,0,0,0,15,13000,0,0,0,None,0,0,0
51,51,6,1,2,8,0,3,1,0,24,0,40,0,10,0,29,4,3,3,3,0,0,0,0,59,0,0,0,15,13000,0,0,0,None,0,0,0
52,52,6,1,2,5,0,5,1,0,0,0,0,0,10,0,29,4,3,3,3,0,0,0,0,52,0,0,0,24,13000,0,0,0,BM_STUN,0,0,0
53,53,7,1,1,0,0,1,1,999,0,0,0,0,10,0,24,4,1,1,1,0,0,0,0,5,206,0,55,55,30000,0,0,0,None,0,0,0
54,54,7,1,1,0,0,2,1,0,0,0,0,0,10,0,46,4,2,2,2,0,0,0,0,20,0,0,0,37,30000,0,0,0,None,0,0,0
55,55,7,1,1,9,0,3,1,80,48,0,0,0,10,0,24,4,4,4,4,0,0,0,0,9,0,0,0,10,30000,0,0,0,None,0,0,0
56,56,7,1,1,0,0,1,1,48,0,0,0,0,10,0,27,4,2,2,2,0,0,0,0,5,205,0,66,66,30000,0,0,0,None,0,0,0
57,57,7,1,2,2,0,3,1,70,24,0,40,0,10,0,49,4,4,4,4,0,0,0,0,38,0,0,0,10,30000,0,0,0,None,0,0,0
58,58,7,1,2,0,0,2,1,0,0,0,0,0,10,0,22,4,5,5,5,0,0,0,0,54,0,0,0,43,30000,0,0,0,None,0,0,0
59,59,7,1,2,6,0,5,1,0,64,0,40,0,10,0,22,4,3,3,3,0,0,0,0,53,0,0,0,44,30000,0,0,0,None,0,0,0
60,60,7,1,2,5,0,5,1,0,0,0,0,0,10,0,29,4,3,3,3,0,0,0,0,55,0,0,0,24,30000,0,0,0,BM_BLIND,0,0,0
61,61,8,1,1,0,0,1,1,999,0,0,0,0,10,0,24,4,1,1,1,0,0,0,0,11,208,0,12,12,40000,0,0,0,None,0,0,0
62,62,8,1,1,0,0,2,1,0,0,0,0,0,10,0,24,4,1,1,1,0,0,0,0,21,0,0,0,38,40000,0,0,0,None,0,0,0
63,63,8,1,1,0,0,3,1,80,107,0,0,0,10,0,24,4,4,4,4,0,0,0,0,28,0,0,0,10,40000,0,0,0,None,0,0,0
64,64,8,1,1,0,0,5,1,0,107,0,0,0,10,0,24,4,3,3,3,0,0,1,0,29,0,0,0,24,40000,0,0,0,WM_DISPEL,0,0,0
65,65,8,1,2,0,0,3,1,100,107,0,0,0,10,0,22,4,4,4,4,0,0,0,0,56,0,0,0,10,40000,0,0,0,None,0,0,0
66,66,8,1,2,7,0,3,1,0,32,0,40,0,10,0,22,4,4,4,4,0,0,0,0,58,0,0,0,15,40000,0,0,0,None,0,0,0
67,67,8,1,2,7,0,5,1,0,48,0,40,0,10,0,22,4,4,4,4,0,0,0,0,57,0,0,0,14,40000,0,0,0,None,0,0,0
68,68,8,1,2,8,0,3,1,0,0,0,0,0,10,0,22,4,3,3,3,0,0,0,0,60,0,0,0,24,40000,0,0,0,BM_KILL,0,0,0
69,69,0,0,13,2,0,3,0,24,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,75,0,0,0,10,0,0,0,0,None,0,0,0
70,70,0,0,13,1,0,3,0,12,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,78,0,0,0,10,0,0,0,0,None,0,0,0
71,71,0,0,13,6,0,5,0,0,5,0,0,0,10,0,0,0,3,3,3,0,0,0,0,70,0,0,0,44,0,0,0,0,None,0,0,0
72,72,0,0,13,5,0,5,0,0,0,0,0,0,10,0,0,0,3,3,3,0,0,0,0,71,0,0,0,14,0,0,0,0,None,0,0,0
73,73,0,0,13,5,0,5,0,0,24,0,0,0,10,0,0,0,4,4,4,0,0,0,0,77,0,0,0,6,0,0,0,0,None,0,0,0
74,74,0,0,13,1,0,3,0,7,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,78,0,0,0,10,0,0,0,0,None,0,0,0
75,75,0,0,13,4,0,5,0,0,16,0,0,0,10,0,0,0,4,4,4,0,0,0,0,63,0,0,0,15,0,0,0,0,None,0,0,0
76,76,0,0,13,8,0,5,0,0,0,0,0,0,10,0,0,0,3,3,3,0,0,0,0,73,0,0,0,15,0,0,0,0,None,0,0,0
77,77,0,0,3,0,0,3,0,17,24,0,0,0,10,0,0,0,3,3,3,0,0,0,0,72,0,0,0,10,0,0,0,0,None,0,0,0
78,78,0,0,13,8,0,5,0,0,16,0,0,0,10,0,0,0,3,3,3,0,0,0,0,73,0,0,0,15,0,0,0,0,None,0,0,0
79,79,0,0,13,2,0,3,0,50,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,76,0,0,0,10,0,0,0,0,None,0,0,0
80,80,0,0,13,1,0,3,0,64,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,80,0,0,0,10,0,0,0,0,None,0,0,0
81,81,0,0,13,1,0,3,0,96,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,81,0,0,0,10,0,0,0,0,None,0,0,0
82,82,0,0,13,1,0,3,0,24,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,79,0,0,0,10,0,0,0,0,None,0,0,0
83,83,0,0,13,6,0,5,0,0,5,0,0,0,10,0,0,0,4,4,4,0,0,0,0,67,0,0,0,44,0,0,0,0,None,0,0,0
84,84,0,0,13,5,0,5,0,0,0,0,0,0,10,0,0,0,4,4,4,0,0,0,0,82,0,0,0,14,0,0,0,0,None,0,0,0
85,85,0,0,13,6,0,3,0,68,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,49,0,0,0,10,0,0,0,0,None,0,0,0
86,86,0,0,13,3,0,3,0,76,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,61,0,0,0,10,0,0,0,0,None,0,0,0
87,87,0,0,13,8,0,5,0,0,0,0,0,0,10,0,0,0,4,4,4,0,0,0,0,68,0,0,0,15,0,0,0,0,None,0,0,0
88,88,0,0,13,5,0,5,0,0,24,0,0,0,10,0,0,0,3,3,3,0,0,0,0,74,0,0,0,6,0,0,0,0,None,0,0,0
89,89,0,0,13,0,0,3,0,80,48,0,0,0,10,0,0,0,4,4,4,0,0,0,0,62,0,0,0,10,0,0,0,0,None,0,0,0
90,90,0,0,13,5,0,5,0,0,24,0,0,0,10,0,0,0,4,4,4,0,0,0,0,64,0,0,0,6,0,0,0,0,None,0,0,0
91,91,0,0,3,6,0,5,0,0,0,0,0,0,10,0,0,0,4,4,4,0,0,0,0,69,0,0,0,18,0,0,0,0,None,0,0,0
92,92,0,0,13,5,0,5,0,0,32,0,0,0,10,0,0,0,3,3,3,0,0,0,0,71,0,0,0,14,0,0,0,0,None,0,0,0
93,93,0,0,13,0,0,3,0,64,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,66,0,0,0,10,0,0,0,0,None,0,0,0
94,94,0,0,13,0,0,3,0,64,32,0,0,0,10,0,0,0,4,4,4,0,0,0,0,65,0,0,0,10,0,0,0,0,None,0,0,0
95,95,0,0,6,0,0,2,0,0,0,0,0,0,10,0,0,0,5,5,5,0,0,0,0,0,0,0,0,4,0,0,0,0,None,0,0,0
100,100,7,1,1,0,0,1,1,9999,0,0,0,0,10,0,0,4,1,1,1,0,0,0,0,5,206,0,55,55,0,0,0,0,None,0,0,0
