file,name,id,field,value,comment
armor.csv,White Robe,7,buy,25000,25000
armor.csv,Black Robe,8,buy,25000,25000
armor.csv,Leather Armor,16,buy,40,40
armor.csv,Chain Mail,17,buy,65,65
armor.csv,Mythril Mail,18,buy,6000,6000
armor.csv,Iron Armor,19,buy,640,640
armor.csv,Ice Armor,20,buy,30000,30000
armor.csv,Flame Mail,21,buy,30000,30000
armor.csv,Knight's Armor,22,buy,36000,36000
armor.csv,Diamond Armor,24,buy,60000,60000
armor.csv,Dragon Mail,25,buy,60000,60000
armor.csv,Copper Armlet,27,buy,800,800
armor.csv,Silver Armlet,28,buy,4000,4000
armor.csv,Ruby Armlet,29,buy,40000,40000
armor.csv,Diamond Armlet,31,buy,65000,65000
armor.csv,Leather Shield,32,buy,12,12
armor.csv,Buckler,33,buy,2000,2000
armor.csv,Iron Shield,34,buy,80,80
armor.csv,Mythril Shield,35,buy,2000,2000
armor.csv,Ice Shield,36,buy,10000,10000
armor.csv,Flame Shield,37,buy,10000,10000
armor.csv,Diamond Shield,39,buy,15000,15000
armor.csv,Aegis Shield,41,buy,40000,40000
armor.csv,Protect Cloak,44,buy,20000,20000
armor.csv,Leather Cap,46,buy,65,65
armor.csv,Ribbon,54,buy,200000,2
armor.csv,Helm,55,buy,80,80
armor.csv,Great Helm,56,buy,360,360
armor.csv,Healing Helm,57,buy,20000,20000
armor.csv,Mythril Helm,58,buy,2000,2000
armor.csv,Diamond Helm,59,buy,10000,10000
armor.csv,Leather Gloves,62,buy,50,50
armor.csv,Bronze Gloves,63,buy,160,160
armor.csv,Steel Gloves,64,buy,600,600
armor.csv,Gauntlets,65,buy,15000,15000
armor.csv,Giant's Gloves,66,buy,10000,10000
armor.csv,Mythril Gloves,68,buy,2000,2000
armor.csv,Diamond Gloves,69,buy,20000,20000
armor.csv,Protect Ring,73,buy,16000,16000
armor.csv,Clothes,5,sell,4,4
armor.csv,White Robe,7,sell,1,1
armor.csv,Black Robe,8,sell,1,1
armor.csv,Leather Armor,16,sell,20,20
armor.csv,Chain Mail,17,sell,32,32
armor.csv,Mythril Mail,18,sell,3000,3000
armor.csv,Iron Armor,19,sell,320,320
armor.csv,Ice Armor,20,sell,15000,15000
armor.csv,Flame Mail,21,sell,15000,15000
armor.csv,Knight's Armor,22,sell,18000,18000
armor.csv,Diamond Armor,24,sell,30000,30000
armor.csv,Dragon Mail,25,sell,30000,30000
armor.csv,Copper Armlet,27,sell,400,400
armor.csv,Silver Armlet,28,sell,2000,2000
armor.csv,Ruby Armlet,29,sell,20000,20000
armor.csv,Diamond Armlet,31,sell,32500,32500
armor.csv,Leather Shield,32,sell,6,6
armor.csv,Buckler,33,sell,1000,1000
armor.csv,Iron Shield,34,sell,40,40
armor.csv,Mythril Shield,35,sell,1000,1000
armor.csv,Ice Shield,36,sell,5000,5000
armor.csv,Flame Shield,37,sell,5000,5000
armor.csv,Diamond Shield,39,sell,7500,7500
armor.csv,Aegis Shield,41,sell,20000,20000
armor.csv,Protect Cloak,44,sell,10000,10000
armor.csv,Leather Cap,46,sell,32,32
armor.csv,Ribbon,54,sell,1,1
armor.csv,Helm,55,sell,40,40
armor.csv,Great Helm,56,sell,180,180
armor.csv,Healing Helm,57,sell,10000,10000
armor.csv,Mythril Helm,58,sell,1000,1000
armor.csv,Diamond Helm,59,sell,5000,5000
armor.csv,Leather Gloves,62,sell,25,25
armor.csv,Bronze Gloves,63,sell,80,80
armor.csv,Steel Gloves,64,sell,300,300
armor.csv,Gauntlets,65,sell,7500,7500
armor.csv,Giant's Gloves,66,sell,5000,5000
armor.csv,Mythril Gloves,68,sell,1000,1000
armor.csv,Diamond Gloves,69,sell,10000,10000
armor.csv,Protect Ring,73,sell,8000,8000
